,minimum,maximum
EX_tcyntc,0.0,0.6038982
EX_tcynt_e,0.0,0.6038982
EX_so3_e,0.0,0.6038982
EX_thr__L_e,-0.79831934,0.0
EX_trp__L_e,-0.078431375,0.0
EX_anth_e,0.0,0.078431375
EX_tyr__L_e,-0.0005950033,0.0
EX_cystinex,-0.20127796,0.0
EX_3hydroxybutanoatex,-25.0,0.0
EX_gthrd_e,-30.8219289554,0.0
EX_cmp_e,-0.0001022578,0.0
HEX1,0.0,912.5484971431
G6PP,0.0,903.3504480743
PGI,0.0,9.1979140484
PFK,0.0,912.5483252182
FBP,0.0,903.3504480743
FBA,0.0,9.197877144
TPI,0.0,9.197877144
GAPD,0.0,18.3957358357
PGK,0.0,18.3957358357
DPGM,0.0,18.3957358357
DPGase,0.0,18.3957358357
PGM,-241.2112420686,18.3957358357
ENO,-241.2112420686,18.3957358357
PYK,0.0,826.4087234292
LDH_L,0.0,15.454
r0407,0.0,9.197877144
PRPPS,0.0,0.7961911938
G6PDH2r,0.0,9.1979140484
PGL,0.0,9.1979140484
GND,0.0,9.1979140484
RPI,0.0,3.5966165591
TKT2,-0.2653970646,3.0659528972
RPE,-0.5307941292,6.1319057945
TKT1,-0.2653970646,3.0659528972
TALA,-9.1978955962,3.0659528972
r0408,0.0,9.197877144
PDHm,0.0,388.0858056741
PCm,0.0,1000.0
PEPCK_re,0.0,808.0129875935
CSm,0.0,535.0582500007
ACONTm,-1000.0,202.9343764409
ICDHxm,0.0,1000.0
ICDHym,-1000.0,199.1708815761
AKGDm,0.0,267.7213113368
SUCOAS1m,-25.0,256.8749015258
SUCD1m,0.0,373.9579952087
FUMm,-556.0409754474,319.1651895783
MDHm,-1000.0,1000.0
ME1m,0.0,1000.0
ME2m,0.0,1000.0
ME2,0.0,643.1852802624
ACITL,0.0,506.2127213047
FUM,-135.4766840009,802.6907423549
MDH,-1000.0,607.4916885679
AKGMALtm,-654.2221863909,1000.0
ACONT,0.0,1000.0
ICDHyr,0.0,1000.0
PPA,0.0,451.6755202159
Complex1ROS,0.0,616.4385791085
FADH2ETC,0.0,1000.0
CYOR_u10mi,0.0,1000.0
CYOOm2i,0.0,500.0
ATPS4mi,0.0,1000.0
GLUCYS,0.0,0.6038982
GTHS,0.0,0.6038982
SPODMm,0.0,15.4109644777
GTHPi,0.0,0.39810428
GTHPm,0.0,15.4109644777
GDR,0.0,0.59938224
GTHOr,0.0,0.59938224
GDRm,0.0,15.268080056
GTHOm,0.0,15.268080056
r0885,0.0,30.8219289554
PYRt2m,-182.5845571749,747.9019560245
HMR_4964,0.0,1000.0
r2420,0.0,1000.0
ATPtm,0.0,1000.0
FUMtm,-695.1937016661,292.3738884531
CO2tm,-301.4919372688,1000.0
O2tm,0.0,502.3020175114
r0801,-25.0,256.8749015258
THD1m,0.0,1000.0
H2Otm,-1000.0,78.4856910515
NH4tm,-493.0454707877,194.3102153702
HCO3E,0.0,442.9360814718
HCO3Em,0.0,1000.0
GLUN,0.0,905.8732363556
GLNS,0.0,921.6092164456
GLUt2m,0.0,245.8840415181
GLNtm_1,0.0,245.9709961907
GLUNm,0.0,245.9709961907
GLUPRT,0.0,0.0002379912
PRAGSr,0.0,0.0002379912
GARFT,0.0,0.0002379912
PRFGS,0.0,0.0002379912
PRAIS,0.0,0.0002379912
AIRCr,0.0,0.0002379912
PRASCSi,0.0,0.0002379912
ADSL2r,0.0,0.0002379912
AICART,0.0,0.0002379912
IMPC,0.0,0.0002379912
ADSS,0.0,0.0001409288
ADSL1r,0.0,0.0001409288
IMPDH2,0.0,9.70624e-05
GMPS,0.0,9.70624e-05
GMPS2,0.0,9.70624e-05
GK1,0.0,9.70624e-05
RNDR2,0.0,2.08785e-05
ADK1,0.0,451.6754929389
RNDR1,0.0,2.78078e-05
CBPS,0.0,0.0002426086
ASPCT,0.0,0.0002426086
DHORTS,0.0,0.0002426086
DHORD9,0.0,0.0002426086
ORPT,0.0,0.0002426086
OMPDC,0.0,0.0002426086
UMPK,0.0,0.0002426086
RNDR4,0.0,2.76137e-05
TMDS,0.0,2.76137e-05
URIDK2r,0.0,2.76137e-05
NDPK2,0.0,0.0002149949
NDPK3,-8.23412e-05,1.99166e-05
CYTK1,-0.0001022578,0.0
CTPS1,0.0,0.0001022578
RNDR3,0.0,1.99166e-05
GDHm,0.0,1000.0
GLUDym,-245.5921537562,1000.0
ASPTA,-277.8330698439,1000.0
ASPTAm,0.0,1000.0
ASPGLUm,0.0,1000.0
ASPT,0.0,248.9762922925
CBPSam,0.0,194.3140635587
OCBTm,0.0,194.3140635587
ORNt4m,0.0,194.3140635587
ARGSS,0.0,227.3206141826
ARGSL,0.0,227.3206141826
ARGN,0.0,194.7027899183
ORNDC,0.0,0.39810428
SPMS,0.0,0.3980979224
SPRMS,0.0,0.3980915651
ADMDC,0.0,0.7961831301
MTAP,0.0,0.7961831301
ADPT,0.0,0.7961831301
MTRI,0.0,0.7961831301
MDRPD,0.0,0.7961831301
DKMPPD,0.0,0.7961831301
SPMDtex2,0.0,0.3980979224
SPRMti,0.0,0.3980915651
GLYAMDTRc,0.0,132.8019126858
ARGDr,0.0,227.3206141826
r0074,0.0,0.0008700793
GLU5SAtmc,0.0,0.0008700793
G5SADs,0.0,0.0008700793
PRO1x,0.0,830.988458931
P5CR,0.0,857.5667047855
PROD2,0.0,857.5665024055
EXRiboflavin,0.0,0.0
RBFK,0.0,0.0
FMNAT,0.0,0.0
TransportFAD,0.0,857.5665024055
ASNS1,0.0,301.9578825482
ASNN,0.0,301.9577454519
METS,0.0,301.1168160248
METAT,0.0,301.1423367323
HMR_3915,0.0,301.1193883363
AHCi,0.0,301.1423367323
ADNK1,0.0,301.1423367323
CYSTS,0.0,0.20134228
CYSTGL,0.0,0.20134228
MTHFR3,0.0,112.3558045606
MetSynthesis,0.0,0.7961831301
UNK3,0.0,0.7961831301
5MTHFt,0.0,0.009070295
ILETA,0.0,0.0
3MOPt2im,0.0,0.0
ILETAm,0.0,0.0
LEUTA,0.0,0.0002581989
4MOPt2im,0.0,0.0002581989
LEUTAm,0.0,0.0002581989
OIVD1m,0.0,0.0002581989
ACOAD8m,0.0,0.0002581989
MCCCrm,0.0,0.0002581989
MGCHrm,0.0,0.0002581989
HMGCOAtm,0.0,0.0002581989
VALTA,0.0,0.8034188
3MOBt2im,0.0,0.8034188
VALTAim,0.0,0.8034188
OIVD2m,0.0,0.8034188
ACOAD9m,0.0,0.8034188
ECOAH12m,0.0,0.8034188
3HBCOAHLm,0.0,0.8034188
HIBDm,0.0,0.8034188
r0643,0.0,0.8034188
MMSAD1m,0.0,0.8034188
MMTSADm,0.0,0.8034188
PCC,0.0,0.8034188
MMALH,0.0,0.8034188
MMEm,0.0,0.8034188
MMMm,0.0,0.8034188
ILEtmi,0.0,0.0
LEUt5m,0.0,0.0002581989
VALt5m,0.0,0.8034188
PGCD,0.0,244.1666904102
PSERT,0.0,244.1666904102
PSP_L,0.0,244.1666904102
GHMT2r,-187.1976204018,121.0254535358
SERD_L,0.0,336.0629392886
ALATA_L,-0.078431375,264.0969658149
r1435,0.0,0.009070295
GLYtm,-0.009070295,0.0
GHMT2rm,0.0,0.009070295
MLTHFtm,-0.009070295,0.0
r0962,0.0,0.009070295
FORtm,-0.009070295,0.0
r0514,0.0,0.009070295
DHFRim,0.0,0.009070295
FTHFLmi,0.0,0.009070295
MTHFCm,0.0,0.009070295
MTHFDm,0.0,0.009070295
FOLR2,0.0,0.009070295
DHFR,0.0,0.0090979087
FTHFLi,0.0,0.8746147562
FTHFDH,0.0,375.8772832881
MTHFC,-375.7491518563,0.87460677
MTHFD,0.0,1000.0
MTHFD2i,-1000.0,184.1225257267
ACACT1r,0.0,0.0002581989
HMGCOAS,0.0,0.0002581989
HMGCOAR,0.0,0.0002581989
MEVK1,0.0,0.0002581989
PMEVK,0.0,0.0002581989
IPDDI,0.0,8.60663e-05
DPMVD,0.0,0.0002581989
DMATT,0.0,8.60663e-05
GRTT,0.0,8.60663e-05
HMR_1465,0.0,4.30332e-05
HMR_1467,0.0,4.30332e-05
SMO,0.0,4.30332e-05
LNSTLS,0.0,4.30332e-05
HMR_1477,0.0,4.30332e-05
HMR_1478,0.0,4.30332e-05
HMR_1479,0.0,4.30332e-05
C14STR,0.0,4.30332e-05
HMR_1490,0.0,4.30332e-05
HMR_1493,0.0,4.30332e-05
HMR_1494,0.0,4.30332e-05
C3STDH1,0.0,4.30332e-05
HMR_1495,0.0,4.30332e-05
HMR_1500,0.0,4.30332e-05
HMR_1502,0.0,4.30332e-05
HMR_1503,0.0,4.30332e-05
HMR_1504,0.0,4.30332e-05
HMR_1505,0.0,4.30332e-05
HMR_1509,0.0,4.30332e-05
CHLSTI_1,0.0,4.30332e-05
HMR_1516,0.0,4.30332e-05
RE2410C,0.0,4.30332e-05
DSMSTOLR,0.0,4.30332e-05
ACCOAC,0.0,442.9360814718
FASN,0.0,63.2765830674
MCAT,0.0,442.9360814718
AcetoacetylACPsynthesis,0.0,63.2765830674
r0691,0.0,63.2765830674
r0681,0.0,63.2765830674
r0682,0.0,63.2765830674
r0760,0.0,63.2765830674
r0761,0.0,63.2765830674
r0762,0.0,63.2765830674
r0763,0.0,63.2765830674
r0764,0.0,63.2765830674
r0694,0.0,63.2765830674
r0695,0.0,63.2765830674
r0765,0.0,63.2765830674
r0766,0.0,63.2765830674
r0692,0.0,63.2765830674
r0693,0.0,63.2765830674
r0767,0.0,63.2765830674
r0768,0.0,63.2765830674
r0769,0.0,63.2765830674
r0770,0.0,63.2765830674
r0712,0.0,63.2765830674
r0713,0.0,63.2765830674
r0701,0.0,63.2765830674
r0702,0.0,63.2765830674
r0771,0.0,63.2765830674
r0772,0.0,63.2765830674
r0696,0.0,63.2765830674
r0697,0.0,63.2765830674
r0773,0.0,63.2765830674
FA160ACPH,0.0,63.2765830674
TMLYStd,-186.9789793183,0.0
TMLYSOX,0.0,186.9789793183
GHMT3,0.0,186.9789793183
TMABADH,0.0,186.9789793183
BBHOX,0.0,186.9789793183
SUCFUMtm,-373.9579586366,0.0
palmitateActivation,0.0,55.4891554055
carnitineAcylTransferaseI,0.0,55.4891554055
CARN160t_m,0.0,55.4891554055
carnitineAcylTransferaseII,0.0,55.4891554055
betaOxidation,0.0,55.4891554055
Biomass,0.0,0.002109365
GLCt1,-9.1980490689,0.0
O2t,-842.4251463661,0.0
GLNt,-4.0,0.0
r0963,-0.009070295,0.0
THBPTt,-0.0005950033,0.0
ARGt5r,-0.39810428,0.0
PHEtec,-0.0011423118,0.0
ILEtec,-0.0006034429,0.0
LEUtec,-0.0014089503,0.0
VALtec,-0.8034188,0.0
METtec,-0.20134228,0.0
r2526,-0.60127796,0.0
GLYt4,-0.4,0.0
r2532,0.0,0.0
PROPAT4te,0.0,0.0
HDCAt,0.0,0.0
CRNt,0.0,186.9789793183
GTHRDt2,-30.8219289554,0.0
DmLact,0.0,15.454
UREAt,0.0,194.7027899183
DmBiomass,0.0,0.002109365
NH4t,0.0,862.7539885868
PTRCtex2,0.0,0.39810428
GUDACtr2,0.0,132.8019126858
CE2705t,0.0,0.0005950033
Dm2oxobutyrate,0.0,0.99966162
H2Ot,-191.8576253286,1000.0
PHLACHt,-677.508639216,688.34074891
CO2t,0.0,1000.0
DmGSSG,0.0,15.4109644777
GLUt4,0.0,0.2545
ALAPAT4te,0.0,0.0
DmAla,0.0,264.1537539879
ASPte,-1000.0,0.0
DmAsp,0.0,1000.0
DmPalm,0.0,51.470039123
ATPM,0.0,903.3504480743
GACMTRc,0.0,112.3467342656
CKc_cho,0.0,112.3467342656
CRTNsyn_cho,0.0,112.3467342656
CRTNtr,0.0,112.3467342656
NDPK1,0.0,624.0359386184
NDPK5,0.0,2.08785e-05
NDPK8,0.0,2.78078e-05
NDPK7,0.0,1.99166e-05
DTMPK,0.0,2.76137e-05
NDPK4,0.0,2.76137e-05
HIStiDF,-0.2,0.0
PTRCOX1,0.0,0.39810428
ABUTD,0.0,0.39810428
r0465_1,0.0,451.6752240371
ABUTH,0.0,451.6752240371
GLUDC,0.0,242.8412948473
HISDr,0.0,289.8547636222
URCN,0.0,289.8547636222
IZPN,0.0,289.8547636222
GluForTx,0.0,289.8547636222
FTCD,0.0,289.8547636222
CARPEPT1tc,-474.3215177436,0.0
NBAHH_ir,0.0,617.6067450039
r0283,0.0,451.6752240371
ASP1DC,0.0,264.1537539879
CSNt,-300.6134389027,0.0
bAlaSynthesis,0.0,300.6134389027
LYSt5r,-0.7978142,0.0
LYStm,0.0,0.7978142
SACCD3m,0.0,0.7978142
r0525,0.0,0.7978142
AASAD3m,0.0,0.7978142
r0450,0.0,0.7978142
2OXOADOXm,0.0,0.876245575
GLUTCOADHm,0.0,0.876245575
3HBCDm,0.0,0.876245575
HACD1m,0.0,0.876245575
HMGCOASm,0.0,0.0002581989
CYStec,0.0,0.0
CYSTA,0.0,0.6038982
CYANt,-0.6038982,0.0
MCPST,0.0,0.6038982
TCYNTt,0.0,0.6038982
CYSO,0.0,0.6038982
3SALATAi,0.0,0.6038982
3SALAASPm,0.0,0.6038982
3SALATAim,0.0,0.6038982
3SPYRSP,0.0,0.6038982
3SPYRSPm,0.0,0.6038982
HMR_3951,0.0,0.6038982
ExSulfitem,0.0,0.6038982
PHETHPTOX2,0.0,0.0005950033
TYRt,-0.0005950033,0.0
TYRTA,0.0,0.0002581989
34HPPOR,0.0,0.0002581989
HGNTOR,0.0,0.0002581989
MACACI,0.0,0.0002581989
FUMAC,0.0,0.0002581989
AACOAT,0.0,0.0002581989
r2534,-0.79831934,0.0
THRD_L,0.0,0.79831934
OBDHc,0.0,0.0002581989
PPCOAtm,0.0,0.0002581989
r1616,-0.078431375,0.0
TRPO2,0.0,0.078431375
FKYNH,0.0,0.078431375
KYN,0.0,0.078431375
ANTHte,0.0,0.078431375
KYN3OX,0.0,0.078431375
HKYNH,0.0,0.078431375
3HAO,0.0,0.078431375
PCLAD,0.0,0.078431375
AM6SAD,0.0,0.078431375
AMCOXO,0.0,0.078431375
2OXOADPTm,0.0,0.078431375
ExCystineGlu,0.0,0.20127796
ExCystineSer,0.0,0.20127796
CystinePyruvate,0.0,0.20127796
CystineReductaseNADPH,0.0,0.20127796
CystineReductaseNADH,0.0,0.20127796
CystineGSH,0.0,0.20127796
Ex3HB,0.0,25.0
Transport3HB_forward,0.0,25.0
bBDH,0.0,25.0
OCOAT1m,0.0,25.0
ACACT1m,0.0,25.876245575
G3PD1ir,0.0,830.9882795777
GLYC3Ptm,0.0,830.9882795777
G3PDm,0.0,830.9882795777
DHAPtm,0.0,830.9882795777
CMPuptake,-0.0001022578,0.0
UMPuptake,-0.0002426086,0.0
Transport_ala_B_c_e,0.0,523.0033441553
EX_ala_B,0.0,523.0033441553
Transport_octanoyl_ACP_c_e,0.0,0.0
EX_octanoyl_ACP,0.0,0.0
TMDK1,0.0,0.0
THYMDt1,0.0,0.0
EX_thymd,0.0,0.0
Transport_HC00576_c_e,0.0,238.611366262
EX_HC00576,0.0,238.611366262
Transport_4abut_c_e,0.0,243.1607148196
EX_4abut,0.0,243.1607148196
