,minimum,maximum
PSP_L,0.0,243.5022608175
GHMT2r,-186.80875354,118.0552117387
SERD_L,0.0,328.2170594839
ALATA_L,-0.094215687,263.479031646
r1435,0.0,0.006009071
GLYtm,-0.006009071,0.0
GHMT2rm,0.0,0.006009071
MLTHFtm,-0.006009071,0.0
r0962,0.0,0.006009071
FORtm,-0.006009071,0.0
r0514,0.0,0.006009071
DHFRim,0.0,0.006009071
FTHFLmi,0.0,0.006009071
MTHFCm,0.0,0.006009071
MTHFDm,0.0,0.006009071
FOLR2,0.0,0.006009071
DHFR,0.0,0.00601434
FTHFLi,0.0,1.4432817655
FTHFDH,0.0,372.5670213538
MTHFC,-372.4939209499,1.4432677319
MTHFD,0.0,1000.0
MTHFD2i,-1000.0,183.5926677908
ACACT1r,0.0,4.92669e-05
HMGCOAS,0.0,4.92669e-05
HMGCOAR,0.0,4.92669e-05
MEVK1,0.0,4.92669e-05
PMEVK,0.0,4.92669e-05
IPDDI,0.0,1.64223e-05
DPMVD,0.0,4.92669e-05
DMATT,0.0,1.64223e-05
GRTT,0.0,1.64223e-05
HMR_1465,0.0,8.2111e-06
HMR_1467,0.0,8.2111e-06
SMO,0.0,8.2111e-06
LNSTLS,0.0,8.2111e-06
HMR_1477,0.0,8.2111e-06
HMR_1478,0.0,8.2111e-06
HMR_1479,0.0,8.2111e-06
C14STR,0.0,8.2111e-06
HMR_1490,0.0,8.2111e-06
HMR_1493,0.0,8.2111e-06
HMR_1494,0.0,8.2111e-06
C3STDH1,0.0,8.2111e-06
HMR_1495,0.0,8.2111e-06
HMR_1500,0.0,8.2111e-06
HMR_1502,0.0,8.2111e-06
HMR_1503,0.0,8.2111e-06
HMR_1504,0.0,8.2111e-06
HMR_1505,0.0,8.2111e-06
HMR_1509,0.0,8.2111e-06
CHLSTI_1,0.0,8.2111e-06
HMR_1516,0.0,8.2111e-06
RE2410C,0.0,8.2111e-06
DSMSTOLR,0.0,8.2111e-06
ACCOAC,0.0,439.267605762
FASN,0.0,62.7525151089
MCAT,0.0,439.267605762
AcetoacetylACPsynthesis,0.0,62.7525151089
r0691,0.0,62.7525151089
r0681,0.0,62.7525151089
r0682,0.0,62.7525151089
r0760,0.0,62.7525151089
r0761,0.0,62.7525151089
r0762,0.0,62.7525151089
r0763,0.0,62.7525151089
r0764,0.0,62.7525151089
r0694,0.0,62.7525151089
r0695,0.0,62.7525151089
r0765,0.0,62.7525151089
r0766,0.0,62.7525151089
r0692,0.0,62.7525151089
r0693,0.0,62.7525151089
r0767,0.0,62.7525151089
r0768,0.0,62.7525151089
r0769,0.0,62.7525151089
r0770,0.0,62.7525151089
r0712,0.0,62.7525151089
r0713,0.0,62.7525151089
r0701,0.0,62.7525151089
r0702,0.0,62.7525151089
r0771,0.0,62.7525151089
r0772,0.0,62.7525151089
r0696,0.0,62.7525151089
r0697,0.0,62.7525151089
r0773,0.0,62.7525151089
FA160ACPH,0.0,62.7525151089
TMLYStd,-186.7119646675,0.0
TMLYSOX,0.0,186.7119646675
GHMT3,0.0,186.7119646675
TMABADH,0.0,186.7119646675
BBHOX,0.0,186.7119646675
SUCFUMtm,-373.4239293349,0.0
palmitateActivation,0.0,55.0566818327
carnitineAcylTransferaseI,0.0,55.0566818327
CARN160t_m,0.0,55.0566818327
carnitineAcylTransferaseII,0.0,55.0566818327
betaOxidation,0.0,55.0566818327
Biomass,0.0,0.0004024875
GLCt1,-1.7550776583,0.0
O2t,-842.1457591396,0.0
GLNt,-4.0,0.0
r0963,-0.006009071,0.0
THBPTt,-0.0001135325,0.0
ARGt5r,-0.69905216,0.0
PHEtec,-0.0002179643,0.0
ILEtec,-0.0001151428,0.0
LEUtec,-0.0002688415,0.0
VALtec,-0.22094017,0.0
METtec,-0.11570469,0.0
r2526,-0.34996805,0.0
GLYt4,-0.25,0.0
r2532,-0.05,0.0
PROPAT4te,-0.15,0.0
HDCAt,0.0,0.00015
CRNt,0.0,186.7119646675
GTHRDt2,-30.7444439814,0.0
DmLact,0.0,1.444
UREAt,0.0,192.2430654165
DmBiomass,0.0,0.0004024875
NH4t,0.0,861.9184924229
PTRCtex2,-0.000503,0.69905216
GUDACtr2,0.0,129.7851162161
CE2705t,0.0,0.0001135325
Dm2oxobutyrate,0.0,0.56486437
H2Ot,-186.2073784634,1000.0
PHLACHt,-686.230521481,665.4787130852
CO2t,0.0,1000.0
DmGSSG,0.0,15.3722219907
GLUt4,0.0,0.1775
ALAPAT4te,0.0,0.049999997
DmAla,0.0,263.5611402666
ASPte,-1000.0,0.0
DmAsp,0.0,1000.0
DmPalm,0.0,51.1314747506
ATPM,0.0,887.951371439
GACMTRc,0.0,110.6017944743
CKc_cho,0.0,110.6017944743
CRTNsyn_cho,0.0,110.6017944743
CRTNtr,0.0,110.6017944743
NDPK1,0.0,617.78131133
NDPK5,0.0,3.9838e-06
NDPK8,0.0,5.306e-06
NDPK7,0.0,3.8003e-06
DTMPK,0.0,5.269e-06
NDPK4,0.0,5.269e-06
HIStiDF,-0.14990476,0.0
PTRCOX1,0.0,0.69955516
ABUTD,0.0,0.69955516
r0465_1,0.0,443.9756857195
ABUTH,0.0,443.9756857195
GLUDC,0.0,241.7436883083
HISDr,0.0,288.8799706401
URCN,0.0,288.8799706401
IZPN,0.0,288.8799706401
GluForTx,0.0,288.8799706401
FTCD,0.0,288.8799706401
CARPEPT1tc,-471.7556990556,0.0
NBAHH_ir,0.0,610.5321249367
r0283,0.0,443.9756857195
ASP1DC,0.0,263.5611402666
CSNt,-299.2257744807,0.0
bAlaSynthesis,0.0,299.2257744807
LYSt5r,-0.4986339,0.0
LYStm,0.0,0.4986339
SACCD3m,0.0,0.4986339
r0525,0.0,0.4986339
AASAD3m,0.0,0.4986339
r0450,0.0,0.4986339
2OXOADOXm,0.0,0.54284959
GLUTCOADHm,0.0,0.54284959
3HBCDm,0.0,0.54284959
HACD1m,0.0,0.54284959
HMGCOASm,0.0,4.92669e-05
CYStec,-0.09977272,0.0
CYSTA,0.0,0.41541351
CYANt,-0.41541351,0.0
MCPST,0.0,0.41541351
TCYNTt,0.0,0.41541351
CYSO,0.0,0.41541351
3SALATAi,0.0,0.41541351
3SALAASPm,0.0,0.41541351
3SALATAim,0.0,0.41541351
3SPYRSP,0.0,0.41541351
3SPYRSPm,0.0,0.41541351
HMR_3951,0.0,0.41541351
ExSulfitem,0.0,0.41541351
PHETHPTOX2,0.0,0.0001135325
TYRt,-0.0001135325,0.0
TYRTA,0.0,4.92669e-05
34HPPOR,0.0,4.92669e-05
HGNTOR,0.0,4.92669e-05
MACACI,0.0,4.92669e-05
FUMAC,0.0,4.92669e-05
AACOAT,0.0,4.92669e-05
r2534,-0.44915968,0.0
THRD_L,0.0,0.44915968
OBDHc,0.0,4.92669e-05
PPCOAtm,0.0,4.92669e-05
r1616,-0.04421569,0.0
TRPO2,0.0,0.04421569
FKYNH,0.0,0.04421569
KYN,0.0,0.04421569
ANTHte,0.0,0.04421569
KYN3OX,0.0,0.04421569
HKYNH,0.0,0.04421569
3HAO,0.0,0.04421569
PCLAD,0.0,0.04421569
AM6SAD,0.0,0.04421569
AMCOXO,0.0,0.04421569
2OXOADPTm,0.0,0.04421569
ExCystineGlu,0.0,0.09996805
ExCystineSer,0.0,0.09996805
CystinePyruvate,0.0,0.09996805
CystineReductaseNADPH,0.0,0.09996805
CystineReductaseNADH,0.0,0.09996805
CystineGSH,0.0,0.09996805
Ex3HB,0.0,25.0
Transport3HB_forward,0.0,25.0
bBDH,0.0,25.0
OCOAT1m,0.0,25.0
ACACT1m,0.0,25.54284959
G3PD1ir,0.0,829.5129447956
GLYC3Ptm,0.0,829.5129447956
G3PDm,0.0,829.5129447956
DHAPtm,0.0,829.5129447956
CMPuptake,-1.95118e-05,0.0
UMPuptake,-4.62921e-05,0.0
Transport_ala_B_c_e,0.0,522.3575947762
EX_ala_B,0.0,522.3575947762
Transport_octanoyl_ACP_c_e,0.0,0.0
EX_octanoyl_ACP,0.0,0.0
TMDK1,0.0,5.269e-06
THYMDt1,-5.269e-06,0.0
EX_thymd,0.0,5.269e-06
Transport_HC00576_c_e,0.0,237.5227821988
EX_HC00576,0.0,237.5227821988
Transport_4abut_c_e,0.0,242.3052990231
EX_4abut,0.0,242.3052990231
