,minimum,maximum
OIVD1m,0.0,0.0
ACOAD8m,0.0,0.0
MCCCrm,0.0,0.0
MGCHrm,0.0,0.0
HMGCOAtm,10.7669212587,10.7669212587
VALTA,0.0,385.7909675562
3MOBt2im,0.0,385.7909675562
VALTAim,0.0,375.8206679925
OIVD2m,0.0,385.7909675562
ACOAD9m,0.0,385.7909675562
ECOAH12m,0.0,385.7909675562
3HBCOAHLm,0.0,385.7909675562
HIBDm,0.0,385.7909675562
r0643,0.0,385.7909675562
MMSAD1m,0.0,0.0
MMTSADm,0.0,377.5149153465
PCC,10.7669212587,10.7669212587
MMALH,0.0,385.7909675562
MMEm,10.7669212587,396.5578888149
MMMm,10.7669212587,396.5578888149
ILEtmi,0.0,0.0
LEUt5m,0.0,0.0
VALt5m,0.0,375.8206679925
PGCD,0.0,293.9333444744
PSERT,0.0,293.9333444744
PSP_L,0.0,293.9333444744
GHMT2r,-284.0816167394,546.3298085279
SERD_L,0.0,495.4012370533
ALATA_L,-498.640830782,1000.0
r1435,0.0,422.7221295146
GLYtm,-422.7221295146,0.0
GHMT2rm,0.0,422.7221295146
MLTHFtm,-422.8424186351,0.0
r0962,0.0,422.8424186351
FORtm,-1.7944868765,0.0
r0514,0.0,422.8424186351
DHFRim,0.0,422.8424186351
FTHFLmi,0.0,1.7944868765
MTHFCm,0.0,1.7944868765
MTHFDm,0.0,1.7944868765
FOLR2,0.0,468.5608387363
DHFR,1.1514939317,469.712332668
FTHFLi,0.0,1.7944868765
FTHFDH,0.0,455.0530439157
MTHFC,-474.9015588241,-18.0540280319
MTHFD,0.0,1000.0
MTHFD2i,-1000.0,322.1170541135
ACACT1r,0.0,0.0
HMGCOAS,0.0,0.0
HMGCOAR,10.7669212587,10.7669212587
MEVK1,10.7669212587,10.7669212587
PMEVK,10.7669212587,10.7669212587
IPDDI,3.5889737529,3.5889737529
DPMVD,10.7669212587,10.7669212587
DMATT,3.5889737529,3.5889737529
GRTT,3.5889737529,3.5889737529
HMR_1465,1.7944868765,1.7944868765
HMR_1467,1.7944868765,1.7944868765
SMO,1.7944868765,1.7944868765
LNSTLS,1.7944868765,1.7944868765
HMR_1477,1.7944868765,1.7944868765
HMR_1478,1.7944868765,1.7944868765
HMR_1479,1.7944868765,1.7944868765
C14STR,1.7944868765,1.7944868765
HMR_1490,1.7944868765,1.7944868765
HMR_1493,1.7944868765,1.7944868765
HMR_1494,1.7944868765,1.7944868765
C3STDH1,0.0,1.7944868765
HMR_1495,0.0,1.7944868765
HMR_1500,1.7944868765,1.7944868765
HMR_1502,1.7944868765,1.7944868765
HMR_1503,1.7944868765,1.7944868765
HMR_1504,1.7944868765,1.7944868765
HMR_1505,1.7944868765,1.7944868765
HMR_1509,1.7944868765,1.7944868765
CHLSTI_1,1.7944868765,1.7944868765
HMR_1516,1.7944868765,1.7944868765
RE2410C,1.7944868765,1.7944868765
DSMSTOLR,1.7944868765,1.7944868765
ACCOAC,0.0,0.0
FASN,0.0,0.0
MCAT,0.0,0.0
AcetoacetylACPsynthesis,0.0,0.0
r0691,0.0,0.0
r0681,0.0,0.0
r0682,0.0,0.0
r0760,0.0,0.0
r0761,0.0,0.0
r0762,0.0,0.0
r0763,0.0,0.0
r0764,0.0,0.0
r0694,0.0,0.0
r0695,0.0,0.0
r0765,0.0,0.0
r0766,0.0,0.0
r0692,0.0,0.0
r0693,0.0,0.0
r0767,0.0,0.0
r0768,0.0,0.0
r0769,0.0,0.0
r0770,0.0,0.0
r0712,0.0,0.0
r0713,0.0,0.0
r0701,0.0,0.0
r0702,0.0,0.0
r0771,0.0,0.0
r0772,0.0,0.0
r0696,0.0,0.0
r0697,0.0,0.0
r0773,0.0,0.0
FA160ACPH,0.0,0.0
TMLYStd,-226.5359033787,0.0
TMLYSOX,0.0,226.5359033787
GHMT3,0.0,226.5359033787
TMABADH,0.0,226.5359033787
BBHOX,0.0,226.5359033787
SUCFUMtm,-453.0718067574,0.0
palmitateActivation,0.0,0.0
carnitineAcylTransferaseI,0.0,0.0
CARN160t_m,0.0,0.0
carnitineAcylTransferaseII,0.0,0.0
betaOxidation,0.0,0.0
Biomass,87.960731163,87.960731163
GLCt1,-634.1305229059,-287.1936600778
O2t,-1000.0,-224.0184557945
GLNt,-1000.0,-48.5233614246
r0963,-473.927085037,0.0
THBPTt,-14.0447779055,0.0
ARGt5r,-811.6118771789,-31.6007722776
PHEtec,-36.8675969775,-22.8228190719
ILEtec,-25.1636300497,-25.1636300497
LEUtec,-47.9864491216,-47.9864491216
VALtec,-416.8065370894,-31.0155695332
METtec,-13.4595751611,-13.4595751611
r2526,-952.8145945579,0.0
GLYt4,-871.1216245724,0.0
r2532,-1000.0,-24.5784273052
PROPAT4te,-416.2308785997,0.0
HDCAt,23.8407886137,1000.0
CRNt,0.0,226.5359033787
GTHRDt2,-30.3136017602,0.0
DmLact,504.5987629467,1000.0
UREAt,0.0,780.0111049013
DmBiomass,87.960731163,87.960731163
NH4t,0.0,1000.0
PTRCtex2,-775.9815442055,780.0111049013
GUDACtr2,0.0,780.0111049013
CE2705t,0.0,14.0447779055
Dm2oxobutyrate,0.0,961.7286377139
H2Ot,-463.9386822221,1000.0
PHLACHt,-241.7188199252,1000.0
CO2t,241.1393049162,1000.0
DmGSSG,0.0,15.1568008801
GLUt4,0.0,1000.0
ALAPAT4te,0.0,1000.0
DmAla,0.0,1000.0
ASPte,-1000.0,0.0
DmAsp,0.0,1000.0
DmPalm,0.0,976.1592113863
ATPM,0.0,0.0
GACMTRc,0.0,0.0
CKc_cho,0.0,0.0
CRTNsyn_cho,0.0,0.0
CRTNtr,0.0,0.0
NDPK1,0.0,0.0
NDPK5,0.8706353171,0.8706353171
NDPK8,1.1595863189,1.1595863189
NDPK7,0.8305252236,0.8305252236
DTMPK,1.1514939317,1.1514939317
NDPK4,1.1514939317,1.1514939317
HIStiDF,-359.3368052864,0.0
PTRCOX1,0.0,775.9815442055
ABUTD,0.0,775.9815442055
r0465_1,0.0,0.0
ABUTH,0.0,0.0
GLUDC,0.0,780.0111049013
HISDr,0.0,348.218041103
URCN,0.0,348.218041103
IZPN,0.0,348.218041103
GluForTx,0.0,348.218041103
FTCD,0.0,348.218041103
CARPEPT1tc,-298.9433959061,0.0
NBAHH_ir,0.0,298.9433959061
r0283,0.0,0.0
ASP1DC,0.0,780.0111049013
CSNt,-414.5141955746,0.0
bAlaSynthesis,0.0,414.5141955746
LYSt5r,-282.4635367947,-52.0827803719
LYStm,0.0,230.3807564228
SACCD3m,-0.0,230.3807564228
r0525,0.0,230.3807564228
AASAD3m,0.0,230.3807564228
r0450,0.0,230.3807564228
2OXOADOXm,0.0,230.3807564228
GLUTCOADHm,0.0,230.3807564228
3HBCDm,0.0,230.3807564228
HACD1m,0.0,230.3807564228
HMGCOASm,10.7669212587,10.7669212587
CYStec,-1000.0,0.0
CYSTA,0.0,1000.0
CYANt,-1000.0,0.0
MCPST,0.0,1000.0
TCYNTt,0.0,1000.0
CYSO,0.0,552.2728522197
3SALATAi,0.0,548.0389515219
3SALAASPm,0.0,375.4548201754
3SALATAim,0.0,375.4548201754
3SPYRSP,0.0,548.0389515219
3SPYRSPm,0.0,375.4548201754
HMR_3951,0.0,548.0389515219
ExSulfitem,0.0,375.4548201754
PHETHPTOX2,0.0,14.0447779055
TYRt,-14.0447779055,0.0
TYRTA,0.0,0.0
34HPPOR,0.0,0.0
HGNTOR,0.0,0.0
MACACI,0.0,0.0
FUMAC,0.0,0.0
AACOAT,0.0,0.0
r2534,-1000.0,-38.2713622861
THRD_L,10.7669212587,972.4955589726
OBDHc,10.7669212587,10.7669212587
PPCOAtm,10.7669212587,10.7669212587
r1616,-1.1704054889,-1.1704054889
TRPO2,0.0,0.0
FKYNH,0.0,0.0
KYN,0.0,0.0
ANTHte,0.0,0.0
KYN3OX,0.0,0.0
HKYNH,0.0,0.0
3HAO,0.0,0.0
PCLAD,0.0,0.0
AM6SAD,0.0,0.0
AMCOXO,0.0,0.0
2OXOADPTm,0.0,0.0
ExCystineGlu,0.0,774.7028024838
ExCystineSer,0.0,780.0226242245
CystinePyruvate,0.0,495.4012370533
CystineReductaseNADPH,0.0,518.4580578915
CystineReductaseNADH,0.0,518.4580578915
CystineGSH,0.0,518.4580578915
Ex3HB,0.0,25.0
Transport3HB_forward,0.0,25.0
bBDH,0.0,25.0
OCOAT1m,0.0,25.0
ACACT1m,0.0,232.0592065555
G3PD1ir,0.0,830.0773614137
GLYC3Ptm,0.0,830.0773614137
G3PDm,0.0,830.0773614137
DHAPtm,0.0,830.0773614137
CMPuptake,-4.2641603253,-4.2641603253
UMPuptake,-5.8526431694,-5.8526431694
Transport_ala_B_c_e,0.0,899.9117400636
EX_ala_B,0.0,899.9117400636
Transport_octanoyl_ACP_c_e,0.0,0.0
EX_octanoyl_ACP,0.0,0.0
TMDK1,0.0,0.0
THYMDt1,0.0,0.0
EX_thymd,0.0,0.0
Transport_HC00576_c_e,0.0,0.0
EX_HC00576,0.0,0.0
Transport_4abut_c_e,0.0,1000.0
EX_4abut,0.0,1000.0
