Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	std_MCF102A	mean_MDAMB361	std_MDAMB361	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	4.962572176820633	0.996153992749346	4.962572176820633	0.0038460072506539	95.06304666666666	26.424635480501053	2.3327066666666667	0.2599208115732346	1.0	40.75225060444805	5.348807831438834
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	3.05110847038767	0.9810064801879048	3.05110847038767	0.0189935198120952	33.32140999999999	4.6820055847040605	22.90956333333333	1.1699843401041266	1.0	1.454475998305802	0.5404994893492552
G6PP	-4.836353966903279	0.0042111660926968	-4.836353966903279	0.9957888339073032	123.85077333333334	6.306777953579431	168.74265333333335	11.512691583538968	-1.0	0.7339624622867531	-0.4462218150035956
PGI	1.7041007176008882	0.9182164374004178	1.7041007176008882	0.0817835625995821	85.43209999999999	18.91013593551	62.39326666666667	2.822809318230488	0.0	1.3692519171406314	0.45338790033895005
PFK	-0.2522510817506699	0.4066392259215567	-0.2522510817506699	0.5933607740784432	103.33859	28.96771942048712	108.70725666666664	8.173477604358842	0.0	0.9506135392310672	-0.07306914533798564
FBP	-261.4151807768538	6.423262519948473e-10	-261.4151807768538	0.9999999993576738	0.0424433333333333	0.0301673381140744	25.61529333333333	0.1350157700254149	-1.0	0.0016569528516037543	-9.237251733234407
FBA	3.3772989519465946	0.9860725315983876	3.3772989519465946	0.0139274684016123	45.24776	11.068472326932325	18.020153333333337	2.734760255577971	1.0	2.5109531069472952	1.328235085954573
TPI	0.1748902636238085	0.5651692630090602	0.1748902636238085	0.4348307369909397	1764.7924633333332	604.4537048416506	1688.8471433333334	108.50864866773354	0.0	1.0449687352107568	0.06345977844859502
GAPD	-0.4082868622177036	0.3519869390540132	-0.4082868622177036	0.6480130609459869	4453.822003333334	2404.350128827296	5155.342196666667	351.49917052855403	0.0	0.863923641424439	-0.21102429060803019
PGK	1.3673330152975507	0.8783417145657901	1.3673330152975507	0.1216582854342098	27.848076666666667	13.297774811108646	14.978106666666667	0.5983857943018224	0.0	1.8592521262144392	0.8947224219923818
DPGM	1.009791284891943	0.8151410625979431	1.009791284891943	0.1848589374020569	309.97781333333336	222.59861805649385	150.92255333333333	8.399339911589614	0.0	2.0538866225560373	1.0383565450491496
DPGase	1.009791284891943	0.8151410625979431	1.009791284891943	0.1848589374020569	309.97781333333336	222.59861805649385	150.92255333333333	8.399339911589614	0.0	2.0538866225560373	1.0383565450491496
PGM_f	1.009791284891943	0.8151410625979431	1.009791284891943	0.1848589374020569	309.97781333333336	222.59861805649385	150.92255333333333	8.399339911589614	0.0	2.0538866225560373	1.0383565450491496
PGM_b	1.009791284891943	0.8151410625979431	1.009791284891943	0.1848589374020569	309.97781333333336	222.59861805649385	150.92255333333333	8.399339911589614	0.0	2.0538866225560373	1.0383565450491496
ENO_f	1.82824175981284	0.9292419480177094	1.82824175981284	0.0707580519822905	1000.50093	376.5896277476224	510.9323166666666	39.92118817964996	0.0	1.9581868231144381	0.9695184135233033
ENO_b	1.82824175981284	0.9292419480177094	1.82824175981284	0.0707580519822905	1000.50093	376.5896277476224	510.9323166666666	39.92118817964996	0.0	1.9581868231144381	0.9695184135233033
PYK	1.7550652909291742	0.9229490113550496	1.7550652909291742	0.0770509886449502	770.7759733333332	175.80445106659468	549.8308366666666	28.09572515255937	0.0	1.401842024732807	0.48732377946564454
LDH_L	4.481294316745075	0.9945105344119118	4.481294316745075	0.0054894655880881	1240.7522266666667	307.54452869634497	265.4733933333333	12.0358714442684	1.0	4.673734761467245	2.22457586223932
r0407	3.3772989519465946	0.9860725315983876	3.3772989519465946	0.0139274684016123	45.24776	11.068472326932325	18.020153333333337	2.734760255577971	1.0	2.5109531069472952	1.328235085954573
PRPPS	0.7672960657113649	0.757154969720981	0.7672960657113649	0.242845030279019	33.29793	11.653843270829867	26.96447333333333	0.6733180808668535	0.0	1.2348815268287583	0.3043726378785066
G6PDH2r	-18.824317248157094	2.344863569391e-05	-18.824317248157094	0.999976551364306	54.52883666666667	13.785244152190009	432.0868066666667	24.789670045915408	-1.0	0.12619880039228537	-2.9862298983254303
PGL	-0.400559751915871	0.3546083542617692	-0.400559751915871	0.6453916457382309	66.84778333333333	11.13923906698698	70.16816999999999	3.6530197643137208	0.0	0.9526795886700955	-0.06993701565499241
GND	-1.3144037004787177	0.1295060623973668	-1.3144037004787177	0.8704939376026332	65.40235666666666	23.60444045408453	87.66327333333334	4.061481628801106	0.0	0.7460633647340418	-0.4226299280725555
RPI	2.176627483079776	0.9524487981473796	2.176627483079776	0.0475512018526203	3.83033	1.255651899559216	1.8828466666666668	0.1562192871859581	1.0	2.034329224897053	1.0245531760935724
TKT2_f	3.94509994604132	0.9915563484347928	3.94509994604132	0.0084436515652073	360.3257066666667	67.02471702112156	172.16420666666667	7.570424739050125	1.0	2.0929188107276344	1.0655163471251619
TKT2_b	3.94509994604132	0.9915563484347928	3.94509994604132	0.0084436515652073	360.3257066666667	67.02471702112156	172.16420666666667	7.570424739050125	1.0	2.0929188107276344	1.0655163471251619
RPE_f	3.469683724933891	0.9872045077819748	3.469683724933891	0.0127954922180251	36.5147	8.152718785301012	16.219553333333334	1.4004627993472571	1.0	2.2512765456344255	1.17074328758268
RPE_b	3.469683724933891	0.9872045077819748	3.469683724933891	0.0127954922180251	36.5147	8.152718785301012	16.219553333333334	1.4004627993472571	1.0	2.2512765456344255	1.17074328758268
TKT1_f	3.94509994604132	0.9915563484347928	3.94509994604132	0.0084436515652073	360.3257066666667	67.02471702112156	172.16420666666667	7.570424739050125	1.0	2.0929188107276344	1.0655163471251619
TKT1_b	3.94509994604132	0.9915563484347928	3.94509994604132	0.0084436515652073	360.3257066666667	67.02471702112156	172.16420666666667	7.570424739050125	1.0	2.0929188107276344	1.0655163471251619
TALA_f	-2.5335606081111908	0.032210123512008	-2.5335606081111908	0.967789876487992	63.35532333333334	9.269566964773611	80.17222333333332	1.480554999818949	-1.0	0.7902403188934889	-0.33963663887325646
TALA_b	-2.5335606081111908	0.032210123512008	-2.5335606081111908	0.967789876487992	63.35532333333334	9.269566964773611	80.17222333333332	1.480554999818949	-1.0	0.7902403188934889	-0.33963663887325646
r0408	-0.2522510817506699	0.4066392259215567	-0.2522510817506699	0.5933607740784432	103.33859	28.96771942048712	108.70725666666664	8.173477604358842	0.0	0.9506135392310672	-0.07306914533798564
PDHm	0.1990178426054702	0.5740221892801904	0.1990178426054702	0.4259778107198095	2.7978400000000003	0.6780849576564872	2.7002399999999995	0.1456069135263387	0.0	1.0361449352650138	0.05122582036346454
PCm	13.233951702359606	0.999905808921704	13.233951702359606	9.419107829604346e-05	8.51182	0.6415158548833116	2.278213333333333	0.1794395408549136	1.0	3.736182154436811	1.9015647941526137
PEPCK_re	-2.5496732294158946	0.031663680674055	-2.5496732294158946	0.9683363193259448	0.0	0.0	0.3589233333333333	0.1990820784389081	-1.0	0.0	
CSm	-0.6472522590966671	0.2763699822555288	-0.6472522590966671	0.7236300177444712	51.53575333333333	27.200402482866973	64.17082666666666	4.720642374679769	0.0	0.8031025313268003	-0.31634390789967287
ACONTm_f	-1.3492906152906434	0.1242795950364035	-1.3492906152906434	0.8757204049635964	10.886616666666669	4.700753812303819	15.568353333333334	1.407696500962556	0.0	0.6992786220593659	-0.5160606942616636
ACONTm_b	-1.3492906152906434	0.1242795950364035	-1.3492906152906434	0.8757204049635964	10.886616666666669	4.700753812303819	15.568353333333334	1.407696500962556	0.0	0.6992786220593659	-0.5160606942616636
ICDHxm	0.7641416907068223	0.7563146735467393	0.7641416907068223	0.2436853264532606	5.68516	4.07798435904308	3.4776933333333333	0.2461471713336466	0.0	1.6347502367469624	0.7090702322177904
ICDHym_f	-30.87134662629762	3.279949011170269e-06	-30.87134662629762	0.9999967200509888	23.215823333333333	3.1854907258310385	269.26517666666666	10.811999067857696	-1.0	0.08621918222300635	-3.5358473109559347
ICDHym_b	-30.87134662629762	3.279949011170269e-06	-30.87134662629762	0.9999967200509888	23.215823333333333	3.1854907258310385	269.26517666666666	10.811999067857696	-1.0	0.08621918222300635	-3.5358473109559347
AKGDm	1.303940498992047	0.8688851076237796	1.303940498992047	0.1311148923762204	9.47343	1.6580579828823845	7.86356	0.5471863991365279	0.0	1.2047253406853895	0.26870427110488204
SUCOAS1m_f	0.6604048203125968	0.7274564676157533	0.6604048203125968	0.2725435323842468	1.84856	0.6729100846819481	1.5223566666666668	0.1874949859477728	0.0	1.2142752355448898	0.28009546932819857
SUCOAS1m_b	0.6604048203125968	0.7274564676157533	0.6604048203125968	0.2725435323842468	1.84856	0.6729100846819481	1.5223566666666668	0.1874949859477728	0.0	1.2142752355448898	0.28009546932819857
SUCD1m	3.2127704668581294	0.9837484342499252	3.2127704668581294	0.0162515657500748	17.951523333333334	4.393606675775862	7.82373	0.7555829551192026	1.0	2.2944967852077376	1.1981777854086715
FUMm_f	3.2569799835711915	0.9844152322860648	3.2569799835711915	0.015584767713935	68.87960333333334	7.720184833073766	47.10685	5.45672980216173	1.0	1.4621993050550681	0.5481399712201431
FUMm_b	3.2569799835711915	0.9844152322860648	3.2569799835711915	0.015584767713935	68.87960333333334	7.720184833073766	47.10685	5.45672980216173	1.0	1.4621993050550681	0.5481399712201431
MDHm_f	-0.5658616524437166	0.3008614415580487	-0.5658616524437166	0.6991385584419513	98.15833666666668	67.91909751960604	125.50066666666667	7.523636876858302	0.0	0.7821339860080425	-0.35451232061383736
MDHm_b	-0.5658616524437166	0.3008614415580487	-0.5658616524437166	0.6991385584419513	98.15833666666668	67.91909751960604	125.50066666666667	7.523636876858302	0.0	0.7821339860080425	-0.35451232061383736
ME1m	4.101548248471391	0.9925828776432128	4.101548248471391	0.007417122356787	5.34101	1.4120513093604874	1.2439133333333334	0.0420961806132363	1.0	4.29371553216462	2.1022266127313753
ME2m	-4.62666505305339	0.0049158896231595	-4.62666505305339	0.9950841103768404	0.0545166666666666	0.0138743944812817	0.1437433333333333	0.0234807897841807	-1.0	0.3792639658650832	-1.3987257882098516
ME2	3.691793193612893	0.9895071399888764	3.691793193612893	0.0104928600111235	3.7649	1.0718455919891945	0.9481733333333334	0.1240677990276105	1.0	3.970687497363351	1.9893888217676885
ACITL	4.090663961080274	0.9925165079456632	4.090663961080274	0.0074834920543367	46.98083	11.250031775815865	14.385636666666665	0.6487934470658251	1.0	3.2658151382941925	1.7074431293520462
FUM_f	3.2569799835711915	0.9844152322860648	3.2569799835711915	0.015584767713935	68.87960333333334	7.720184833073766	47.10685	5.45672980216173	1.0	1.4621993050550681	0.5481399712201431
FUM_b	3.2569799835711915	0.9844152322860648	3.2569799835711915	0.015584767713935	68.87960333333334	7.720184833073766	47.10685	5.45672980216173	1.0	1.4621993050550681	0.5481399712201431
MDH_f	5.495450284828701	0.9973279685517832	5.495450284828701	0.0026720314482168	121.82471	17.008061378275883	52.49838	5.386422117181929	1.0	2.320542271971059	1.2144619784852835
MDH_b	5.495450284828701	0.9973279685517832	5.495450284828701	0.0026720314482168	121.82471	17.008061378275883	52.49838	5.386422117181929	1.0	2.320542271971059	1.2144619784852835
AKGMALtm_f	-19.6938316548976	1.9605231087326462e-05	-19.6938316548976	0.9999803947689128	66.32329333333334	8.735291968027683	282.56275	12.838150846995063	-1.0	0.23472058271422308	-2.090983737143294
AKGMALtm_b	-19.6938316548976	1.9605231087326462e-05	-19.6938316548976	0.9999803947689128	66.32329333333334	8.735291968027683	282.56275	12.838150846995063	-1.0	0.23472058271422308	-2.090983737143294
ACONT	-2.1529337853684765	0.0488298361932313	-2.1529337853684765	0.9511701638067686	5.097563333333333	1.1237031324845344	7.070703333333333	0.6459065098672478	-1.0	0.7209414810690684	-0.47204593444727616
ICDHyr	3.9489939726539567	0.9915838966996988	3.9489939726539567	0.0084161033003009	82.18729	15.906242188180924	37.547263333333326	1.599733652004469	1.0	2.1889022715281783	1.1302075435873538
PPA	4.312518385937464	0.9937394437039452	4.312518385937464	0.0062605562960547	125.85272666666668	30.483811773080845	32.884006666666664	0.4700243436485215	1.0	3.8271713037401573	1.936278477313012
Complex1ROS	-3.5628477785703714	0.0117629603125697	-3.5628477785703714	0.9882370396874304	0.2633399999999999	0.0765959428864653	0.6251733333333332	0.121494226291714	-1.0	0.4212271796621736	-1.2473295656967414
FADH2ETC	3.1670761674123966	0.9830235937416684	3.1670761674123966	0.0169764062583314	4.65811	0.905553609567098	2.5555000000000003	0.2479700168703197	1.0	1.8227783212678532	0.8661391174637039
CYOR_u10mi	-3.4479712114767915	0.0130513998591807	-3.4479712114767915	0.9869486001408192	15.126473333333331	2.3510582736338583	22.684906666666667	2.020760935758828	-1.0	0.6668078275834504	-0.5846570548258653
CYOOm2i	2.000361630051033	0.9419657057360832	2.000361630051033	0.0580342942639166	101.23583666666666	20.45336766933721	70.81716666666667	6.643811504497164	0.0	1.4295380828094881	0.5155490537910193
ATPS4mi	3.305932066746601	0.9851162223696268	3.305932066746601	0.0148837776303731	31.60823666666667	8.502766440045	11.10087	2.159261429717733	1.0	2.8473657169813418	1.5096278054054837
GLUCYS	-0.3551273715288902	0.3702141741079813	-0.3551273715288902	0.6297858258920187	3.9288	1.2627442000922702	4.258399999999999	0.358164798475041	0.0	0.9226000375727974	-0.11622274373017617
GTHS	-18.37436362305281	2.580742423350371e-05	-18.37436362305281	0.9999741925757664	36.23929999999999	2.628758125503371	72.57228333333333	0.953752690877231	-1.0	0.4993545515654851	-1.0018635736108759
SPODMm	3.791446937153523	0.9903775668834026	3.791446937153523	0.0096224331165973	8.173463333333332	1.9582027384029688	2.7734566666666667	0.4716734141566834	1.0	2.9470312017374223	1.5592623350983397
GTHPi	19.77494411395533	0.9999807117729318	19.77494411395533	1.9288227068218343e-05	6749.106586666666	5.166847461036713	3995.9574966666655	196.8248256331188	1.0	1.6889835771017618	0.7561553001055297
GTHPm	15.808072365226757	0.9999532149075272	15.808072365226757	4.67850924726869e-05	6476.364129999999	203.2672446140056	3449.53514	178.90424477417395	1.0	1.8774599669681866	0.9087821455173242
GDR	-0.9140664137869812	0.2061980168595683	-0.9140664137869812	0.7938019831404317	11.82044	1.746270746247557	13.088676666666666	0.8947993632963512	0.0	0.9031042863258649	-0.14703550177924382
GTHOr	-0.9140664137869812	0.2061980168595683	-0.9140664137869812	0.7938019831404317	11.82044	1.746270746247557	13.088676666666666	0.8947993632963512	0.0	0.9031042863258649	-0.14703550177924382
GDRm	-0.9140664137869812	0.2061980168595683	-0.9140664137869812	0.7938019831404317	11.82044	1.746270746247557	13.088676666666666	0.8947993632963512	0.0	0.9031042863258649	-0.14703550177924382
GTHOm	-0.9140664137869812	0.2061980168595683	-0.9140664137869812	0.7938019831404317	11.82044	1.746270746247557	13.088676666666666	0.8947993632963512	0.0	0.9031042863258649	-0.14703550177924382
r0885	-2.267428553071281	0.0429857638073277	-2.267428553071281	0.9570142361926725	14.531996666666666	4.709455362950394	24.02408	3.5875974545741145	-1.0	0.6048929518494222	-0.7252482442367122
PYRt2m_f	8.70941170132037	0.9995214481400898	8.70941170132037	0.0004785518599101	113.87540666666666	15.024616860921578	21.32944	0.2888923973846777	1.0	5.338884033836175	2.416538212492506
PYRt2m_b	8.70941170132037	0.9995214481400898	8.70941170132037	0.0004785518599101	113.87540666666666	15.024616860921578	21.32944	0.2888923973846777	1.0	5.338884033836175	2.416538212492506
HMR_4964	-3.9667838978067262	0.0082916135738573	-3.9667838978067262	0.9917083864261426	958.4784166666668	51.68920543971912	1214.8961233333332	75.4002508053505	-1.0	0.7889385752889487	-0.34201511476989843
r2420	0.590551196373358	0.7067136059534811	0.590551196373358	0.2932863940465188	565.1561666666666	79.65168564066609	530.3994566666667	24.152826017880862	0.0	1.0655293092086313	0.09157027746448226
ATPtm	4.193419658403854	0.9931157306185628	4.193419658403854	0.0068842693814372	1429.28418	330.8252376796282	433.9773933333333	56.78377507520751	1.0	3.293453073723088	1.7196009942445047
FUMtm_f	-2.267428553071281	0.0429857638073277	-2.267428553071281	0.9570142361926725	14.531996666666666	4.709455362950394	24.02408	3.5875974545741145	-1.0	0.6048929518494222	-0.7252482442367122
FUMtm_b	-2.267428553071281	0.0429857638073277	-2.267428553071281	0.9570142361926725	14.531996666666666	4.709455362950394	24.02408	3.5875974545741145	-1.0	0.6048929518494222	-0.7252482442367122
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	1.271950394025822	0.863845431888409	1.271950394025822	0.136154568111591	19.101740000000003	1.9549684153117832	17.092023333333334	1.082161088727347	0.0	1.117582139192805	0.1603808693962783
r0801_b	1.271950394025822	0.863845431888409	1.271950394025822	0.136154568111591	19.101740000000003	1.9549684153117832	17.092023333333334	1.082161088727347	0.0	1.117582139192805	0.1603808693962783
THD1m	4.355721434391185	0.993948675507661	4.355721434391185	0.0060513244923389	3.96753	0.7571799221233131	1.56706	0.184708253379936	1.0	2.531830306433704	1.3401807127162277
H2Otm_f	-2.9484771135919634	0.0210164864398273	-2.9484771135919634	0.9789835135601728	0.0407166666666666	0.0293457235196014	0.1667433333333333	0.0528464885830227	-1.0	0.2441876736701114	-2.033937718410661
H2Otm_b	-2.9484771135919634	0.0210164864398273	-2.9484771135919634	0.9789835135601728	0.0407166666666666	0.0293457235196014	0.1667433333333333	0.0528464885830227	-1.0	0.2441876736701114	-2.033937718410661
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	21.039048566874648	0.9999849164323278	21.039048566874648	1.50835676722738e-05	258.6990633333333	16.048099077885283	19.525816666666667	0.9613873753533944	1.0	13.249077759444972	3.7278200350778223
HCO3Em	-12.920158680754932	0.000103490770177	-12.920158680754932	0.9998965092298228	0.4374	0.0632262809281077	1.95326	0.1534041563974066	-1.0	0.22393332172880212	-2.1588588747985367
GLUN	2.785505877822112	0.975230541852219	2.785505877822112	0.0247694581477809	10.03258	4.184203837553806	1.7534333333333334	0.4008316771691357	1.0	5.72167747086668	2.5164381756940113
GLNS	-0.2340304518831767	0.4132257903859764	-0.2340304518831767	0.5867742096140236	987.2912666666668	221.6372223591632	1026.1141266666666	76.90673082745374	0.0	0.9621651637073588	-0.055643528949302384
GLUt2m	-15.743268753776356	4.754987575100237e-05	-15.743268753776356	0.9999524501242488	35.36752	5.009223115141376	97.94218333333332	2.550305064815233	-1.0	0.3611061015418791	-1.4695052974481042
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	2.755833339786465	0.9744662335614932	2.755833339786465	0.0255337664385067	10.344476666666669	4.250586403288636	2.020173333333333	0.4250991362285064	1.0	5.120588662359007	2.356309671836367
GLUPRT	-0.3600799853312784	0.3684974617761285	-0.3600799853312784	0.6315025382238715	5.1331	1.8272847711472529	5.628973333333334	0.6737574549907079	0.0	0.9119069670490533	-0.1330414470578951
PRAGSr	2.3020041073452813	0.958621792709142	2.3020041073452813	0.041378207290858	26.306933333333333	10.843617866543536	8.618896666666666	0.7043777457365392	1.0	3.0522390917012197	1.6098679775398501
GARFT	2.3020041073452813	0.958621792709142	2.3020041073452813	0.041378207290858	26.306933333333333	10.843617866543536	8.618896666666666	0.7043777457365392	1.0	3.0522390917012197	1.6098679775398501
PRFGS	7.0843656097332754	0.9989520916884522	7.0843656097332754	0.0010479083115477	18.667136666666664	1.767957724161474	8.598283333333333	0.9562364099019776	1.0	2.17103065146725	1.1183800946346019
PRAIS	2.3020041073452813	0.958621792709142	2.3020041073452813	0.041378207290858	26.306933333333333	10.843617866543536	8.618896666666666	0.7043777457365392	1.0	3.0522390917012197	1.6098679775398501
AIRCr	-0.2568088602925837	0.4049973513707758	-0.2568088602925837	0.5950026486292241	105.58597000000002	24.950239211359616	110.22200333333336	5.4100510927490815	0.0	0.9579391301815386	-0.06199410841986951
PRASCSi	-0.2568088602925837	0.4049973513707758	-0.2568088602925837	0.5950026486292241	105.58597000000002	24.950239211359616	110.22200333333336	5.4100510927490815	0.0	0.9579391301815386	-0.06199410841986951
ADSL2r	3.162943015612776	0.9829561714935798	3.162943015612776	0.0170438285064202	2.022253333333333	0.6360994815453179	0.59309	0.0608865327200249	1.0	3.4096904910440795	1.7696407869615953
AICART	2.2954974084093496	0.958324505972512	2.2954974084093496	0.041675494027488	36.59657333333333	12.646532577146283	16.043006666666667	0.6391382877141867	1.0	2.28115428072294	1.1897640233737992
IMPC	2.2954974084093496	0.958324505972512	2.2954974084093496	0.041675494027488	36.59657333333333	12.646532577146283	16.043006666666667	0.6391382877141867	1.0	2.28115428072294	1.1897640233737992
ADSS	9.792606749305342	0.999695264418246	9.792606749305342	0.0003047355817539	26.784386666666663	1.1951636638924763	15.707263333333335	1.0633364284907922	1.0	1.705222997683237	0.7699604176158846
ADSL1r	3.162943015612776	0.9829561714935798	3.162943015612776	0.0170438285064202	2.022253333333333	0.6360994815453179	0.59309	0.0608865327200249	1.0	3.4096904910440795	1.7696407869615953
IMPDH2	5.649705799167008	0.9975825982289954	5.649705799167008	0.0024174017710045	510.8497766666666	46.65165314800061	319.07803	11.312323490656848	1.0	1.601018336068662	0.678989830779745
GMPS	-0.714042751950735	0.2573269731670431	-0.714042751950735	0.7426730268329569	11.227150000000002	3.219050252615928	12.943550000000002	1.0927073445651712	0.0	0.8673934121628147	-0.20524160888732582
GMPS2	-0.714042751950735	0.2573269731670431	-0.714042751950735	0.7426730268329569	11.227150000000002	3.219050252615928	12.943550000000002	1.0927073445651712	0.0	0.8673934121628147	-0.20524160888732582
GK1	-7.068537906604296	0.0010567408724048	-7.068537906604296	0.9989432591275952	217.26895666666667	37.962777162912566	419.2352966666666	13.84239157402683	-1.0	0.5182506301214826	-0.9482781294328739
RNDR2	-0.2241537872794645	0.4168107685442732	-0.2241537872794645	0.5831892314557268	6.668783333333333	4.922404583211565	7.457783333333331	0.7412106565762676	0.0	0.8942044888226397	-0.16132330679487827
ADK1	11.55863969170582	0.9998399969518784	11.55863969170582	0.0001600030481215	57.36313333333334	4.736376745778946	18.05934333333333	0.8318235386720486	1.0	3.176368723632071	1.6673783951252787
RNDR1	-0.2241537872794645	0.4168107685442732	-0.2241537872794645	0.5831892314557268	6.668783333333333	4.922404583211565	7.457783333333331	0.7412106565762676	0.0	0.8942044888226397	-0.16132330679487827
CBPS	2.116968298406998	0.9491556429399814	2.116968298406998	0.0508443570600185	29.73268	6.433607736260168	19.57739666666667	2.1523938014736577	0.0	1.5187249104792446	0.6028605754172459
