Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_trp__L_e_r	927348187119.0	1.0	927348187119.0	0.0	0.028203847209998	0.03018	0.011390306784324303	0.008142495259998167	0.00845	0.0031816778082261045
EX_anth_e	947142606251.5	1.0	947142606251.5	0.0	0.027379214369996366	0.02936	0.011390614925065864	0.0055671479300014775	0.00589	0.002740154429122765
EX_tyr__L_e_r	213500000.0	0.0	213500000.0	1.0	0.0	0.0	0.0	0.005702969749998967	0.00561	0.0033452937143811424
EX_cystinex_r	414612662.0	0.0	414612662.0	1.0	0.08450945338000278	0.08767	0.012748708826817813	0.1783169307000018	0.1835	0.019444543151702864
EX_3hydroxybutanoatex_r	496728885308.0	5.617255295939002e-16	496728885308.0	0.9999999999999994	10.218996973060156	9.14921	6.163011059703053	9.448390741520203	9.15897	2.8518574492514555
EX_gthrd_e_r	490100966026.5	3.5065737110058376e-130	490100966026.5	1.0	0.9148299993500303	0.739635	0.7293021329607018	0.9379628029000008	0.769315	0.7337334810489028
EX_cmp_e_r	339682501256.5	0.0	339682501256.5	1.0	0.0009148386500008294	0.00088	0.0005827651010325909	0.0014489782800013416	0.00134	0.0009414951855965035
HEX1	484322453154.5	0.0	484322453154.5	1.0	15.316265944039554	11.90777	11.813692935752805	16.78034159005003	12.767824999999998	13.562679018123072
G6PP	453591833519.0	0.0	453591833519.0	1.0	12.344795468999514	8.926565	11.808750788161419	14.692441841229687	10.671615	13.537257887480454
PGI	902092526001.0	1.0	902092526001.0	0.0	2.3071702210401637	2.38121	0.7723181972881193	0.9637556119100138	0.9054249999999999	0.6214283543908851
PFK	71844897969.5	0.0	71844897969.5	1.0	2.0668851979300644	1.983995	0.8763759254321477	15.96231954814052	12.12992	13.771935620683402
FBP	39474446071.0	0.0	39474446071.0	1.0	0.6913484826700143	0.617355	0.45050302393527153	15.124298065670052	11.26484	13.763526200161895
FBA	716766009815.5	1.0	716766009815.5	0.0	1.375536716409983	1.36631	0.7214319759790591	0.838021489539981	0.77315	0.5343870802529711
TPI	890963125501.5	1.0	890963125501.5	0.0	2.7354794161300773	2.82269	0.6745954856865995	1.6640797720500131	1.66677	0.48546705024251835
GAPD	875226809707.0	1.0	875226809707.0	0.0	5.68511343286967	5.86407	1.3313474234270568	3.6783216163400256	3.71384	1.0347260533542801
PGK	582815573303.5	1.0	582815573303.5	0.0	3.1258719662300605	3.04405	1.847265894388145	2.5579471379100207	2.55293	1.1581597165532393
DPGM	756465596069.5	1.0	756465596069.5	0.0	2.5592414660200276	2.354125	1.7098929990338678	1.1203744781500002	0.940655	0.8512278788912566
DPGase	756465596069.5	1.0	756465596069.5	0.0	2.5592414660200276	2.354125	1.7098929990338678	1.1203744781500002	0.940655	0.8512278788912566
PGM_f	999475014116.0	1.0	999475014116.0	0.0	7.034490039120347	7.13644	1.5075386991914854	2.577105329109952	2.7562550000000003	0.7621019262824957
ENO_f	485800194033.5	2.254689978406153e-265	485800194033.5	1.0	7.162291527340308	7.7186	2.464426107785622	7.401148104139873	7.41602	2.7920007467269814
PYK	5213908.5	0.0	5213908.5	1.0	4.02961459616007	4.223205	1.7827893207539092	30.610361624480717	27.650925	12.274043988831178
LDH_L	862802222957.5	1.0	862802222957.5	0.0	5.03380838361007	5.18866	1.1247713809467832	3.3977873526800133	3.43646	0.9308277177739893
r0407	689916159896.5	1.0	689916159896.5	0.0	1.3599427052499904	1.29936	0.8141157433726907	0.8260582804000156	0.76196	0.526620013146666
PRPPS	651935789.5	0.0	651935789.5	1.0	0.01128700457999879	0.01137	0.002318255937028277	0.0562565257100018	0.05472	0.02005742282149963
G6PDH2r	314430316099.0	0.0	314430316099.0	1.0	0.6537508008999801	0.61822	0.4103764712187031	1.106742759860041	1.02157	0.7073334618844062
PGL	314430316099.0	0.0	314430316099.0	1.0	0.6537508008999801	0.61822	0.4103764712187031	1.106742759860041	1.02157	0.7073334618844062
GND	314430316099.0	0.0	314430316099.0	1.0	0.6537508008999801	0.61822	0.4103764712187031	1.106742759860041	1.02157	0.7073334618844062
RPI	273287813316.5	0.0	273287813316.5	1.0	0.22544160457999726	0.21343	0.13679716673891648	0.40641860536998925	0.37745	0.2359359310725407
TKT2_f	524956952111.5	1.0	524956952111.5	0.0	0.4922640416099877	0.48153	0.18685817560944581	0.4847874956800064	0.4626	0.24441337948171238
RPE_f	465270277201.0	0.0	465270277201.0	1.0	0.6970548594199808	0.67677	0.32122486569001624	0.7802810416099877	0.72637	0.4723279039634028
TKT1_f	554433284438.0	1.0	554433284438.0	0.0	0.478809891140017	0.4741	0.1788086201678666	0.45002513929998617	0.42414	0.24224973050253326
TALA_f	110238044625.0	0.0	110238044625.0	1.0	0.7061245442800095	0.602635	0.49893314181043935	2.4313282319700575	2.50418	1.2136637840889344
r0408	689916159896.5	1.0	689916159896.5	0.0	1.3599427052499904	1.29936	0.8141157433726907	0.8260582804000156	0.76196	0.526620013146666
PDHm	999979431481.5	1.0	999979431481.5	0.0	28.381143964290505	28.402805	4.232621575426748	7.616916433570332	7.501605	1.9954641028987423
PCm	442775190683.0	0.0	442775190683.0	1.0	84.60051241368075	80.60692499999999	38.07050809464291	87.7648989182787	89.71515	21.861836250312503
PEPCK_re	0.0	0.0	0.0	1.0	0.0	0.0	0.0	28.9477988400195	25.97333	12.262250402699127
CSm	967333875058.5	1.0	967333875058.5	0.0	53.6064607517898	52.374085	12.079033719886546	30.761238089619955	30.347115000000002	6.139873453594082
ACONTm_f	480472515109.5	0.0	480472515109.5	1.0	16.35860198185036	15.165495	10.36216515827596	15.908156694099919	16.57175	3.320535142535868
ICDHxm	395046815779.0	0.0	395046815779.0	1.0	16.985647747809974	12.80873	14.932281748716376	20.539753749940225	19.497905000000003	12.62557812815125
ICDHym_f	31328312562.5	0.0	31328312562.5	1.0	9.580706432739987	9.373664999999999	6.023634463832706	51.505444660622125	51.936989999999994	20.666265790692023
AKGDm	25106144327.5	0.0	25106144327.5	1.0	8.061102125370004	6.85459	5.983693315099032	24.185425194900027	24.24611	3.9734210936216865
SUCOAS1m_f	647107799032.0	1.0	647107799032.0	0.0	81.21258170756734	86.43799000000001	45.64477666952136	58.76334777810783	58.20894	26.33907321383381
SUCD1m	996885694767.5	1.0	996885694767.5	0.0	46.38096307925198	45.930904999999996	6.241553145825948	28.80520517316837	28.861155	3.2583073168861754
FUMm_f	445533388633.0	0.0	445533388633.0	1.0	230.70426040283598	252.91583	109.8092722328396	248.8068368225435	266.75684	129.68640825482137
MDHm_f	414611536209.5	0.0	414611536209.5	1.0	146.91861725484088	129.11121500000002	102.13159657467423	227.50800989008485	162.11837500000001	194.0437165887275
ME1m	652792652800.5	1.0	652792652800.5	0.0	58.84462565942161	52.99604	39.71640602474214	37.58058504791045	36.164384999999996	23.019365458119992
ME2m	739193003979.5	1.0	739193003979.5	0.0	11.745299690620667	11.870915	6.697754431169868	6.166876224539663	6.25961	3.4446908658309283
ME2	563895063143.5	1.0	563895063143.5	0.0	24.65494647566102	22.179005	16.394376039631457	20.69051613979049	18.56735	13.598703683393836
ACITL	924928284196.0	1.0	924928284196.0	0.0	22.13052599806015	21.61748	8.547439721985715	8.497766288289917	7.90285	4.52589521966534
FUM_f	434842472722.5	0.0	434842472722.5	1.0	128.16325425429167	118.83928	51.45581436404614	141.68443158032522	136.50669	58.78349667812314
MDH_f	514269748875.0	1.0	514269748875.0	5.709519437292057e-268	256.1411454507647	270.24131	132.35102355936286	254.33342349195152	271.62957	109.67168816826721
AKGMALtm_f	137448946235.0	0.0	137448946235.0	1.0	83.18628526664895	84.00135499999999	40.990756349534024	272.399807635213	253.57042	161.14610989176504
ACONT	996701461200.0	1.0	996701461200.0	0.0	66.03249142494866	66.71012999999999	22.102800565233547	10.458761777729443	11.174585	3.132979032242182
ICDHyr	996701461200.0	1.0	996701461200.0	0.0	66.03249142494866	66.71012999999999	22.102800565233547	10.458761777729443	11.174585	3.132979032242182
PPA	387151481771.0	0.0	387151481771.0	1.0	23.44612318659058	22.738455000000002	8.507410348153433	27.501569415429948	26.55217	10.265343166079434
Complex1ROS	638273777197.0	1.0	638273777197.0	0.0	77.85415494077397	76.93417	15.378475170558339	70.23412286790253	71.24180000000001	11.858761548470484
FADH2ETC	805261641055.5	1.0	805261641055.5	0.0	60.77712920776958	59.378385	11.589474951427771	46.898360111960045	44.656065	12.587545154956372
CYOR_u10mi	844597042102.5	1.0	844597042102.5	0.0	134.74060332863115	132.99698	18.278935416848658	113.62364177807103	114.503465	10.753429127408346
CYOOm2i	844597041943.0	1.0	844597041943.0	0.0	67.3703016610393	66.49849	9.139467710368313	56.811820892601254	57.251735	5.376714568565567
ATPS4mi	536911972953.0	1.0	536911972953.0	0.0	221.29893212625728	218.25433500000003	34.39269484041753	215.2396875955507	215.85029500000002	23.386721466898717
GLUCYS	528582242940.5	1.0	528582242940.5	0.0	0.04534264149999742	0.03826	0.03431826107320723	0.04517027376999693	0.03289	0.0420877246424283
GTHS	528582242940.5	1.0	528582242940.5	0.0	0.04534264149999742	0.03826	0.03431826107320723	0.04517027376999693	0.03289	0.0420877246424283
SPODMm	638273769807.0	1.0	638273769807.0	0.0	1.9463538725900034	1.92335	0.38446187742261423	1.7558530768800518	1.781045	0.2964690408143747
GTHPi	902932679320.0	1.0	902932679320.0	0.0	0.04938711590000018	0.04902	0.02609490804477751	0.012347706479994905	0.0101	0.009675096512276379
GTHPm	561519297619.5	1.0	561519297619.5	0.0	1.4140948942199643	1.41514	0.472252556266198	1.3084817852600001	1.32987	0.3973214066830176
GDR	516332782411.5	1.0	516332782411.5	0.0	0.043920457519998735	0.03897	0.030716271397400068	0.04401178805999791	0.03528	0.03505552148140414
GTHOr	525032073876.5	1.0	525032073876.5	0.0	0.039494758519998514	0.03401	0.028900142148114507	0.03808340352000001	0.03023	0.030985647717615437
GDRm	470314982929.5	0.0	470314982929.5	1.0	0.41399275912999245	0.31966	0.35789581938293596	0.4370691749600174	0.36174	0.3361320595506203
GTHOm	597115997463.0	1.0	597115997463.0	0.0	0.520015813540004	0.43618	0.400780450817627	0.3798460643399881	0.31964	0.29457267743252347
r0885	489836082128.0	4.0688658587104817e-137	489836082128.0	1.0	0.9601726389799982	0.78635	0.730189908911423	0.9831330810199548	0.8174	0.7329772647598525
PYRt2m_f	549636406615.0	1.0	549636406615.0	0.0	166.41150065145192	167.42145	62.076779128882556	155.87721281951474	158.37827	56.83579945532801
HMR_4964	997659662115.5	1.0	997659662115.5	0.0	88.16301741701275	88.488485	27.208802780752816	18.956528069350583	18.80223	5.810824457914113
r2420	669357221593.5	1.0	669357221593.5	0.0	117.98806664822234	119.540325	31.91209310730571	97.67521961760652	99.66655499999999	32.78194450186954
ATPtm	622567027427.5	1.0	622567027427.5	0.0	136.68870789057817	137.44111	21.18697285320443	127.4224242771312	128.56151499999999	19.933300143128218
FUMtm_f	67384067991.0	0.0	67384067991.0	1.0	18.14539447084991	16.340305	12.104194258619302	135.0322540670441	134.229915	78.8588281153937
CO2tm_f	486138778733.5	5.524391306064741e-253	486138778733.5	1.0	166.79746638329317	166.3867	85.37067531886697	170.13274427111347	178.69621999999998	83.37610885689517
O2tm	841595338741.5	1.0	841595338741.5	0.0	69.31665553938963	68.40014	9.440077065831522	58.567673963257484	59.045635000000004	5.486676120672021
r0801_f	378220299189.0	0.0	378220299189.0	1.0	93.03045662519263	93.84638000000001	52.03842093208695	122.0592650830554	119.540915	65.94297240980163
THD1m	993673181604.5	1.0	993673181604.5	0.0	184.84867949259655	180.002635	88.01641624610144	17.16365364622062	17.153945	10.333084641572347
H2Otm_f	566906702597.0	1.0	566906702597.0	0.0	7.540273229919788	6.610145	5.433303765297347	6.323794595119977	5.15765	5.105381753510331
NH4tm_f	366793327896.0	0.0	366793327896.0	1.0	97.17756667171824	95.361625	57.427802583491705	123.85342357606079	140.71215999999998	57.0407679147605
HCO3E	924968929396.5	1.0	924968929396.5	0.0	19.36093429129136	18.91197	7.478923581094402	7.430315120779776	6.909675	3.9599177320501218
HCO3Em	442407075384.5	0.0	442407075384.5	1.0	84.6101541715606	80.61605499999999	38.07019422916817	87.81693683174174	89.76449	21.860402970926
GLUN	494328866529.0	3.5722802994684585e-44	494328866529.0	1.0	14.359501957900113	10.723425	12.706169450650451	14.811207672490122	11.00164	13.407380612708405
GLNS	399324556061.0	0.0	399324556061.0	1.0	16.168747079599953	12.73557	12.713346375480123	20.23233492257074	17.099595	13.740748115024989
GLUt2m	692151515462.5	1.0	692151515462.5	0.0	1.7091962391700608	1.25761	1.536841989502108	0.7882760704499955	0.56578	0.7325265919159208
GLNtm_1	715607875622.0	1.0	715607875622.0	0.0	1.8102518260100215	1.33733	1.6412592158681847	0.753187993569968	0.56339	0.6760407765066067
GLUNm	715607875622.0	1.0	715607875622.0	0.0	1.8102518260100215	1.33733	1.6412592158681847	0.753187993569968	0.56339	0.6760407765066067
GLUPRT	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
PRAGSr	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
GARFT	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
PRFGS	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
PRAIS	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
AIRCr	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
PRASCSi	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
ADSL2r	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
AICART	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
IMPC	48934590501.0	0.0	48934590501.0	1.0	0.004325134450003742	0.00439	0.000722802503846047	0.0071343378599979775	0.00724	0.0014375366870041672
ADSS	48936976580.0	0.0	48936976580.0	1.0	0.0025611763000032753	0.0026	0.00042802032021798314	0.004224667030004237	0.00429	0.0008512541495728146
ADSL1r	48936976580.0	0.0	48936976580.0	1.0	0.0025611763000032753	0.0026	0.00042802032021798314	0.004224667030004237	0.00429	0.0008512541495728146
IMPDH2	48936923513.5	0.0	48936923513.5	1.0	0.0017639665400021934	0.00179	0.00029480008254341997	0.0029096768200037792	0.00295	0.0005862855784385539
GMPS	326650946454.5	0.0	326650946454.5	1.0	0.0009528907200010287	0.00096	0.0005371370175791721	0.0014837508800015582	0.00145	0.0008906789696679885
GMPS2	296523709979.5	0.0	296523709979.5	1.0	0.0008110718000007088	0.00075	0.0005356016179154327	0.0014259274400014222	0.00134	0.0008861828574147676
GK1	48936923513.5	0.0	48936923513.5	1.0	0.0017639665400021934	0.00179	0.00029480008254341997	0.0029096768200037792	0.00295	0.0005862855784385539
RNDR2	49035057784.5	0.0	49035057784.5	1.0	0.0003794310500004933	0.00038	6.347424851761267e-05	0.0006258891500007438	0.00064	0.00012614899970196132
ADK1	387191852068.0	0.0	387191852068.0	1.0	23.44399197801937	22.736514999999997	8.50741678535988	27.498053970861147	26.54854	10.265329372236387
RNDR1	49006172770.5	0.0	49006172770.5	1.0	0.0005053665900005549	0.00051	8.4507828947023e-05	0.0008336006500009493	0.00085	0.00016799673164199315
CBPS	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
ASPCT	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
DHORTS	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
DHORD9	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
ORPT	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
OMPDC	375271216945.0	0.0	375271216945.0	1.0	0.0020269303900023418	0.00201	0.001120333113292542	0.00286495203000308	0.0027	0.001841898630079448
UMPK	66809901431.5	0.0	66809901431.5	1.0	0.0033975454800041784	0.00337	0.0007860231141411899	0.005823781909999675	0.00576	0.00143475221936477
RNDR4	19503575413.0	0.0	19503575413.0	1.0	0.0004051713100004898	0.00041	0.00010232148905555746	0.0008277851100009558	0.00084	0.00016682435791176488
TMDS	19503575413.0	0.0	19503575413.0	1.0	0.0004051713100004898	0.00041	0.00010232148905555746	0.0008277851100009558	0.00084	0.00016682435791176488
URIDK2r	19503575413.0	0.0	19503575413.0	1.0	0.0004051713100004898	0.00041	0.00010232148905555746	0.0008277851100009558	0.00084	0.00016682435791176488
NDPK2	88678091913.0	0.0	88678091913.0	1.0	0.002992373920003745	0.00296	0.0007313651447796932	0.0049959924800016325	0.00491	0.0013070925252151595
NDPK3_f	210219311182.5	0.0	210219311182.5	1.0	0.0010328556800011897	0.00106	0.0003223440581073846	0.001956445380002289	0.00198	0.000958716295477222
CYTK1_r	339682501256.5	0.0	339682501256.5	1.0	0.0009148386500008294	0.00088	0.0005827651010325909	0.0014489782800013416	0.00134	0.0009414951855965035
CTPS1	286297734141.0	0.0	286297734141.0	1.0	0.0009435364700009084	0.00092	0.0005711130462965127	0.001616434240001731	0.00159	0.0009256342359452006
RNDR3	49050413879.0	0.0	49050413879.0	1.0	0.0003619555400003932	0.00037	6.055291842657302e-05	0.0005970495900007481	0.00061	0.00012033760285939165
GDHm	959521375000.5	1.0	959521375000.5	0.0	148.0621957454347	141.96899000000002	85.53239685464332	15.849975916729628	14.26919	11.054947444662535
GLUDym_f	976266498644.0	1.0	976266498644.0	0.0	226.0740627636552	219.954085	94.22802186938232	48.39671487887616	45.697950000000006	24.227364412418193
ASPTA_f	657665448892.5	1.0	657665448892.5	0.0	157.4939064452054	149.289305	77.23865922995611	114.96146967457726	111.131225	55.04564930520849
ASPTAm	377901263464.0	0.0	377901263464.0	1.0	19.286584903820508	15.081375	16.180532418204425	25.53138301438074	23.12172	16.654890817145965
ASPGLUm	378766361790.5	0.0	378766361790.5	1.0	19.2693103490212	15.06242	16.180711122490962	25.467670123789432	23.05621	16.653669043827954
ASPT	702789635199.0	1.0	702789635199.0	0.0	1.7192116223299254	1.25508	1.6075827846410087	0.7457920400200303	0.5551	0.6749555779049545
CBPSam	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
OCBTm	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
