Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	std_MDAMB361	mean_MCF7	std_MCF7	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	-7.303783317414243	0.0009343605412144	-7.303783317414243	0.9990656394587856	2.3327066666666667	0.2599208115732346	27.606306666666665	4.886757319588885	-1.0	0.08449904925106486	-3.5649210809064162
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	-3.2609102038838422	0.0155270676359297	-3.2609102038838422	0.9844729323640704	22.90956333333333	1.1699843401041266	38.49801333333334	6.658494937408069	-1.0	0.5950843004539453	-0.7488340378415239
G6PP	5.942301979731037	0.9979888041013064	5.942301979731037	0.0020111958986936	168.74265333333335	11.512691583538968	106.44671666666666	9.341528967752312	1.0	1.5852311712135165	0.6646932411499351
PGI	-9.369746293763798	0.0003613517573183	-9.369746293763798	0.9996386482426816	62.39326666666667	2.822809318230488	121.91485	8.528832996305333	-1.0	0.5117774140448573	-0.9664116156703908
PFK	0.4745073401534732	0.6700587384631582	0.4745073401534732	0.3299412615368419	108.70725666666664	8.173477604358842	102.86153	15.386289425649926	0.0	1.0568310297024226	0.07974473140650389
FBP	3.551084092654845	0.9881122836783052	3.551084092654845	0.0118877163216948	25.61529333333333	0.1350157700254149	24.318766666666665	0.4983747574087415	1.0	1.0533138330754164	0.07493534896051908
FBA	-6.065989893542822	0.0018649136267644	-6.065989893542822	0.9981350863732356	18.020153333333337	2.734760255577971	54.10784666666666	7.956549495789966	-1.0	0.33304140607086324	-1.5862265403550266
TPI	-5.856250650076575	0.0021213269473969	-5.856250650076575	0.997878673052603	1688.8471433333334	108.50864866773354	2702.4192433333333	219.39909742957605	-1.0	0.6249389866134181	-0.6782127499238839
GAPD	-3.1736538082708443	0.0168697545325895	-3.1736538082708443	0.9831302454674103	5155.342196666667	351.49917052855403	6999.98559	743.04780657302	-1.0	0.7364789727612379	-0.4412837594784336
PGK	-4.697467658951913	0.0046629525897121	-4.697467658951913	0.9953370474102878	14.978106666666667	0.5983857943018224	36.457006666666665	6.438663859038527	-1.0	0.4108430185619555	-1.2833408435704552
DPGM	-5.235306660397259	0.0031802983071708	-5.235306660397259	0.9968197016928292	150.92255333333333	8.399339911589614	379.7051100000001	61.22760480567079	-1.0	0.39747306359225265	-1.3310710013800189
DPGase	-5.235306660397259	0.0031802983071708	-5.235306660397259	0.9968197016928292	150.92255333333333	8.399339911589614	379.7051100000001	61.22760480567079	-1.0	0.39747306359225265	-1.3310710013800189
PGM_f	-5.235306660397259	0.0031802983071708	-5.235306660397259	0.9968197016928292	150.92255333333333	8.399339911589614	379.7051100000001	61.22760480567079	-1.0	0.39747306359225265	-1.3310710013800189
PGM_b	-5.235306660397259	0.0031802983071708	-5.235306660397259	0.9968197016928292	150.92255333333333	8.399339911589614	379.7051100000001	61.22760480567079	-1.0	0.39747306359225265	-1.3310710013800189
ENO_f	-4.912198774770149	0.0039869287394721	-4.912198774770149	0.9960130712605278	510.9323166666666	39.92118817964996	897.8529233333333	103.99457699485302	-1.0	0.5690601471450352	-0.8133469478003371
ENO_b	-4.912198774770149	0.0039869287394721	-4.912198774770149	0.9960130712605278	510.9323166666666	39.92118817964996	897.8529233333333	103.99457699485302	-1.0	0.5690601471450352	-0.8133469478003371
PYK	2.465109037037093	0.9653450812823112	2.465109037037093	0.0346549187176886	549.8308366666666	28.09572515255937	414.46955333333335	72.39501120227476	1.0	1.3265892084103708	0.40772169494378463
LDH_L	-6.5003354564747	0.0014447268727341	-6.5003354564747	0.998555273127266	265.4733933333333	12.0358714442684	1183.482623333333	199.3591809019011	-1.0	0.22431541291718785	-2.1563993421616066
r0407	-6.065989893542822	0.0018649136267644	-6.065989893542822	0.9981350863732356	18.020153333333337	2.734760255577971	54.10784666666666	7.956549495789966	-1.0	0.33304140607086324	-1.5862265403550266
PRPPS	-8.117502030167111	0.0006262133414715	-8.117502030167111	0.9993737866585284	26.96447333333333	0.6733180808668535	55.92808666666667	5.000853368805058	-1.0	0.4821275845541172	-1.0525131201190636
G6PDH2r	3.5421130249413486	0.988016084077159	3.5421130249413486	0.0119839159228409	432.0868066666667	24.789670045915408	354.4349399999999	18.61885185240128	1.0	1.2190863763788828	0.28580034938607546
PGL	1.348558553231849	0.8756128831015326	1.348558553231849	0.1243871168984674	70.16816999999999	3.6530197643137208	61.38547	8.454872115638414	0.0	1.1430745744880668	0.1929195284294618
GND	-0.6174319242124574	0.2851823136861189	-0.6174319242124574	0.7148176863138811	87.66327333333334	4.061481628801106	91.65727333333332	8.197151052417883	0.0	0.9564246256216365	-0.06427681845049461
RPI	-17.585862566115765	3.070168089713185e-05	-17.585862566115765	0.9999692983191028	1.8828466666666668	0.1562192871859581	10.351593333333332	0.6628773727889303	-1.0	0.18188955130256923	-2.4588654255479474
TKT2_f	0.0033704210734982	0.501263904911391	0.0033704210734982	0.498736095088609	172.16420666666667	7.570424739050125	172.14502666666667	2.7306463386816606	0.0	1.000111417682935	0.0001607327845668609
TKT2_b	0.0033704210734982	0.501263904911391	0.0033704210734982	0.498736095088609	172.16420666666667	7.570424739050125	172.14502666666667	2.7306463386816606	0.0	1.000111417682935	0.0001607327845668609
RPE_f	-8.921896403872895	0.0004362823485465	-8.921896403872895	0.9995637176514536	16.219553333333334	1.4004627993472571	56.62091333333333	6.249031038538872	-1.0	0.2864587018907149	-1.8036009310257983
RPE_b	-8.921896403872895	0.0004362823485465	-8.921896403872895	0.9995637176514536	16.219553333333334	1.4004627993472571	56.62091333333333	6.249031038538872	-1.0	0.2864587018907149	-1.8036009310257983
TKT1_f	0.0033704210734982	0.501263904911391	0.0033704210734982	0.498736095088609	172.16420666666667	7.570424739050125	172.14502666666667	2.7306463386816606	0.0	1.000111417682935	0.0001607327845668609
TKT1_b	0.0033704210734982	0.501263904911391	0.0033704210734982	0.498736095088609	172.16420666666667	7.570424739050125	172.14502666666667	2.7306463386816606	0.0	1.000111417682935	0.0001607327845668609
TALA_f	-6.450275006798326	0.0014867483648258	-6.450275006798326	0.998513251635174	80.17222333333332	1.480554999818949	133.61495333333335	11.623326471753058	-1.0	0.6000243336037786	-0.7369070854034752
TALA_b	-6.450275006798326	0.0014867483648258	-6.450275006798326	0.998513251635174	80.17222333333332	1.480554999818949	133.61495333333335	11.623326471753058	-1.0	0.6000243336037786	-0.7369070854034752
r0408	0.4745073401534732	0.6700587384631582	0.4745073401534732	0.3299412615368419	108.70725666666664	8.173477604358842	102.86153	15.386289425649926	0.0	1.0568310297024226	0.07974473140650389
PDHm	-8.216407503731315	0.0005979686883439	-8.216407503731315	0.999402031311656	2.7002399999999995	0.1456069135263387	4.575843333333333	0.2881282725145557	-1.0	0.590107615863888	-0.7609500171663328
PCm	-5.228936936776681	0.003194160747419	-5.228936936776681	0.9968058392525808	2.278213333333333	0.1794395408549136	7.217916666666666	1.3238823943823548	-1.0	0.31563308895687814	-1.6636796386751753
PEPCK_re	2.5496732294158946	0.9683363193259448	2.5496732294158946	0.031663680674055	0.3589233333333333	0.1990820784389081	0.0	0.0	1.0	inf	inf
CSm	-2.6977210194757952	0.0271111021521783	-2.6977210194757952	0.9728888978478216	64.17082666666666	4.720642374679769	98.48205	17.35629268613164	-1.0	0.651599216980827	-0.6179432246926801
ACONTm_f	0.8854370545141885	0.7870297204795456	0.8854370545141885	0.2129702795204544	15.568353333333334	1.407696500962556	13.00613	3.84263400397002	0.0	1.1970012089171287	0.2594246093389468
ACONTm_b	0.8854370545141885	0.7870297204795456	0.8854370545141885	0.2129702795204544	15.568353333333334	1.407696500962556	13.00613	3.84263400397002	0.0	1.1970012089171287	0.2594246093389468
ICDHxm	-3.686992522065317	0.0105371173724214	-3.686992522065317	0.9894628826275786	3.4776933333333333	0.2461471713336466	7.210633333333334	1.4105213105404997	-1.0	0.48230067631599627	-1.051995261737482
ICDHym_f	17.122209388645874	0.9999658751926428	17.122209388645874	3.412480735724705e-05	269.26517666666666	10.811999067857696	127.27230000000002	4.543705884348887	1.0	2.1156620621035893	1.0811092019968047
ICDHym_b	17.122209388645874	0.9999658751926428	17.122209388645874	3.412480735724705e-05	269.26517666666666	10.811999067857696	127.27230000000002	4.543705884348887	1.0	2.1156620621035893	1.0811092019968047
AKGDm	1.774218549142414	0.9246517767824805	1.774218549142414	0.0753482232175195	7.86356	0.5471863991365279	6.173923333333332	1.230626432251297	0.0	1.273673088479125	0.34899503100747725
SUCOAS1m_f	-2.646611032618539	0.0285919214856981	-2.646611032618539	0.971408078514302	1.5223566666666668	0.1874949859477728	2.143963333333333	0.2741759407549992	-1.0	0.7100665589741119	-0.4939738311133407
SUCOAS1m_b	-2.646611032618539	0.0285919214856981	-2.646611032618539	0.971408078514302	1.5223566666666668	0.1874949859477728	2.143963333333333	0.2741759407549992	-1.0	0.7100665589741119	-0.4939738311133407
SUCD1m	-3.956197781735612	0.008365424043064	-3.956197781735612	0.991634575956936	7.82373	0.7555829551192026	17.871723333333332	3.51146278110546	-1.0	0.4377714367034554	-1.191750268898886
FUMm_f	2.544251168567069	0.9681536285562974	2.544251168567069	0.0318463714437025	47.10685	5.45672980216173	36.53460666666666	2.181260373535346	1.0	1.2893761367076442	0.36667318798515475
FUMm_b	2.544251168567069	0.9681536285562974	2.544251168567069	0.0318463714437025	47.10685	5.45672980216173	36.53460666666666	2.181260373535346	1.0	1.2893761367076442	0.36667318798515475
MDHm_f	-4.649309311773847	0.0048332225140676	-4.649309311773847	0.9951667774859324	125.50066666666667	7.523636876858302	217.65714333333327	27.00336811073554	-1.0	0.5765979684593553	-0.7943623411256089
MDHm_b	-4.649309311773847	0.0048332225140676	-4.649309311773847	0.9951667774859324	125.50066666666667	7.523636876858302	217.65714333333327	27.00336811073554	-1.0	0.5765979684593553	-0.7943623411256089
ME1m	-9.555311229966822	0.0003350260527278	-9.555311229966822	0.9996649739472722	1.2439133333333334	0.0420961806132363	3.153513333333333	0.2794736744111847	-1.0	0.39445317074923847	-1.3420740603977919
ME2m	-0.1687391146423662	0.4370953986067591	-0.1687391146423662	0.5629046013932408	0.1437433333333333	0.0234807897841807	0.1480233333333333	0.02711785922393	0.0	0.9710856396514063	-0.04232956293781657
ME2	-13.397013780678297	8.976922005062226e-05	-13.397013780678297	0.9999102307799492	0.9481733333333334	0.1240677990276105	3.268826666666667	0.2112313594668702	-1.0	0.29006534454768684	-1.7855501545247532
ACITL	-4.416155372091102	0.0057726446107843	-4.416155372091102	0.9942273553892156	14.385636666666665	0.6487934470658251	31.939173333333333	5.583714306100874	-1.0	0.4504072950333091	-1.1506979006327467
FUM_f	2.544251168567069	0.9681536285562974	2.544251168567069	0.0318463714437025	47.10685	5.45672980216173	36.53460666666666	2.181260373535346	1.0	1.2893761367076442	0.36667318798515475
FUM_b	2.544251168567069	0.9681536285562974	2.544251168567069	0.0318463714437025	47.10685	5.45672980216173	36.53460666666666	2.181260373535346	1.0	1.2893761367076442	0.36667318798515475
MDH_f	-8.463639011930363	0.0005339712649796	-8.463639011930363	0.9994660287350204	52.49838	5.386422117181929	95.97335	4.874149574089824	-1.0	0.5470099772488926	-0.8703609474340157
MDH_b	-8.463639011930363	0.0005339712649796	-8.463639011930363	0.9994660287350204	52.49838	5.386422117181929	95.97335	4.874149574089824	-1.0	0.5470099772488926	-0.8703609474340157
AKGMALtm_f	0.8972691249323774	0.7898505820061528	0.8972691249323774	0.2101494179938473	282.56275	12.838150846995063	262.0721833333333	29.6344650997813	0.0	1.0781867285800586	0.10860705663159065
AKGMALtm_b	0.8972691249323774	0.7898505820061528	0.8972691249323774	0.2101494179938473	282.56275	12.838150846995063	262.0721833333333	29.6344650997813	0.0	1.0781867285800586	0.10860705663159065
ACONT	7.99847022744715	0.9993375698957316	7.99847022744715	0.0006624301042684	7.070703333333333	0.6459065098672478	2.8454833333333336	0.3753775825603986	1.0	2.484886574629969	1.3131799998947966
ICDHyr	13.22650737721652	0.999905600646392	13.22650737721652	9.439935360817727e-05	37.547263333333326	1.599733652004469	21.745516666666663	0.5435828011955088	1.0	1.7266668761606798	0.7879897722308017
PPA	-16.52922336625115	3.922725966330413e-05	-16.52922336625115	0.9999607727403368	32.884006666666664	0.4700243436485215	91.28341333333331	4.974401956713546	-1.0	0.360240765171504	-1.472966647726874
Complex1ROS	0.6418964233423551	0.7220612290379231	0.6418964233423551	0.2779387709620769	0.6251733333333332	0.121494226291714	0.5608066666666667	0.0731410857331378	0.0	1.114775145326375	0.15675274204116016
FADH2ETC	-14.597076115202686	6.406050131488711e-05	-14.597076115202686	0.9999359394986852	2.5555000000000003	0.2479700168703197	6.330836666666666	0.268880174592492	-1.0	0.40365912667677956	-1.3087905836846518
CYOR_u10mi	6.303782498595564	0.9983813423000084	6.303782498595564	0.0016186576999914	22.684906666666667	2.020760935758828	10.808703333333334	1.736459134221771	1.0	2.0987630030244144	1.0695392635021395
CYOOm2i	-0.9654054623250474	0.1945056566138481	-0.9654054623250474	0.8054943433861519	70.81716666666667	6.643811504497164	79.87480333333333	11.485272880999483	0.0	0.8866020786446589	-0.1736413499717939
ATPS4mi	-1.5909773253487718	0.0934123236095213	-1.5909773253487718	0.9065876763904788	11.10087	2.159261429717733	19.04692	6.725070075411853	0.0	0.582817064386263	-0.7788849759869502
GLUCYS	1.4867889026794197	0.8943636949141957	1.4867889026794197	0.1056363050858043	4.258399999999999	0.358164798475041	3.833243333333333	0.1877764582925369	0.0	1.110913038827868	0.15174588840833875
GTHS	21.613537642680512	0.9999864466934464	21.613537642680512	1.3553306553516208e-05	72.57228333333333	0.953752690877231	33.428149999999995	2.377072511991729	1.0	2.1709931100983257	1.1183551473981286
SPODMm	-1.748127509649631	0.0776778159939285	-1.748127509649631	0.9223221840060716	2.7734566666666667	0.4716734141566834	3.46724	0.3042028732058042	0.0	0.7999032852259049	-0.322102517837082
GTHPi	16.197640321426405	0.9999575029644054	16.197640321426405	4.249703559452992e-05	3995.9574966666655	196.8248256331188	1638.2625133333331	60.284405349873154	1.0	2.439143583000131	1.2863746865412993
GTHPm	17.37414700382738	0.9999677910789968	17.37414700382738	3.220892100316536e-05	3449.53514	178.90424477417395	1127.7504700000002	60.906538670261526	1.0	3.0587751739088165	1.6129540698229186
GDR	-4.615595335671186	0.0049569258622246	-4.615595335671186	0.9950430741377752	13.088676666666666	0.8947993632963512	20.04368333333333	1.934043384076192	-1.0	0.6530075559964446	-0.614828409493097
GTHOr	-4.615595335671186	0.0049569258622246	-4.615595335671186	0.9950430741377752	13.088676666666666	0.8947993632963512	20.04368333333333	1.934043384076192	-1.0	0.6530075559964446	-0.614828409493097
GDRm	-4.615595335671186	0.0049569258622246	-4.615595335671186	0.9950430741377752	13.088676666666666	0.8947993632963512	20.04368333333333	1.934043384076192	-1.0	0.6530075559964446	-0.614828409493097
GTHOm	-4.615595335671186	0.0049569258622246	-4.615595335671186	0.9950430741377752	13.088676666666666	0.8947993632963512	20.04368333333333	1.934043384076192	-1.0	0.6530075559964446	-0.614828409493097
r0885	-0.7838000442726734	0.2384846253184699	-0.7838000442726734	0.7615153746815301	24.02408	3.5875974545741145	27.635996666666667	5.440622919913574	0.0	0.8693039114806668	-0.20206745877399016
PYRt2m_f	-8.142082845761237	0.0006190422188525	-8.142082845761237	0.9993809577811474	21.32944	0.2888923973846777	51.494773333333335	5.231502543249141	-1.0	0.41420592070444434	-1.2715799191418502
PYRt2m_b	-8.142082845761237	0.0006190422188525	-8.142082845761237	0.9993809577811474	21.32944	0.2888923973846777	51.494773333333335	5.231502543249141	-1.0	0.41420592070444434	-1.2715799191418502
HMR_4964	7.77313471988165	0.9992616274429684	7.77313471988165	0.0007383725570316	1214.8961233333332	75.4002508053505	714.17486	51.126088242319085	1.0	1.7011185794657253	0.7664837101044768
r2420	3.2612503447313546	0.9844779141446056	3.2612503447313546	0.0155220858553944	530.3994566666667	24.152826017880862	473.75505	4.472133643650053	1.0	1.1195647553871282	0.1629379757778855
ATPtm	-27.13360846445069	5.484899285487195e-06	-27.13360846445069	0.9999945151007146	433.9773933333333	56.78377507520751	4005.800523333333	177.29327991303137	-1.0	0.10833724515373751	-3.2063987839719648
FUMtm_f	-0.7838000442726734	0.2384846253184699	-0.7838000442726734	0.7615153746815301	24.02408	3.5875974545741145	27.635996666666667	5.440622919913574	0.0	0.8693039114806668	-0.20206745877399016
FUMtm_b	-0.7838000442726734	0.2384846253184699	-0.7838000442726734	0.7615153746815301	24.02408	3.5875974545741145	27.635996666666667	5.440622919913574	0.0	0.8693039114806668	-0.20206745877399016
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	-0.8055099133457959	0.2328412444679167	-0.8055099133457959	0.7671587555320833	17.092023333333334	1.082161088727347	20.19509333333333	5.339422960722336	0.0	0.8463453498935717	-0.2406816219522097
r0801_b	-0.8055099133457959	0.2328412444679167	-0.8055099133457959	0.7671587555320833	17.092023333333334	1.082161088727347	20.19509333333333	5.339422960722336	0.0	0.8463453498935717	-0.2406816219522097
THD1m	-4.4368407567645685	0.005680842198224	-4.4368407567645685	0.994319157801776	1.56706	0.184708253379936	4.05622	0.7716032413531368	-1.0	0.3863350607215585	-1.3720754837585107
H2Otm_f	0.8060028314262294	0.767285666834892	0.8060028314262294	0.2327143331651081	0.1667433333333333	0.0528464885830227	0.11733	0.0687332471709773	0.0	1.421148328077502	0.50705713939002
H2Otm_b	0.8060028314262294	0.767285666834892	0.8060028314262294	0.2327143331651081	0.1667433333333333	0.0528464885830227	0.11733	0.0687332471709773	0.0	1.421148328077502	0.50705713939002
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	-7.616629674022832	0.0007975177054663	-7.616629674022832	0.9992024822945336	19.525816666666667	0.9613873753533944	34.93922	2.695563823037152	-1.0	0.5588509608018344	-0.8394645108904286
HCO3Em	14.604990769893252	0.999936076118257	14.604990769893252	6.392388174305404e-05	1.95326	0.1534041563974066	0.3426333333333333	0.0281099227241121	1.0	5.700729642961378	2.5111465832973856
GLUN	-4.356122452066216	0.0060494223168697	-4.356122452066216	0.9939505776831304	1.7534333333333334	0.4008316771691357	6.406666666666666	1.4565230277692909	-1.0	0.2736888657648283	-1.8693913508407087
GLNS	16.881056147197867	0.9999639063744634	16.881056147197867	3.6093625536623085e-05	1026.1141266666666	76.90673082745374	96.15372333333332	12.447863522694254	1.0	10.671600548524435	3.4157046656371617
GLUt2m	14.122052529767045	0.9999270290503568	14.122052529767045	7.297094964322558e-05	97.94218333333332	2.550305064815233	59.86750666666666	2.834433895346458	1.0	1.635982334769022	0.7101571702364324
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	-4.138003452769389	0.007199932632677	-4.138003452769389	0.9928000673673228	2.020173333333333	0.4250991362285064	6.546756666666667	1.4874635212408478	-1.0	0.3085762059279225	-1.6963012737863672
GLUPRT	-5.141614833501079	0.0033918471783248	-5.141614833501079	0.9966081528216753	5.628973333333334	0.6737574549907079	11.912493333333332	1.5915597892284437	-1.0	0.472526882141662	-1.0815316880313983
PRAGSr	-6.72536372438205	0.0012729501174156	-6.72536372438205	0.9987270498825844	8.618896666666666	0.7043777457365392	40.22538333333333	6.608800264124262	-1.0	0.21426512198143544	-2.222531067269543
GARFT	-6.72536372438205	0.0012729501174156	-6.72536372438205	0.9987270498825844	8.618896666666666	0.7043777457365392	40.22538333333333	6.608800264124262	-1.0	0.21426512198143544	-2.222531067269543
PRFGS	-6.476812343805364	0.0014642879199457	-6.476812343805364	0.9985357120800542	8.598283333333333	0.9562364099019776	24.302983333333334	3.293100489531948	-1.0	0.35379538451726433	-1.4990128675980738
PRAIS	-6.72536372438205	0.0012729501174156	-6.72536372438205	0.9987270498825844	8.618896666666666	0.7043777457365392	40.22538333333333	6.608800264124262	-1.0	0.21426512198143544	-2.222531067269543
AIRCr	-11.332534835504983	0.0001728217304705	-11.332534835504983	0.9998271782695294	110.22200333333336	5.4100510927490815	171.01986666666667	5.319356276808519	-1.0	0.6444982415298341	-0.63375167259159
PRASCSi	-11.332534835504983	0.0001728217304705	-11.332534835504983	0.9998271782695294	110.22200333333336	5.4100510927490815	171.01986666666667	5.319356276808519	-1.0	0.6444982415298341	-0.63375167259159
ADSL2r	-22.775643614730715	1.100721957930147e-05	-22.775643614730715	0.9999889927804206	0.59309	0.0608865327200249	1.77016	0.0404314168273468	-1.0	0.33504880914719576	-1.5775568154802748
AICART	-13.902064395798147	7.761932759378205e-05	-13.902064395798147	0.9999223806724062	16.043006666666667	0.6391382877141867	75.56781	6.021446982561582	-1.0	0.21229947866249754	-2.235827266422936
IMPC	-13.902064395798147	7.761932759378205e-05	-13.902064395798147	0.9999223806724062	16.043006666666667	0.6391382877141867	75.56781	6.021446982561582	-1.0	0.21229947866249754	-2.235827266422936
ADSS	0.1357235051275142	0.5507019304396665	0.1357235051275142	0.4492980695603334	15.707263333333335	1.0633364284907922	15.598926666666664	0.3789631215420423	0.0	1.0069451359687571	0.009985079350573644
ADSL1r	-22.775643614730715	1.100721957930147e-05	-22.775643614730715	0.9999889927804206	0.59309	0.0608865327200249	1.77016	0.0404314168273468	-1.0	0.33504880914719576	-1.5775568154802748
IMPDH2	-5.285375411460547	0.0030738536755241	-5.285375411460547	0.9969261463244756	319.07803	11.312323490656848	508.74898666666667	49.47363581541544	-1.0	0.6271816521750845	-0.6730447399992916
GMPS	-12.905226266846126	0.0001039611935082	-12.905226266846126	0.9998960388064916	12.943550000000002	1.0927073445651712	37.29918333333334	2.435068609934615	-1.0	0.3470196621820585	-1.5269106864673772
GMPS2	-12.905226266846126	0.0001039611935082	-12.905226266846126	0.9998960388064916	12.943550000000002	1.0927073445651712	37.29918333333334	2.435068609934615	-1.0	0.3470196621820585	-1.5269106864673772
GK1	27.736635129716404	0.9999949748149308	27.736635129716404	5.025185069195557e-06	419.2352966666666	13.84239157402683	136.10994333333332	4.096300944676262	1.0	3.0801224833365715	1.622987721890564
RNDR2	-4.916318785382759	0.0039751693115408	-4.916318785382759	0.9960248306884592	7.457783333333331	0.7412106565762676	41.32658666666666	9.714362368364116	-1.0	0.1804596976151591	-2.4702514214478786
ADK1	-21.1566381457501	1.4753454340297133e-05	-21.1566381457501	0.9999852465456596	18.05934333333333	0.8318235386720486	34.06773333333334	0.6731563577819206	-1.0	0.5301011122939397	-0.9156605271133725
