Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_asn__L_e	106500000.0	0.0	106500000.0	1.0	0.0	0.0	0.0	0.006771673389995639	0.00688	0.003495948923242468
EX_fol_e_r	10153365191.5	0.0	10153365191.5	1.0	0.0002843271200003373	0.0003	7.601229644191087e-05	0.0012618705800014928	0.00126	0.0004541839431483661
EX_urea_e	771374206545.0	1.0	771374206545.0	0.0	0.0664102073499986	0.05818	0.04745907306896898	0.025023122939997228	0.02174	0.01821330106650882
EX_pyr_e	209000000.0	0.0	209000000.0	1.0	0.0	0.0	0.0	0.006030835969998696	0.00604	0.003548926451722904
PYRt2	209000000.0	0.0	209000000.0	1.0	0.0	0.0	0.0	0.006030835969998696	0.00604	0.003548926451722904
EX_gudac_e	809339533519.0	1.0	809339533519.0	0.0	0.07703960120999781	0.07062	0.05080317134032114	0.026075980169996488	0.02314	0.01857906789352974
EX_hdca_e_f	498729377622.0	0.0009279407370808896	498729377622.0	0.9990720592706194	0.459849882530004	0.43906	0.1317231385344055	0.6010548341000086	0.44904	0.5358010502936629
EX_hdca_e_b	874000000.0	0.0	874000000.0	1.0	0.0	0.0	0.0	0.00010596935000039138	0.00011	3.267524794477372e-05
EX_ptrcIN_e	2954500000.0	0.0	2954500000.0	1.0	0.0	0.0	0.0	0.00026972676000048656	0.00028	0.00013522323995991594
EX_ptrcOUT_e	925714592758.5	1.0	925714592758.5	0.0	0.08856726165999806	0.08221	0.05096267093662739	0.01745869072999598	0.01414	0.013837641504669597
EX_biomassx	830767907837.5	1.0	830767907837.5	0.0	0.03561532513999557	0.037	0.006668253620394628	0.028546872400016323	0.0293	0.002691912837315934
EX_h2o2_e	27059344145.0	0.0	27059344145.0	1.0	0.014842449029995288	0.01153	0.012633956663627465	0.43257293225001375	0.34475	0.3510776797391881
EX_gthox_e	20437374214.0	0.0	20437374214.0	1.0	0.02247822108999963	0.0202	0.013524826833810155	0.43865835329001457	0.348385	0.3492501878488826
EX_2obut_e	968927651949.5	1.0	968927651949.5	0.0	0.46646142053999634	0.49515	0.2197165879309951	0.037611918410000535	0.03859	0.012629073443014916
EX_crn_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.8041332015299965	0.8774	0.3519223500286165
EX_val__L_e_r	984321800431.0	1.0	984321800431.0	0.0	0.33790679202999396	0.34695	0.11560716680901445	0.08460959655000033	0.08889	0.020355403750735846
EX_spmd_e	116500000.0	0.0	116500000.0	1.0	0.0	0.0	0.0	0.01795735246999758	0.01441	0.014249395881299238
EX_sprm_e	33525230475.5	0.0	33525230475.5	1.0	0.0006341116700008327	0.00068	0.00022331385388921614	0.011576081399995093	0.00976	0.008684907839397299
EX_5mthf_e	10153365191.5	0.0	10153365191.5	1.0	0.0002843271200003373	0.0003	7.601229644191087e-05	0.0012618705800014928	0.00126	0.0004541839431483661
EX_tmlys_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.8041332015299965	0.8774	0.3519223500286165
EX_thbpt_e_r	598815076796.0	1.0	598815076796.0	0.0	0.003303784660003995	0.00334	0.0017143254733161604	0.0027065831300031023	0.00261	0.0016925977869494883
EX_CE2705_e	598815076796.0	1.0	598815076796.0	0.0	0.003303784660003995	0.00334	0.0017143254733161604	0.0027065831300031023	0.00261	0.0016925977869494883
EX_crtn_e	538706830439.0	1.0	538706830439.0	0.0	0.03689516799999762	0.02632	0.03456126130291891	0.027440958309999288	0.02406	0.01855040810972467
EX_his__L_e_r	637237269796.0	1.0	637237269796.0	0.0	0.10083125482000106	0.10204	0.05745657280585249	0.07368838073999764	0.07251	0.04330775982714324
EX_lys__L_e_r	944401141948.0	1.0	944401141948.0	0.0	0.15979466964000014	0.16191	0.07482356093354223	0.03852489572000138	0.0379	0.0129120137683102
EX_carn_e_r	119190891150.0	0.0	119190891150.0	1.0	6.4267112579297585	6.06601	3.9639032884309406	12.000766981479412	12.150845	1.5667011526039016
EX_csn_e_r	101495908998.5	0.0	101495908998.5	1.0	9.025795825749931	8.679175	4.705447499137983	46.81346098868267	44.11522	29.821437636019493
EX_cys__L_e	2500000.0	0.0	2500000.0	1.0	0.0	0.0	0.0	0.06927097684000093	0.07463	0.023553028850568394
EX_cyan_e_r	794819386441.0	1.0	794819386441.0	0.0	0.13458539783999954	0.12612	0.06609206901861253	0.07089844702999809	0.06688	0.03745794724156903
EX_tcyntc	700621339636.5	1.0	700621339636.5	0.0	0.06740039273000277	0.05765	0.05094277115967865	0.034251361719997354	0.02722	0.027924979024685475
EX_tcynt_e	681321879564.0	1.0	681321879564.0	0.0	0.06718501255000027	0.05555	0.05179201285918976	0.036647090889996375	0.02853	0.030830924177608212
EX_so3_e	923194745685.5	1.0	923194745685.5	0.0	0.19827828930999258	0.20684	0.06588792467678314	0.0794590808500005	0.07685	0.03955094617795108
EX_thr__L_e_r	974825313500.0	1.0	974825313500.0	0.0	0.48046135973000303	0.50922	0.21959286147523913	0.04533695545999992	0.04618	0.012231522383741618
EX_trp__L_e_r	836625633852.5	1.0	836625633852.5	0.0	0.0049666279200019075	0.00491	0.00263061755316564	0.00191985867000224	0.00194	0.0006959513528071681
EX_anth_e	864035984344.0	1.0	864035984344.0	0.0	0.00449273039000327	0.00443	0.002638260819346167	0.0011926794200012689	0.00122	0.0006733952647363987
EX_tyr__L_e_r	429923461396.5	0.0	429923461396.5	1.0	0.0023829486400024085	0.00218	0.0016014606665159558	0.002821518280003104	0.00272	0.001775100608249699
EX_cystinex_r	999999859255.0	1.0	999999859255.0	0.0	0.19629046515999876	0.19777	0.004888891714252098	0.06746312181999592	0.06949	0.013609019222098933
EX_3hydroxybutanoatex_r	2204848269.5	0.0	2204848269.5	1.0	1.5606028040900224	1.30909	0.9931101749691177	13.619769329839833	13.224885	5.105758262838757
EX_gthrd_e_r	25346557667.5	0.0	25346557667.5	1.0	0.026724244329995442	0.02045	0.023438358412909432	0.8436952776299743	0.6621	0.6993485506295336
EX_cmp_e_r	632097265623.0	1.0	632097265623.0	0.0	0.0008431202900008657	0.0008	0.0005246209337393592	0.0005969029900005551	0.00055	0.0003905195802192538
HEX1	284871255709.0	0.0	284871255709.0	1.0	4.3920662346298736	4.3791	0.2771900505842065	12.073710913279243	8.792265	11.053139307252486
G6PP	15082274297.5	0.0	15082274297.5	1.0	0.2011192059299942	0.1432	0.19575368703555857	11.972934861790694	8.69184	11.052671448789004
PGI	999977515314.0	1.0	999977515314.0	0.0	2.232419703170081	2.130135	0.9638417144303412	0.04945800484999912	0.04872	0.02775826103859727
PFK	146108117540.0	0.0	146108117540.0	1.0	1.8949385492299804	1.8678	1.0639089842941434	10.56295754283981	7.8491	9.5004080494605
FBP	15733538487.0	0.0	15733538487.0	1.0	0.18316863547000575	0.12816	0.19974444285039009	10.536076134710097	7.82108	9.501475987697548
FBA	991521696974.5	1.0	991521696974.5	0.0	1.7117699226899588	1.70439	1.0348305846129098	0.026881407849997492	0.02413	0.018382454540660533
TPI	1000000000000.0	1.0	1000000000000.0	0.0	3.526889373290085	3.506005	0.36837522335491985	0.048211386689997235	0.04757	0.016861509904256815
GAPD	1000000000000.0	1.0	1000000000000.0	0.0	7.701013582200239	7.713865	0.4911288702062434	0.09579945506999833	0.09499	0.036388434608826105
PGK	1000000000000.0	1.0	1000000000000.0	0.0	7.492535804869961	7.50875	0.5258973178790042	0.04674817115999743	0.04052	0.03413018541613049
DPGM	803850772981.5	1.0	803850772981.5	0.0	0.20847778443000048	0.14621	0.2045998883904074	0.049051281349997575	0.04306	0.034894580191262174
DPGase	803850772981.5	1.0	803850772981.5	0.0	0.20847778443000048	0.14621	0.2045998883904074	0.049051281349997575	0.04306	0.034894580191262174
PGM_f	1000000000000.0	1.0	1000000000000.0	0.0	21.15784220524962	22.35636	7.041868196871469	0.404159662709987	0.41469	0.17975725643643437
ENO_f	1000000000000.0	1.0	1000000000000.0	0.0	19.679085238239903	19.197725	7.668048152893159	0.4343408520900167	0.44769	0.19394980523317817
PYK	2498913.0	0.0	2498913.0	1.0	7.627440004449939	7.64009	0.4937584840381721	41.83166509756012	38.948835	16.082995650322804
LDH_L	1000000000000.0	1.0	1000000000000.0	0.0	7.33200739569999	7.37402	0.3230024996783662	0.071200648019993	0.07344	0.008783480628157281
r0407	994785261179.5	1.0	994785261179.5	0.0	1.8151194522900211	1.81579	1.0040738883095717	0.021329985229996323	0.01819	0.015770510107881747
PRPPS	1398811533.0	0.0	1398811533.0	1.0	0.007021684699998978	0.00697	0.0015587746024887908	0.0453320443599985	0.04347	0.01890484703786471
G6PDH2r	992866339007.5	1.0	992866339007.5	0.0	1.9487261930499478	2.056905	0.9407720152590303	0.04346211127000052	0.04143	0.028058172250732993
PGL	992866339007.5	1.0	992866339007.5	0.0	1.9487261930499478	2.056905	0.9407720152590303	0.04346211127000052	0.04143	0.028058172250732993
GND	992866339007.5	1.0	992866339007.5	0.0	1.9487261930499478	2.056905	0.9407720152590303	0.04346211127000052	0.04143	0.028058172250732993
RPI	980134914039.0	1.0	980134914039.0	0.0	0.6542565278900256	0.69041	0.3135923915373557	0.044708738779999285	0.04398	0.015213402434194563
TKT2_f	966601413235.5	1.0	966601413235.5	0.0	0.7095829254500283	0.74304	0.3169036647193226	0.11562137763999701	0.11463	0.06268426627614235
RPE_f	995235465637.0	1.0	995235465637.0	0.0	1.5338718320098934	1.602525	0.6272705823090519	0.14834869076999796	0.15335	0.07515498127924586
TKT1_f	977440061646.5	1.0	977440061646.5	0.0	0.7320044919700124	0.7655	0.31666160580012953	0.12050769742000043	0.12338	0.04568098458112426
TALA_f	958004793810.5	1.0	958004793810.5	0.0	1.7454376424899865	1.66371	1.0481993018059326	0.16404857833999814	0.16279	0.0724736347556049
r0408	994785261179.5	1.0	994785261179.5	0.0	1.8151194522900211	1.81579	1.0040738883095717	0.021329985229996323	0.01819	0.015770510107881747
PDHm	289228281.0	0.0	289228281.0	1.0	1.1065530678499762	1.09183	0.3950018943379947	6.867177641619801	6.83355	1.9986453740116688
PCm	0.0	0.0	0.0	1.0	2.2369601704999336	1.93529	1.5473594435916105	97.17702477839094	96.51966	15.98448377612006
PEPCK_re	0.0	0.0	0.0	1.0	0.0	0.0	0.0	42.935847282052045	40.004745	16.040942793249613
CSm	12530237.5	0.0	12530237.5	1.0	4.686362380540127	4.21002	1.971620438877678	34.14833796840101	33.33410000000001	9.747726259972879
ACONTm_f	920504561011.0	1.0	920504561011.0	0.0	134.73247300557082	142.08513499999998	68.2669353638942	27.838192390509686	27.779305	14.906149513812004
ICDHxm	83397125965.5	0.0	83397125965.5	1.0	4.553388154969999	3.35075	4.2615541228250615	39.25065856912013	31.431855	32.17147271437277
ICDHym_f	10745577016.0	0.0	10745577016.0	1.0	4.150876642350047	3.92653	2.5167167389483676	121.40040822782021	121.75173000000001	67.05491792817311
AKGDm	0.0	0.0	0.0	1.0	1.173494461099956	0.91505	0.9919870477809196	37.044459800939535	36.447345	8.135263667173163
SUCOAS1m_f	754971212492.5	1.0	754971212492.5	0.0	134.15995163629546	140.42516	62.32987097684282	82.14576011105764	80.099955	32.857321412882875
SUCD1m	0.0	0.0	0.0	1.0	1.5017064274799874	1.24677	0.9947720031935002	38.7289249702196	38.14148	8.13845789084486
FUMm_f	621393743421.5	1.0	621393743421.5	0.0	196.90383622381023	191.00956	116.33827325214548	146.00027454905072	148.126595	76.65553084417189
MDHm_f	766655830905.0	1.0	766655830905.0	0.0	398.35945279077123	370.48576	249.8976273688886	176.0050907273924	151.25482499999998	120.11166134734
ME1m	50427602855.5	0.0	50427602855.5	1.0	1.0953476610100088	0.82171	0.97684976453993	15.93513710478045	12.828479999999999	12.835081577304084
ME2m	38777730387.0	0.0	38777730387.0	1.0	1.4497520572699603	1.08586	1.286666386171626	23.994162731150723	22.14839	15.734953084949021
ME2	7182804007.5	0.0	7182804007.5	1.0	0.20150547166000252	0.14398	0.19279617525742646	21.404887793719887	16.84483	17.365345700116844
ACITL	518535241054.5	1.0	518535241054.5	0.0	3.941727100080181	3.776185	1.0515426321891952	4.873068023649844	3.65728	4.286328680068148
FUM_f	182462778974.0	0.0	182462778974.0	1.0	85.86169317556693	81.40639999999999	47.989618321632356	140.08007610029065	141.03814	26.18629698897453
MDH_f	903483576484.0	1.0	903483576484.0	0.0	312.3171313626747	314.820975	156.97476842871217	83.40011239950167	71.511665	57.94723373865433
AKGMALtm_f	703176177704.5	1.0	703176177704.5	0.0	360.5721089804797	389.05310499999996	167.21674768399333	250.34474452929658	248.610665	118.97036996808191
ACONT	16732356550.0	0.0	16732356550.0	1.0	11.270049723679762	10.332615	4.887988879330401	79.89401297109218	78.95680999999999	36.70192726497745
ICDHyr	16732356550.0	0.0	16732356550.0	1.0	11.270049723679762	10.332615	4.887988879330401	79.89401297109218	78.95680999999999	36.70192726497745
PPA	11454.5	0.0	11454.5	1.0	0.6001558941200196	0.57833	0.19834382691984226	23.410638642190037	23.11288	7.749347967478459
Complex1ROS	18.0	0.0	18.0	1.0	2.616900531759981	2.5922	0.6147902470952824	66.17607536410092	67.878345	13.82262974440658
FADH2ETC	0.0	0.0	0.0	1.0	2.4933325071100727	2.27613	1.0834718111940531	58.96330169218899	55.663885	19.57849525496005
CYOR_u10mi	0.0	0.0	0.0	1.0	4.9811231577199875	4.73143	1.3821619715189053	121.8315749916283	121.790255	12.800134544510243
CYOOm2i	0.0	0.0	0.0	1.0	2.4905615748599708	2.365715	0.6910809843847143	60.91578749764931	60.895129999999995	6.400067275296502
ATPS4mi	0.0	0.0	0.0	1.0	5.233295866600082	5.00382	2.023596618937669	186.7121666350348	190.178905	12.9489392050875
GLUCYS	331429255695.0	0.0	331429255695.0	1.0	0.018232193689996484	0.01346	0.016499155372499397	0.03362142596999666	0.02616	0.02919399955812592
GTHS	331429255695.0	0.0	331429255695.0	1.0	0.018232193689996484	0.01346	0.016499155372499397	0.03362142596999666	0.02616	0.02919399955812592
SPODMm	18.0	0.0	18.0	1.0	0.06542251000999702	0.064805	0.01536975580247332	1.6544018815999566	1.69696	0.3455657458473702
GTHPi	858962327415.5	1.0	858962327415.5	0.0	0.09114361516000376	0.09161	0.04712617129653204	0.03181767217999779	0.03052	0.01809395930322579
GTHPm	40864075.0	0.0	40864075.0	1.0	0.05058006002999862	0.04996	0.016548430247415848	1.2218289560800148	1.24096	0.42606004484875015
GDR	885661285078.0	1.0	885661285078.0	0.0	0.11661576279999813	0.11199	0.07007544237596407	0.02805527333999747	0.02402	0.02074418424471188
GTHOr	786247612909.0	1.0	786247612909.0	0.0	0.08436170721999756	0.06912	0.0656173400298548	0.027732316489997612	0.02379	0.020535267739675237
GDRm	26403403480.5	0.0	26403403480.5	1.0	0.014227019249995924	0.01079	0.012397936065088341	0.42208490245000724	0.34114	0.33622834351541026
GTHOm	32475919635.5	0.0	32475919635.5	1.0	0.013874826079994662	0.01052	0.011925768118340301	0.36108569923000783	0.2772	0.30746933024264705
r0885	20437387689.0	0.0	20437387689.0	1.0	0.044956438930000675	0.04041	0.02704964275352674	0.877316700069996	0.69677	0.6985003784318085
PYRt2m_f	4809451135.0	0.0	4809451135.0	1.0	21.409519506070147	19.58503	13.539500510361913	84.04798168646883	82.486565	22.892666243706902
HMR_4964	17867535207.0	0.0	17867535207.0	1.0	15.211776821550032	14.08952	5.797121661283184	84.76708099562995	83.58935	37.25119374529522
r2420	14242797882.0	0.0	14242797882.0	1.0	2.835805893540003	2.5223750000000003	1.8292583527552557	54.20866454432107	57.935625	26.08916707375444
ATPtm	0.0	0.0	0.0	1.0	2.99052596992001	2.66403	1.7780373785420367	89.51425817327426	91.99996999999999	13.76238040656913
FUMtm_f	222727441795.0	0.0	222727441795.0	1.0	9.675683474029823	10.923115	4.920710626965334	29.700808545180504	25.184359999999998	21.66008167653444
CO2tm_f	265416325467.0	0.0	265416325467.0	1.0	143.0765777772109	134.05469	83.27757908482081	218.41613874793512	223.747375	83.00858221709633
O2tm	0.0	0.0	0.0	1.0	2.55598409531991	2.4311	0.7014329120813738	62.570189379841736	62.613505	6.360924076872844
r0801_f	205922644198.0	0.0	205922644198.0	1.0	67.84896153814047	73.752555	37.546241712280164	120.44517548151286	126.975735	45.37082417864531
THD1m	22485802538.5	0.0	22485802538.5	1.0	17.13490635975973	16.59077	6.2788212958552405	97.17963844274732	102.07168999999999	32.725802903765945
H2Otm_f	0.0	0.0	0.0	1.0	0.0	0.0	0.0	30.860644353469567	27.507645	21.469884670681846
H2Otm_b	0.0	0.0	0.0	1.0	0.0	0.0	0.0	229.18550851583157	228.8075	32.209473160382494
NH4tm_f	485799644502.0	2.1514747158798555e-265	485799644502.0	1.0	95.99600715561301	90.862465	60.2342516952269	98.26470951318109	98.400395	51.33846844347369
HCO3E	518529032270.0	1.0	518529032270.0	0.0	3.446818969070159	3.30196	0.9202222025869221	4.2618055036800735	3.1979550000000003	3.750596769363652
HCO3Em	0.0	0.0	0.0	1.0	2.242679119150084	1.9411049999999999	1.5472953863656844	97.19760688152866	96.53930500000001	15.987264062331102
GLUN	77024212775.0	0.0	77024212775.0	1.0	0.9084193450700252	0.90255	0.2713205353169531	11.083973284110158	7.818910000000001	10.83111187587129
GLNS	178058448.0	0.0	178058448.0	1.0	0.2002379960600012	0.14231	0.19159175408175075	16.29748053112985	13.842759999999998	10.97121421155734
GLUt2m	68514465422.5	0.0	68514465422.5	1.0	0.09873774045999989	0.0703	0.09580045480899672	1.2591711853599916	0.92604	1.1545492341384627
GLNtm_1	117715951015.0	0.0	117715951015.0	1.0	0.16900461016000223	0.12035	0.16160665778487435	1.1436251752700166	0.86062	1.0220897251261865
GLUNm	117715951015.0	0.0	117715951015.0	1.0	0.16900461016000223	0.12035	0.16160665778487435	1.1436251752700166	0.86062	1.0220897251261865
GLUPRT	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
PRAGSr	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
GARFT	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
PRFGS	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
PRAIS	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
AIRCr	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
PRASCSi	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
ADSL2r	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
AICART	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
IMPC	830760501057.5	1.0	830760501057.5	0.0	0.0040183278900044715	0.00417	0.0007523540609216045	0.003220836870004717	0.00331	0.00030373881906324725
ADSS	830744104091.0	1.0	830744104091.0	0.0	0.0023795024800030437	0.00247	0.0004455293983236828	0.001907263459999818	0.00196	0.00017989043251161746
ADSL1r	830744104091.0	1.0	830744104091.0	0.0	0.0023795024800030437	0.00247	0.0004455293983236828	0.001907263459999818	0.00196	0.00017989043251161746
IMPDH2	830744960671.5	1.0	830744960671.5	0.0	0.0016388237500019366	0.0017	0.0003068449684932693	0.001313586550002824	0.00135	0.00012389878252041904
GMPS	528358668471.0	1.0	528358668471.0	0.0	0.0007543841800006938	0.00069	0.0004973872762347543	0.000679654770000745	0.00069	0.0003870961412359835
GMPS2	638788802413.5	1.0	638788802413.5	0.0	0.0008844485700009761	0.00089	0.0005191711968741689	0.0006339328400005392	0.00061	0.00038579881416383663
GK1	830744960671.5	1.0	830744960671.5	0.0	0.0016388237500019366	0.0017	0.0003068449684932693	0.001313586550002824	0.00135	0.00012389878252041904
RNDR2	830234994404.0	1.0	830234994404.0	0.0	0.00035255224000038947	0.00037	6.610361745515888e-05	0.0002825849900023567	0.00029	2.6813023806139628e-05
ADK1	11378.5	0.0	11378.5	1.0	0.5981758622400101	0.57634	0.19837204553963955	23.409051576899962	23.111255	7.74934865294966
RNDR1	830640133865.5	1.0	830640133865.5	0.0	0.000469495150000708	0.00049	8.793203147030811e-05	0.0003762696999999811	0.00039	3.554300107227754e-05
CBPS	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
ASPCT	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
DHORTS	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
DHORD9	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
ORPT	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
OMPDC	709330409730.5	1.0	709330409730.5	0.0	0.0017351332800019175	0.0017	0.001033015594634458	0.0010016927900007347	0.00087	0.0007327012503154731
UMPK	784080545519.0	1.0	784080545519.0	0.0	0.003253167100003941	0.00322	0.0008009444969466508	0.0024969500600030494	0.00251	0.0004801849662819777
RNDR4	973167831721.0	1.0	973167831721.0	0.0	0.0004662549900005913	0.00048	8.735426738787614e-05	0.0001842312500002791	0.00018	0.00010752545645185834
TMDS	973167831721.0	1.0	973167831721.0	0.0	0.0004662549900005913	0.00048	8.735426738787614e-05	0.0001842312500002791	0.00018	0.00010752545645185834
URIDK2r	973167831721.0	1.0	973167831721.0	0.0	0.0004662549900005913	0.00048	8.735426738787614e-05	0.0001842312500002791	0.00018	0.00010752545645185834
NDPK2	694705547444.0	1.0	694705547444.0	0.0	0.0027869321500034916	0.00273	0.0007351771116413045	0.0023127075000028436	0.00233	0.00045036153351419325
NDPK3_f	639371721.5	0.0	639371721.5	1.0	0.0005669228600006146	0.00059	0.0003188854096652489	0.004055416770004622	0.00413	0.0011386561456557217
CYTK1_r	632097265623.0	1.0	632097265623.0	0.0	0.0008431202900008657	0.0008	0.0005246209337393592	0.0005969029900005551	0.00055	0.0003905195802192538
CTPS1	539984340967.0	1.0	539984340967.0	0.0	0.0008834324500009737	0.00084	0.0005349653134315967	0.0007869920300007428	0.00082	0.00039706948117496907
RNDR3	829911991124.5	1.0	829911991124.5	0.0	0.00033631081000040847	0.00035	6.307353926513667e-05	0.00026961464000127783	0.00028	2.5680914258984357e-05
GDHm	76465425200.5	0.0	76465425200.5	1.0	4.002415818870137	2.9064750000000004	3.7239155237553256	33.4343928125991	27.62602	25.984016826986647
GLUDym_f	582936035503.0	1.0	582936035503.0	0.0	134.3498491664072	143.479495	76.04490118751431	114.91119122965341	114.24018000000001	51.448087157853
ASPTA_f	635353239594.0	1.0	635353239594.0	0.0	146.12477066863968	151.021905	78.27975205510472	110.70679467731102	106.815315	47.272562373831
ASPTAm	1771590569.5	0.0	1771590569.5	1.0	2.1472311296200273	1.60829	1.857495276252314	80.35038965539287	76.026255	39.27863486015387
ASPGLUm	1691638650.0	0.0	1691638650.0	1.0	2.0148872618699576	1.4769	1.8549764746351873	80.31501220163216	75.99242000000001	39.279179433306886
