Rxn	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
EX_met__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_gly_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_phe__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_ser__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_ala__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_ribflv_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_asn__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_fol_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_urea_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_pyr_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
PYRt2	2.377543238	1.994331731	2.626248518	86.25031685500001	83.97630356399999	70.475669605	31.577737801	30.518691820999997	20.722486199	23.138307204999997	25.005907373000003	38.309720018	131.023692464	68.278402106	85.887045055
EX_gudac_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_hdca_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_ptrcIN_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_ptrcOUT_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_biomassx	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_h2o2_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_gthox_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_2obut_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_crn_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_val__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_spmd_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_sprm_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_5mthf_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_tmlys_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_thbpt_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_CE2705_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_crtn_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_his__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_lys__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_carn_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_csn_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_cys__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_cyan_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_tcyntc	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_tcynt_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_so3_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_thr__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_trp__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_anth_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_tyr__L_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_cystinex	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_3hydroxybutanoatex	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_gthrd_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
EX_cmp_e	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HEX1	23.527188791000004	21.271390417	23.930108472	41.740753833	39.89842204	38.486229773	47.32418002	36.927007359	31.242845350000003	49.483876198000004	43.253526887999996	50.12070306	39.899049511	29.374748551999996	30.690425962000003
G6PP	161.3055388	185.004335	159.9180785	123.0883388	118.1692888	99.13148044	94.94540949	117.8264245	106.568321	100.7332962	142.1867231	88.51336146	114.9477821	128.7667093	127.8378287
PGI	58.96463576	62.33676998	65.87839473	94.54722102	99.16299778	88.63753981	133.9684695	115.5083432	116.2677406	155.3738227	122.9174189	157.6609865	112.1234448	70.64798377	73.52488204
PFK	107.25128025100001	99.504550695	119.365939112	168.71946085	156.97431727	142.57910266	124.5862651	93.06387404	90.93445351	68.25363019699999	84.719382896	96.65282090999999	143.23698867	91.43808381	75.34069853
FBP	25.528307713999997	25.511583319	25.805986577	0.06969897	0.078543738	0.075484951	24.442576563	23.655969688	24.85774942	11.186256151	3.904037185	14.307302677000001	0.067414311	0.059920796	0.0
FBA	21.381394352	14.68274949	17.996323534	188.525624835	171.593358201	148.271343618	65.223093875	47.034132289999995	50.06632437500001	87.09867544000001	73.29360355700001	97.03284723	60.900598905	37.511165274999996	37.331513645
TPI	1559.735869	1681.577295	1825.228256	3811.53833	3616.80212	3583.333021	3009.72217	2511.651351	2585.884207	2221.862404	1965.927925	2155.919051	2619.441302	1352.565935	1322.370145
GAPD	4808.161184	5020.831245	5637.034161	8601.602391	8344.383225634001	8088.345335172	7957.977294746	6146.99911	6894.980365382	6872.090836	5938.697558	7389.730473	7849.243098	2598.993684	2913.229229
PGK	14.823813265999998	14.334668024	15.775839207	48.54739885	46.22974426	50.46017462	44.900315862	35.187878147999996	29.282816383	12.63021299	12.266758693	14.39853648	46.49175794	16.3917511	20.66072219
DPGM	156.718878017	139.045232928	157.00355238	775.250563315	734.15308722	755.530109882	463.855045863	355.302722213	319.957560254	87.396824294	95.490320181	111.539423227	623.362256349	127.442627597	179.12855239499999
DPGase	156.718878017	139.045232928	157.00355238	775.250563315	734.15308722	755.530109882	463.855045863	355.302722213	319.957560254	87.396824294	95.490320181	111.539423227	623.362256349	127.442627597	179.12855239499999
PGM	156.718878017	139.045232928	157.00355238	775.250563315	734.15308722	755.530109882	463.855045863	355.302722213	319.957560254	87.396824294	95.490320181	111.539423227	623.362256349	127.442627597	179.12855239499999
ENO	486.35817062	479.20080853	567.23796727	2271.77735329	2242.4610509199997	2242.6746423429995	1034.071529452	781.726164232	877.761083557	1026.4947128899998	1033.082794707	1030.1461123010001	1533.053417613	738.752997494	729.696374346
PYK	541.4406903	520.3917247	587.6600985	1154.505875	1094.717411	1056.589813	511.7865907	338.2682966	393.3537681	356.33374095299996	402.478252676	350.193242	1015.0809818500001	688.5872652	608.6596682989999
LDH_L	250.13390790399998	266.75420064499997	279.532068126	1745.980678232	1734.871279712	2031.816629296	1293.961099916	1352.880878122	903.605893699	1473.878934358	1244.522715786	1572.314637848	1670.7445987309998	969.1400123459999	1082.3720718590002
r0407	21.381394352	14.68274949	17.996323534	188.525624835	171.593358201	148.271343618	65.223093875	47.034132289999995	50.06632437500001	87.09867544000001	73.29360355700001	97.03284723	60.900598905	37.511165274999996	37.331513645
PRPPS	26.438055337999998	26.540511707	27.91484958	72.70624215500001	75.35082274999999	83.036075853	61.472129059000004	56.958757330000005	49.353366118	25.587794277	20.758182376	24.895376682	49.15068649	21.468274109	29.274828064
G6PDH2r	420.8420253	408.9523241	466.466066	99.79720932	88.87737063	77.90845912	380.7571877	341.8627401	340.6848892	203.2980827	202.2385944	219.4009669	73.8467019	47.142473	42.59734414
PGL	67.115199499	75.303859559	68.085450854	60.180132150000006	59.36151493	47.341166199999996	50.403153945	70.971602236	62.781663666	63.892635479	74.160963279	61.511639464	51.294379807	76.79075321900001	72.458219321
GND	86.08360014	83.6706475	93.23556595	86.98259228	88.21161011	91.79237838	98.67879073	80.15817452	96.13486411	65.91111752	60.78431566	77.1390953	98.78110597	49.09837816	48.32758157
RPI	2.002119242	1.984259852	1.662161234	6.703761655	7.363927351	6.59441764	10.80538524	10.83508581	9.414303434	4.873821823	3.569628843	3.77221046	5.576639325	2.678258856	3.236094049
TKT2	161.7915891	175.0540826	179.6469539	198.09980127400001	200.275646	174.84032863599998	174.7584499	168.3761746	173.300455757	318.3919229	293.24189063499995	326.0059516	454.934883108	318.050756199	307.991479447
RPE	17.465439383000003	14.26327867	16.929942539	47.476637021	50.279676255	49.857083209	57.163877592999995	63.988440683	48.710419109	22.607851102999998	18.94760764	26.297457013	44.928841597	25.481065947999998	39.134189613000004
TKT1	161.7915891	175.0540826	179.6469539	198.09980127400001	200.275646	174.84032863599998	174.7584499	168.3761746	173.300455757	318.3919229	293.24189063499995	326.0059516	454.934883108	318.050756199	307.991479447
TALA	79.77061885	82.15265682	78.59338957	102.847392	109.3134777	102.4229111	122.8363263	128.2563066	149.7522212	171.6222838	119.7834	160.9654733	76.45707835	57.18560562	56.42327685
r0408	107.25128025100001	99.504550695	119.365939112	168.71946085	156.97431727	142.57910266	124.5862651	93.06387404	90.93445351	68.25363019699999	84.719382896	96.65282090999999	143.23698867	91.43808381	75.34069853
PDHm	2.841864928	2.49996683	2.758888875	4.963118706	5.385202568	5.770697311	4.869445066	4.673732643	4.184345627	5.311021666	4.04055694	6.160700271	3.115227552	1.85547003	3.422822079
PCm	2.090111953	2.224753513	2.519783255	4.505160209	4.171018741	3.009275499	8.694376828	7.476704692	5.482666312	3.123385701	4.175461845	3.908792841	8.145913635	9.413732704	7.97581877
PEPCK_re	0.59318993	0.106550226	0.377029228	0.0	0.0	0.0	0.0	0.0	0.0	0.847867393	1.1879173	0.651230943	0.0	0.0	0.0
CSm	64.84524747	58.08161473	69.58562282	104.0691156	108.7031529	105.4144617	121.1686522	79.02394609	95.25355272	63.86323123	54.04534215	69.79340218	89.76976493	28.7563164	36.08118069
ACONTm	14.894552426	14.282942607999999	17.527570833	65.29532569	66.71417065	65.96003322	18.130066193	8.876459513	12.01186329	4.835445009	4.983865561	6.754905533	17.533346317	7.669702184	7.456801025
ICDHxm	3.675257483	3.13070177	3.62712457	13.57327056	14.44086388	15.27864823	9.161475716	5.874652726	6.595765003	3.322406903	3.245498936	3.689191147	11.45227919	2.81501297	2.788194606
ICDHym	255.0190321	271.5784165	281.1980792	11.36735349	11.01298152	9.342410803	127.7387387	121.4888831	132.5892763	83.15932187	74.12974285	125.9960979	27.71872999	20.84646572	21.08226662
AKGDm	7.585651446	7.377062777	8.627973349	27.575439	26.49975701	23.02425026	7.751250364	4.748324928	6.022195663	8.749218864	8.655849825	10.59806588	11.7496588	8.8229767	7.847651544
SUCOAS1m	1.654215644	1.257204465	1.655654622	2.6056911	2.834084412	2.997151124	2.484054994	2.135209529	1.812625095	1.147695763	0.81284131	1.480484308	2.545861167	0.939065313	2.06074889
SUCD1m	8.123582874	6.785586765	8.562018722	16.76509698	17.36571776	19.0534145	16.81359867	22.60266897	14.19889548	19.90707524	14.28297556	21.04451946	23.77640983	13.16592543	16.91222947
FUMm	39.86217883	48.42703205	53.03133571	64.12408913	73.09624079	79.12497026	33.87235715	36.51621521	39.2152415	89.48706756	70.0199795	73.51376272	79.72224273	62.34932087	64.56724579
MDHm	120.3400335	120.0228472	136.1391158	229.4684911	225.9331678	212.0006815	254.7133599	191.1352569	207.1228128	159.4050831	108.3844891	210.0804653	194.1245368	46.6579055	53.69256084
ME1m	1.185137449	1.26508642	1.281514479	7.064763245	7.538899652	8.34119475	3.461754642	3.213635851	2.785154951	2.283642201	2.207173988	2.663299641	6.919732614	3.492610403	5.610687353
ME2m	0.132684846	0.17639493	0.122162796	2.461689892	2.428079384	2.225387347	0.155530055	0.176839851	0.111701853	0.003962322	0.082478997	0.0	0.063300244	0.06532117	0.034934656
ME2	0.971004563	0.786098756	1.087415043	2.300173048	2.445951527	2.696305339	3.406256331	2.970409869	3.42981074	1.540190809	1.074446784	1.400910978	5.202757471	2.630401636	3.461540378
ACITL	14.17286022	13.71907624	15.26497248	83.62302019	81.89636485	79.08443514	39.42291238	26.01509064	30.37952104	80.47277507	66.01998169	68.74179415	62.85805841	38.15904343	39.92538525
FUM	39.86217883	48.42703205	53.03133571	64.12408913	73.09624079	79.12497026	33.87235715	36.51621521	39.2152415	89.48706756	70.0199795	73.51376272	79.72224273	62.34932087	64.56724579
MDH	46.328292251	51.714603832	59.452246289	153.315600298	156.273180756	172.015165554	97.46553415999999	101.05529644699999	89.399222267	114.01886114999999	92.071556945	121.066179001	141.684585292	100.143171189	123.64637210400001
AKGMALtm	264.71735886	288.5899768	294.38090818999996	333.47125872000004	339.28483315799997	303.81426883999995	270.2113542	222.39898207	293.60622381	363.36792952999997	340.7511488	362.92075624	78.206182451	63.30687323	57.45682735
ACONT	6.772669212	6.471943367	7.967498732	42.98184143	45.22790055	46.06112144	3.367876283	2.502500798	2.66606875	0.575274286	0.890172705	0.500436891	6.683867787	4.222034269	4.386791797
ICDHyr	38.75487187	35.28666437	38.60025567	54.61366719	55.86036586	61.53476997	22.34421026	21.02856005	21.86377567	19.20967316	13.28885161	22.16040665	99.37682529	61.02659001	86.15844847
PPA	33.531096989	32.428788155	32.692132448	66.25738998300001	73.05506883299999	80.739784454	87.298776794	98.296588531	88.25486717999999	168.916137179	126.561237323	187.997966637	161.519358888	87.04770224399999	128.99111575499998
Complex1ROS	0.514199617	0.567058449	0.7942566	0.129714931	0.138674699	0.100126237	0.473075079	0.652125936	0.557211372	0.172196208	0.388310615	0.286564758	0.187868231	0.233779731	0.368370038
FADH2ETC	2.771230043	2.208195825	2.687073505	5.451774164	5.971058107	6.033647109	6.566478011	5.954561542	6.471474318	2.914070355	2.747815743	2.370879032	5.938753295	4.021244179	4.014343028
CYOR_u10mi	21.1082179	25.53741486	21.40909493	13.84698701	14.08249005	12.45390937	8.567043369	11.06112173	12.79794833	45.8200014	35.67592423	41.47550714	13.32040697	18.44711284	13.61190083
CYOOm2i	65.31563738	80.16416238	66.97170235	45.15721006	46.57066854	59.68622045	63.74149215	86.31222876	89.57069308	133.5804974	86.46042044	111.886159967	129.9092634	83.59966161	90.19859399
ATPS4mi	9.384727164	14.14634981	9.771526417	7.47713104	9.638471224	8.76086161	9.970363166	21.12514014	26.04525767	82.7469306	39.53621925	42.80445565	21.65643445	42.42937105	30.73890813
GLUCYS	4.603288729	3.764691228	4.407219968	3.55536499	3.719957845	3.795965352	4.088706884	3.768295507	3.642718207	2.358089105	1.852348177	2.951182242	5.432261904	2.342506907	4.011626668
GTHS	71.82583922	73.9184268	71.97257746	62.65068556	61.75412945	58.50326335	32.18842956	31.34190303	36.75412198	46.14389623	47.73493243	45.31144306	38.91315591	37.13919703	32.66554362
SPODMm	3.427475117	2.332853728	2.560042326	9.190897831	9.16479085	10.77235868	3.897347606	3.260132857	3.244242548	6.001070202	3.976823869	5.865761907	10.31106276	5.579920036	8.629406005
GTHPi	3857.9378245999997	4274.3066439	3855.6280316	3011.478377924	3010.231989768	2700.843818936	1582.805001424	1609.9139816919999	1722.06856146	1920.61034177	2305.6743077399997	1898.551260474	6745.644365915	6756.410330082	6745.265057508
GTHPm	3341.8954565000004	3701.6486163	3305.0613396999997	2812.5911284000003	2816.1358336	2507.0612059	1048.093282308	1195.959669695	1139.198456262	1479.41691732	2015.50156417	1524.7989669339997	6193.1477806	6575.3374226	6660.607187
GDR	13.76891328	11.82446142	13.67266044	14.90467468	15.02821459	14.37126185	22.75890042	18.40061718	18.97153057	22.3933495	14.35563722	18.02945082	14.2585846	10.26107994	10.94165692
GTHOr	13.76891328	11.82446142	13.67266044	14.90467468	15.02821459	14.37126185	22.75890042	18.40061718	18.97153057	22.3933495	14.35563722	18.02945082	14.2585846	10.26107994	10.94165692
GDRm	13.76891328	11.82446142	13.67266044	14.90467468	15.02821459	14.37126185	22.75890042	18.40061718	18.97153057	22.3933495	14.35563722	18.02945082	14.2585846	10.26107994	10.94165692
GTHOm	13.76891328	11.82446142	13.67266044	14.90467468	15.02821459	14.37126185	22.75890042	18.40061718	18.97153057	22.3933495	14.35563722	18.02945082	14.2585846	10.26107994	10.94165692
r0885	18.96104396	26.8393297	26.27186549	5.04555662	6.556943958	4.38494424	21.1450984	27.30348987	34.45939581	96.84806573	108.8269745	90.53983354	8.019534741	18.99624333	16.58022397
PYRt2m	21.399390663000002	21.643064697	20.945866933999998	22.606347526	26.688501921	24.854193984000002	49.07510359	58.75951101	46.649707230000004	123.79143817600001	89.26169436900001	115.965731007	102.96961653	103.53568896000002	135.12091322
HMR_4964	1108.788295	1258.804316	1277.095746	417.9353293	464.7982075	326.1187043	645.9436729	769.0074526	727.5734644	513.4975019	735.4403891	781.989539	1023.853782	954.1139989	897.4674734
r2420	507.583379	519.7936679	563.8213218	575.3967835	602.9913053	646.6235901	474.5885534	478.7677498	467.9088504	467.7346095	343.2447648	363.2618206	677.6610513	504.0483199	513.7591291
ATPtm	383.42855483	405.21287959999995	513.29074795	1920.4256722599998	2078.2632664000002	2113.6791822699997	4223.712360449999	4004.24658256	3789.4426334	1216.5479856999998	915.11519334	1132.86810524	1896.90181488	1182.5015078099998	1208.44922186
FUMtm	18.96104396	26.8393297	26.27186549	5.04555662	6.556943958	4.38494424	21.1450984	27.30348987	34.45939581	96.84806573	108.8269745	90.53983354	8.019534741	18.99624333	16.58022397
CO2tm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
O2tm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
r0801	17.82939264	15.56194987	17.8847301	11.7958021	14.35592985	10.68921844	13.98140902	19.58619209	27.01768334	35.79966243	15.97893479	18.63956613	20.39363112	20.57265698	16.33893061
THD1m	1.640722578	1.313186205	1.747269828	10.84660274	10.69144087	10.7279812	5.143967062	3.587559062	3.437132303	0.210262433	0.611686163	0.280659905	3.406847673	3.457801742	5.037936707
H2Otm	0.22968301	0.170181924	0.100365123	0.0	0.0	0.0	0.028395248	0.127811807	0.19577758	0.069446822	0.0	0.057785859	0.054119541	0.0	0.068032517
NH4tm	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
HCO3E	20.404598225999997	18.187976808	19.984866545999996	30.641711546	27.265835	28.792931976	38.188621475999994	31.588208623	35.040825303	13.840959846999999	18.817706977	17.898667695	239.35331893699998	278.64904062700003	258.094833833
HCO3Em	1.950022135	1.767019909	2.1427400420000002	0.394071102	0.409553844	0.398624691	0.372916467	0.305192725	0.34979473699999997	0.225709146	0.279661993	0.218472678	0.373325918	0.415423691	0.523450028
GLUN	2.28294356	1.313423381	1.663942696	12.39697069	13.23257191	15.11415869	8.022135231	6.705669721	4.49219421	3.194188244	3.620305369	4.459774398	15.35296558	5.129302281	9.615468744
GLNS	1056.011516352	920.6028702	1101.727990956	23.80338666	20.098602795	19.08597412	106.7568372	103.021977529	78.682348227	407.61982684400004	207.432366954	453.7008366	1296.935323	790.3384021109999	874.600083691
GLUt2m	94.432304633	100.41588808	98.97835831100001	78.700116051	75.84171370600001	56.129574763	59.626634536	63.453128577	56.52276337599999	70.57196440099999	138.870338929	109.94473942399999	42.082335874	33.965068994999996	30.055146394999998
GLNtm_1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
GLUNm	2.565150241	1.527883841	1.96749104	12.451311801	13.301229167	15.11415869	8.15095484	6.923109275	4.566208915	3.246697689	3.870790789	4.5034668710000005	15.803089239999998	5.4348252850000005	9.795509006
GLUPRT	6.579272112	5.21404164	5.093608004	9.946156138	10.51306108	11.46115328	14.14153122	11.06842266	10.5275277	5.851216072	5.903468396	7.461164552	7.41076774	2.937086985	5.051439332
PRAGSr	8.656895827	7.737840845	9.461947533	58.85963277	62.53106306	67.81901902	49.56975892	35.3909331	35.71545703	18.08766626	15.59739486	18.34041907	41.5820865	17.49535524	19.84335051
GARFT	8.656895827	7.737840845	9.461947533	58.85963277	62.53106306	67.81901902	49.56975892	35.3909331	35.71545703	18.08766626	15.59739486	18.34041907	41.5820865	17.49535524	19.84335051
PRFGS	8.406351484	7.534955851	9.853543664	58.42570886	54.24036654	50.01360706	28.95990089	22.01466745	21.93438121	17.22567487	26.48898493	19.30570391	19.86233754	19.97141151	16.16765667
PRAIS	8.656895827	7.737840845	9.461947533	58.85963277	62.53106306	67.81901902	49.56975892	35.3909331	35.71545703	18.08766626	15.59739486	18.34041907	41.5820865	17.49535524	19.84335051
AIRCr	104.459049	108.7452405	117.4617179	169.1563703	177.1183952	199.9411385	177.0736902	171.8603459	164.1255589	147.7613042	126.7638977	148.6654195	139.8156631	81.05372093	95.88852864
PRASCSi	104.459049	108.7452405	117.4617179	169.1563703	177.1183952	199.9411385	177.0736902	171.8603459	164.1255589	147.7613042	126.7638977	148.6654195	139.8156631	81.05372093	95.88852864
ADSL2r	0.526228467	0.579531052	0.673506807	2.44021181	2.273661282	2.356566101	1.817317853	1.718579529	1.774581294	1.86758781	1.384528058	1.536634098	2.829495248	1.274834416	1.962426452
AICART	15.23770867	16.0901733	16.80114335	79.57260507	84.65078797	94.50803216	82.82328457	68.07932607	75.80082173	22.34447886	19.15983838	20.61372035	54.4519117	28.55907144	26.77873642
IMPC	15.23770867	16.0901733	16.80114335	79.57260507	84.65078797	94.50803216	82.82328457	68.07932607	75.80082173	22.34447886	19.15983838	20.61372035	54.4519117	28.55907144	26.77873642
ADSS	16.165658538000002	14.237730258	16.718401313	17.000982207	17.876584605	22.363017049	16.042444576999998	15.63773141	15.116611064	8.564255403	7.790886167	7.837153642	27.326270269	25.126938776000003	27.899951714000004
ADSL1r	0.526228467	0.579531052	0.673506807	2.44021181	2.273661282	2.356566101	1.817317853	1.718579529	1.774581294	1.86758781	1.384528058	1.536634098	2.829495248	1.274834416	1.962426452
IMPDH2	303.8315007	330.8977779	322.5048069	764.11115677	758.5364954	704.31313878	570.1217423600001	448.96794284000003	507.15727553	510.97220350000003	612.4489383	565.1223173	557.4833983	527.9500869	447.11583700000006
GMPS	11.87474149	12.51138529	14.44452391	22.56431509	24.51001603	30.2205422	40.05653014	34.13385788	37.70715728	27.56259518	22.04894342	25.18848115	15.77878697	9.024516016	8.878136526
GMPS2	11.87474149	12.51138529	14.44452391	22.56431509	24.51001603	30.2205422	40.05653014	34.13385788	37.70715728	27.56259518	22.04894342	25.18848115	15.77878697	9.024516016	8.878136526
GK1	402.8446031	418.1609852	436.7002983	114.4435028	109.1431318	90.18602004	130.9923503	136.3177448	141.0197431	164.0996925	209.8322692	240.0541992	270.0259785	199.5090867	182.2718023
RNDR2	7.693470848	6.455386574	8.224486733	62.11789407	69.33102599	77.99712722	53.0593726	29.27071965	41.64966715	10.65479652	7.448788447	12.07156023	13.62829771	3.051375555	3.326669935
ADK1	17.770644172999997	19.191311472	17.216075572	36.17964907300001	35.608320486000004	38.028310314	34.747676647999995	34.304794976	33.150726938	38.195219086	35.031892352999996	35.769498079	63.616498666999995	56.31526156900001	52.157642530000004
RNDR1	7.693470848	6.455386574	8.224486733	62.11789407	69.33102599	77.99712722	53.0593726	29.27071965	41.64966715	10.65479652	7.448788447	12.07156023	13.62829771	3.051375555	3.326669935
CBPS	20.42432858	16.62188743	21.68596991	83.40056884	75.52844332	66.61185826	58.35441677	33.58793845	43.94129262	14.26840063	27.11790617	19.15995997	37.30211864	30.31999026	21.57593344
ASPCT	20.42432858	16.62188743	21.68596991	83.40056884	75.52844332	66.61185826	58.35441677	33.58793845	43.94129262	14.26840063	27.11790617	19.15995997	37.30211864	30.31999026	21.57593344
DHORTS	20.42432858	16.62188743	21.68596991	83.40056884	75.52844332	66.61185826	58.35441677	33.58793845	43.94129262	14.26840063	27.11790617	19.15995997	37.30211864	30.31999026	21.57593344
DHORD9	10.73557678	9.584616475	9.660294389	9.936690621	8.844745238	9.134625745	21.82535859	19.78068111	20.10918412	14.13814544	13.09655568	14.20504677	9.350124422	6.925112023	6.218465181
ORPT	17.06969136	17.33913614	19.30629064	27.0973163	29.81648718	34.15688656	59.15759833	42.70543785	57.88041426	19.04360925	14.87583491	18.87384639	22.30813879	7.29283745	7.391016217
