Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_ptrcIN_e	997045500000.0	1.0	997045500000.0	0.0	0.00026972676000048656	0.00028	0.00013522323995991594	0.0	0.0	0.0
EX_ptrcOUT_e	647116644171.5	1.0	647116644171.5	0.0	0.01745869072999598	0.01414	0.013837641504669597	0.01050560507999548	0.00829	0.00875087802353366
EX_biomassx	5267901956.0	0.0	5267901956.0	1.0	0.028546872400016323	0.0293	0.002691912837315934	0.06323310698000006	0.06419	0.012741161549790632
EX_h2o2_e	484613300289.0	0.0	484613300289.0	1.0	0.43257293225001375	0.34475	0.3510776797391881	0.4473712865199892	0.36861	0.3504505269076851
EX_gthox_e	455492257510.0	0.0	455492257510.0	1.0	0.43865835329001457	0.348385	0.3492501878488826	0.49156653330998146	0.4087	0.366488634998382
EX_2obut_e	979633490503.5	1.0	979633490503.5	0.0	0.037611918410000535	0.03859	0.012629073443014916	0.005271315580000613	0.00442	0.004025115056194362
EX_crn_e	218542731209.0	0.0	218542731209.0	1.0	0.8041332015299965	0.8774	0.3519223500286165	2.2450199159800377	1.96926	1.5620938707500804
EX_val__L_e_r	29432313306.5	0.0	29432313306.5	1.0	0.08460959655000033	0.08889	0.020355403750735846	0.1479415838999936	0.15341	0.02365048532904825
EX_spmd_e	600780023887.0	1.0	600780023887.0	0.0	0.01795735246999758	0.01441	0.014249395881299238	0.012666830739994849	0.0104	0.009939440887891995
EX_sprm_e	360633827678.5	0.0	360633827678.5	1.0	0.011576081399995093	0.00976	0.008684907839397299	0.01679520382999773	0.01514	0.011083568184575407
EX_5mthf_e	687597651252.0	1.0	687597651252.0	0.0	0.0012618705800014928	0.00126	0.0004541839431483661	0.000983972390001566	0.00104	0.00022998443797471905
EX_tmlys_e_r	218542731209.0	0.0	218542731209.0	1.0	0.8041332015299965	0.8774	0.3519223500286165	2.2450199159800377	1.96926	1.5620938707500804
EX_thbpt_e_r	270845658678.5	0.0	270845658678.5	1.0	0.0027065831300031023	0.00261	0.0016925977869494883	0.005235263890001706	0.00486	0.003286687270835626
EX_CE2705_e	270845658678.5	0.0	270845658678.5	1.0	0.0027065831300031023	0.00261	0.0016925977869494883	0.005235263890001706	0.00486	0.003286687270835626
EX_crtn_e	670710000584.0	1.0	670710000584.0	0.0	0.027440958309999288	0.02406	0.01855040810972467	0.016721147529995723	0.01423	0.01207700601520604
EX_his__L_e_r	372013388329.5	0.0	372013388329.5	1.0	0.07368838073999764	0.07251	0.04330775982714324	0.09966386168000263	0.09941	0.05852205556010385
EX_lys__L_e_r	374667943150.0	0.0	374667943150.0	1.0	0.03852489572000138	0.0379	0.0129120137683102	0.043688115279997705	0.04424	0.008467864825099926
EX_carn_e_r	966706139158.5	1.0	966706139158.5	0.0	12.000766981479412	12.150845	1.5667011526039016	8.361850730199675	8.3512	0.9254572766326112
EX_csn_e_r	895046798483.0	1.0	895046798483.0	0.0	46.81346098868267	44.11522	29.821437636019493	9.296511913760247	6.971865	8.291973893182172
EX_cys__L_e	999997500000.0	1.0	999997500000.0	0.0	0.06927097684000093	0.07463	0.023553028850568394	0.0	0.0	0.0
EX_cyan_e_r	219931766561.5	0.0	219931766561.5	1.0	0.07089844702999809	0.06688	0.03745794724156903	0.13407810086999372	0.12793	0.06830651997986968
EX_tcyntc	319805338693.5	0.0	319805338693.5	1.0	0.034251361719997354	0.02722	0.027924979024685475	0.06921703897000232	0.05313	0.05899605839872757
EX_tcynt_e	349098853795.0	0.0	349098853795.0	1.0	0.036647090889996375	0.02853	0.030830924177608212	0.06486105294000054	0.04979	0.05454206679341242
EX_so3_e	267333434260.0	0.0	267333434260.0	1.0	0.0794590808500005	0.07685	0.03955094617795108	0.13169354689000098	0.12602	0.06756156288111531
EX_thr__L_e_r	911819553075.5	1.0	911819553075.5	0.0	0.04533695545999992	0.04618	0.012231522383741618	0.027674163740006235	0.02854	0.004080242993382486
EX_trp__L_e_r	26451646320.0	0.0	26451646320.0	1.0	0.00191985867000224	0.00194	0.0006959513528071681	0.008142495259998167	0.00845	0.0031816778082261045
EX_anth_e	80278644656.5	0.0	80278644656.5	1.0	0.0011926794200012689	0.00122	0.0006733952647363987	0.0055671479300014775	0.00589	0.002740154429122765
EX_tyr__L_e_r	243255623190.0	0.0	243255623190.0	1.0	0.002821518280003104	0.00272	0.001775100608249699	0.005702969749998967	0.00561	0.0033452937143811424
EX_cystinex_r	21541072.0	0.0	21541072.0	1.0	0.06746312181999592	0.06949	0.013609019222098933	0.1783169307000018	0.1835	0.019444543151702864
EX_3hydroxybutanoatex_r	756718037900.5	1.0	756718037900.5	0.0	13.619769329839833	13.224885	5.105758262838757	9.448390741520203	9.15897	2.8518574492514555
EX_gthrd_e_r	461260338079.0	0.0	461260338079.0	1.0	0.8436952776299743	0.6621	0.6993485506295336	0.9379628029000008	0.769315	0.7337334810489028
EX_cmp_e_r	226418324049.5	0.0	226418324049.5	1.0	0.0005969029900005551	0.00055	0.0003905195802192538	0.0014489782800013416	0.00134	0.0009414951855965035
HEX1	382322009326.0	0.0	382322009326.0	1.0	12.073710913279243	8.792265	11.053139307252486	16.78034159005003	12.767824999999998	13.562679018123072
G6PP	448452523170.5	0.0	448452523170.5	1.0	11.972934861790694	8.69184	11.052671448789004	14.692441841229687	10.671615	13.537257887480454
PGI	26546208591.0	0.0	26546208591.0	1.0	0.04945800484999912	0.04872	0.02775826103859727	0.9637556119100138	0.9054249999999999	0.6214283543908851
PFK	376630861811.5	0.0	376630861811.5	1.0	10.56295754283981	7.8491	9.5004080494605	15.96231954814052	12.12992	13.771935620683402
FBP	405166985727.5	0.0	405166985727.5	1.0	10.536076134710097	7.82108	9.501475987697548	15.124298065670052	11.26484	13.763526200161895
FBA	15287275547.0	0.0	15287275547.0	1.0	0.026881407849997492	0.02413	0.018382454540660533	0.838021489539981	0.77315	0.5343870802529711
TPI	2841182.0	0.0	2841182.0	1.0	0.048211386689997235	0.04757	0.016861509904256815	1.6640797720500131	1.66677	0.48546705024251835
GAPD	2145011.0	0.0	2145011.0	1.0	0.09579945506999833	0.09499	0.036388434608826105	3.6783216163400256	3.71384	1.0347260533542801
PGK	2956685169.0	0.0	2956685169.0	1.0	0.04674817115999743	0.04052	0.03413018541613049	2.5579471379100207	2.55293	1.1581597165532393
DPGM	32343430772.5	0.0	32343430772.5	1.0	0.049051281349997575	0.04306	0.034894580191262174	1.1203744781500002	0.940655	0.8512278788912566
DPGase	32343430772.5	0.0	32343430772.5	1.0	0.049051281349997575	0.04306	0.034894580191262174	1.1203744781500002	0.940655	0.8512278788912566
PGM_f	9640031556.0	0.0	9640031556.0	1.0	0.404159662709987	0.41469	0.17975725643643437	2.577105329109952	2.7562550000000003	0.7621019262824957
ENO_f	1508686170.5	0.0	1508686170.5	1.0	0.4343408520900167	0.44769	0.19394980523317817	7.401148104139873	7.41602	2.7920007467269814
PYK	719966235778.5	1.0	719966235778.5	0.0	41.83166509756012	38.948835	16.082995650322804	30.610361624480717	27.650925	12.274043988831178
LDH_L	1629102.5	0.0	1629102.5	1.0	0.071200648019993	0.07344	0.008783480628157281	3.3977873526800133	3.43646	0.9308277177739893
r0407	12228249711.5	0.0	12228249711.5	1.0	0.021329985229996323	0.01819	0.015770510107881747	0.8260582804000156	0.76196	0.526620013146666
PRPPS	347188862073.0	0.0	347188862073.0	1.0	0.0453320443599985	0.04347	0.01890484703786471	0.0562565257100018	0.05472	0.02005742282149963
G6PDH2r	16736184938.5	0.0	16736184938.5	1.0	0.04346211127000052	0.04143	0.028058172250732993	1.106742759860041	1.02157	0.7073334618844062
PGL	16736184938.5	0.0	16736184938.5	1.0	0.04346211127000052	0.04143	0.028058172250732993	1.106742759860041	1.02157	0.7073334618844062
GND	16736184938.5	0.0	16736184938.5	1.0	0.04346211127000052	0.04143	0.028058172250732993	1.106742759860041	1.02157	0.7073334618844062
RPI	15162193792.5	0.0	15162193792.5	1.0	0.044708738779999285	0.04398	0.015213402434194563	0.40641860536998925	0.37745	0.2359359310725407
TKT2_f	51990432700.5	0.0	51990432700.5	1.0	0.11562137763999701	0.11463	0.06268426627614235	0.4847874956800064	0.4626	0.24441337948171238
RPE_f	76198819318.0	0.0	76198819318.0	1.0	0.14834869076999796	0.15335	0.07515498127924586	0.7802810416099877	0.72637	0.4723279039634028
TKT1_f	74835131908.0	0.0	74835131908.0	1.0	0.12050769742000043	0.12338	0.04568098458112426	0.45002513929998617	0.42414	0.24224973050253326
TALA_f	20570425701.0	0.0	20570425701.0	1.0	0.16404857833999814	0.16279	0.0724736347556049	2.4313282319700575	2.50418	1.2136637840889344
r0408	12228249711.5	0.0	12228249711.5	1.0	0.021329985229996323	0.01819	0.015770510107881747	0.8260582804000156	0.76196	0.526620013146666
PDHm	399638986883.0	0.0	399638986883.0	1.0	6.867177641619801	6.83355	1.9986453740116688	7.616916433570332	7.501605	1.9954641028987423
PCm	614308575188.5	1.0	614308575188.5	0.0	97.17702477839094	96.51966	15.98448377612006	87.7648989182787	89.71515	21.861836250312503
PEPCK_re	770663903721.5	1.0	770663903721.5	0.0	42.935847282052045	40.004745	16.040942793249613	28.9477988400195	25.97333	12.262250402699127
CSm	600009213189.0	1.0	600009213189.0	0.0	34.14833796840101	33.33410000000001	9.747726259972879	30.761238089619955	30.347115000000002	6.139873453594082
ACONTm_f	744469945439.0	1.0	744469945439.0	0.0	27.838192390509686	27.779305	14.906149513812004	15.908156694099919	16.57175	3.320535142535868
ICDHxm	666977037806.5	1.0	666977037806.5	0.0	39.25065856912013	31.431855	32.17147271437277	20.539753749940225	19.497905000000003	12.62557812815125
ICDHym_f	800169541473.5	1.0	800169541473.5	0.0	121.40040822782021	121.75173000000001	67.05491792817311	51.505444660622125	51.936989999999994	20.666265790692023
AKGDm	930569572780.5	1.0	930569572780.5	0.0	37.044459800939535	36.447345	8.135263667173163	24.185425194900027	24.24611	3.9734210936216865
SUCOAS1m_f	695897138795.5	1.0	695897138795.5	0.0	82.14576011105764	80.099955	32.857321412882875	58.76334777810783	58.20894	26.33907321383381
SUCD1m	867939277799.5	1.0	867939277799.5	0.0	38.7289249702196	38.14148	8.13845789084486	28.80520517316837	28.861155	3.2583073168861754
FUMm_f	266355990939.0	0.0	266355990939.0	1.0	146.00027454905072	148.126595	76.65553084417189	248.8068368225435	266.75684	129.68640825482137
MDHm_f	463661930073.0	0.0	463661930073.0	1.0	176.0050907273924	151.25482499999998	120.11166134734	227.50800989008485	162.11837500000001	194.0437165887275
ME1m	217594883101.0	0.0	217594883101.0	1.0	15.93513710478045	12.828479999999999	12.835081577304084	37.58058504791045	36.164384999999996	23.019365458119992
ME2m	849719967967.5	1.0	849719967967.5	0.0	23.994162731150723	22.14839	15.734953084949021	6.166876224539663	6.25961	3.4446908658309283
ME2	481394915397.5	0.0	481394915397.5	1.0	21.404887793719887	16.84483	17.365345700116844	20.69051613979049	18.56735	13.598703683393836
ACITL	255767056080.5	0.0	255767056080.5	1.0	4.873068023649844	3.65728	4.286328680068148	8.497766288289917	7.90285	4.52589521966534
FUM_f	513446105419.0	1.0	513446105419.0	3.3462600019191105e-238	140.08007610029065	141.03814	26.18629698897453	141.68443158032522	136.50669	58.78349667812314
MDH_f	106731674050.0	0.0	106731674050.0	1.0	83.40011239950167	71.511665	57.94723373865433	254.33342349195152	271.62957	109.67168816826721
AKGMALtm_f	473414601078.0	0.0	473414601078.0	1.0	250.34474452929658	248.610665	118.97036996808191	272.399807635213	253.57042	161.14610989176504
ACONT	986242935412.5	1.0	986242935412.5	0.0	79.89401297109218	78.95680999999999	36.70192726497745	10.458761777729443	11.174585	3.132979032242182
ICDHyr	986242935412.5	1.0	986242935412.5	0.0	79.89401297109218	78.95680999999999	36.70192726497745	10.458761777729443	11.174585	3.132979032242182
PPA	388624544052.0	0.0	388624544052.0	1.0	23.410638642190037	23.11288	7.749347967478459	27.501569415429948	26.55217	10.265343166079434
Complex1ROS	417998823711.5	0.0	417998823711.5	1.0	66.17607536410092	67.878345	13.82262974440658	70.23412286790253	71.24180000000001	11.858761548470484
FADH2ETC	691636809223.5	1.0	691636809223.5	0.0	58.96330169218899	55.663885	19.57849525496005	46.898360111960045	44.656065	12.587545154956372
CYOR_u10mi	682250664858.5	1.0	682250664858.5	0.0	121.8315749916283	121.790255	12.800134544510243	113.62364177807103	114.503465	10.753429127408346
CYOOm2i	682250664583.0	1.0	682250664583.0	0.0	60.91578749764931	60.895129999999995	6.400067275296502	56.811820892601254	57.251735	5.376714568565567
ATPS4mi	136511841883.0	0.0	136511841883.0	1.0	186.7121666350348	190.178905	12.9489392050875	215.2396875955507	215.85029500000002	23.386721466898717
GLUCYS	432109426608.5	0.0	432109426608.5	1.0	0.03362142596999666	0.02616	0.02919399955812592	0.04517027376999693	0.03289	0.0420877246424283
GTHS	432109426608.5	0.0	432109426608.5	1.0	0.03362142596999666	0.02616	0.02919399955812592	0.04517027376999693	0.03289	0.0420877246424283
SPODMm	417998816550.5	0.0	417998816550.5	1.0	1.6544018815999566	1.69696	0.3455657458473702	1.7558530768800518	1.781045	0.2964690408143747
GTHPi	822151863023.5	1.0	822151863023.5	0.0	0.03181767217999779	0.03052	0.01809395930322579	0.012347706479994905	0.0101	0.009675096512276379
GTHPm	443090954768.0	0.0	443090954768.0	1.0	1.2218289560800148	1.24096	0.42606004484875015	1.3084817852600001	1.32987	0.3973214066830176
GDR	374357670991.0	0.0	374357670991.0	1.0	0.02805527333999747	0.02402	0.02074418424471188	0.04401178805999791	0.03528	0.03505552148140414
GTHOr	417196589005.5	0.0	417196589005.5	1.0	0.027732316489997612	0.02379	0.020535267739675237	0.03808340352000001	0.03023	0.030985647717615437
GDRm	484444793930.5	0.0	484444793930.5	1.0	0.42208490245000724	0.34114	0.33622834351541026	0.4370691749600174	0.36174	0.3361320595506203
GTHOm	471403308409.5	0.0	471403308409.5	1.0	0.36108569923000783	0.2772	0.30746933024264705	0.3798460643399881	0.31964	0.29457267743252347
r0885	455492246082.5	0.0	455492246082.5	1.0	0.877316700069996	0.69677	0.6985003784318085	0.9831330810199548	0.8174	0.7329772647598525
PYRt2m_f	139621281954.5	0.0	139621281954.5	1.0	84.04798168646883	82.486565	22.892666243706902	155.87721281951474	158.37827	56.83579945532801
HMR_4964	973042891662.0	1.0	973042891662.0	0.0	84.76708099562995	83.58935	37.25119374529522	18.956528069350583	18.80223	5.810824457914113
r2420	154550630981.0	0.0	154550630981.0	1.0	54.20866454432107	57.935625	26.08916707375444	97.67521961760652	99.66655499999999	32.78194450186954
ATPtm	60493322200.0	0.0	60493322200.0	1.0	89.51425817327426	91.99996999999999	13.76238040656913	127.4224242771312	128.56151499999999	19.933300143128218
FUMtm_f	110068101919.0	0.0	110068101919.0	1.0	29.700808545180504	25.184359999999998	21.66008167653444	135.0322540670441	134.229915	78.8588281153937
CO2tm_f	652801922171.5	1.0	652801922171.5	0.0	218.41613874793512	223.747375	83.00858221709633	170.13274427111347	178.69621999999998	83.37610885689517
O2tm	677564094742.0	1.0	677564094742.0	0.0	62.570189379841736	62.613505	6.360924076872844	58.567673963257484	59.045635000000004	5.486676120672021
r0801_f	503772969316.5	1.0	503772969316.5	1.2113881267400541e-20	120.44517548151286	126.975735	45.37082417864531	122.0592650830554	119.540915	65.94297240980163
THD1m	976190930412.0	1.0	976190930412.0	0.0	97.17963844274732	102.07168999999999	32.725802903765945	17.16365364622062	17.153945	10.333084641572347
H2Otm_f	869686967234.0	1.0	869686967234.0	0.0	30.860644353469567	27.507645	21.469884670681846	6.323794595119977	5.15765	5.105381753510331
NH4tm_f	359544601499.5	0.0	359544601499.5	1.0	98.26470951318109	98.400395	51.33846844347369	123.85342357606079	140.71215999999998	57.0407679147605
HCO3E	255949159642.0	0.0	255949159642.0	1.0	4.2618055036800735	3.1979550000000003	3.750596769363652	7.430315120779776	6.909675	3.9599177320501218
HCO3Em	613880965546.5	1.0	613880965546.5	0.0	97.19760688152866	96.53930500000001	15.987264062331102	87.81693683174174	89.76449	21.860402970926
GLUN	415649177900.0	0.0	415649177900.0	1.0	11.083973284110158	7.818910000000001	10.83111187587129	14.811207672490122	11.00164	13.407380612708405
GLNS	417435723769.5	0.0	417435723769.5	1.0	16.29748053112985	13.842759999999998	10.97121421155734	20.23233492257074	17.099595	13.740748115024989
GLUt2m	621685384281.0	1.0	621685384281.0	0.0	1.2591711853599916	0.92604	1.1545492341384627	0.7882760704499955	0.56578	0.7325265919159208
GLNtm_1	610534969458.5	1.0	610534969458.5	0.0	1.1436251752700166	0.86062	1.0220897251261865	0.753187993569968	0.56339	0.6760407765066067
GLUNm	610534969458.5	1.0	610534969458.5	0.0	1.1436251752700166	0.86062	1.0220897251261865	0.753187993569968	0.56339	0.6760407765066067
GLUPRT	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
PRAGSr	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
GARFT	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
PRFGS	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
PRAIS	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
AIRCr	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
PRASCSi	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
ADSL2r	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
AICART	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
IMPC	5268414395.0	0.0	5268414395.0	1.0	0.003220836870004717	0.00331	0.00030373881906324725	0.0071343378599979775	0.00724	0.0014375366870041672
ADSS	5269468119.5	0.0	5269468119.5	1.0	0.001907263459999818	0.00196	0.00017989043251161746	0.004224667030004237	0.00429	0.0008512541495728146
ADSL1r	5269468119.5	0.0	5269468119.5	1.0	0.001907263459999818	0.00196	0.00017989043251161746	0.004224667030004237	0.00429	0.0008512541495728146
IMPDH2	5269502057.0	0.0	5269502057.0	1.0	0.001313586550002824	0.00135	0.00012389878252041904	0.0029096768200037792	0.00295	0.0005862855784385539
GMPS	229952122998.5	0.0	229952122998.5	1.0	0.000679654770000745	0.00069	0.0003870961412359835	0.0014837508800015582	0.00145	0.0008906789696679885
GMPS2	228884266029.5	0.0	228884266029.5	1.0	0.0006339328400005392	0.00061	0.00038579881416383663	0.0014259274400014222	0.00134	0.0008861828574147676
GK1	5269502057.0	0.0	5269502057.0	1.0	0.001313586550002824	0.00135	0.00012389878252041904	0.0029096768200037792	0.00295	0.0005862855784385539
RNDR2	5319349887.0	0.0	5319349887.0	1.0	0.0002825849900023567	0.00029	2.6813023806139628e-05	0.0006258891500007438	0.00064	0.00012614899970196132
ADK1	388682930872.0	0.0	388682930872.0	1.0	23.409051576899962	23.111255	7.74934865294966	27.498053970861147	26.54854	10.265329372236387
RNDR1	5279633779.0	0.0	5279633779.0	1.0	0.0003762696999999811	0.00039	3.554300107227754e-05	0.0008336006500009493	0.00085	0.00016799673164199315
CBPS	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
ASPCT	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
DHORTS	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
DHORD9	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
ORPT	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
OMPDC	187974219589.0	0.0	187974219589.0	1.0	0.0010016927900007347	0.00087	0.0007327012503154731	0.00286495203000308	0.0027	0.001841898630079448
UMPK	9460625736.5	0.0	9460625736.5	1.0	0.0024969500600030494	0.00251	0.0004801849662819777	0.005823781909999675	0.00576	0.00143475221936477
RNDR4	584523354.0	0.0	584523354.0	1.0	0.0001842312500002791	0.00018	0.00010752545645185834	0.0008277851100009558	0.00084	0.00016682435791176488
TMDS	584523354.0	0.0	584523354.0	1.0	0.0001842312500002791	0.00018	0.00010752545645185834	0.0008277851100009558	0.00084	0.00016682435791176488
URIDK2r	584523354.0	0.0	584523354.0	1.0	0.0001842312500002791	0.00018	0.00010752545645185834	0.0008277851100009558	0.00084	0.00016682435791176488
NDPK2	18211624110.5	0.0	18211624110.5	1.0	0.0023127075000028436	0.00233	0.00045036153351419325	0.0049959924800016325	0.00491	0.0013070925252151595
NDPK3_f	911830849001.5	1.0	911830849001.5	0.0	0.004055416770004622	0.00413	0.0011386561456557217	0.001956445380002289	0.00198	0.000958716295477222
CYTK1_r	226418324049.5	0.0	226418324049.5	1.0	0.0005969029900005551	0.00055	0.0003905195802192538	0.0014489782800013416	0.00134	0.0009414951855965035
CTPS1	231564451826.5	0.0	231564451826.5	1.0	0.0007869920300007428	0.00082	0.00039706948117496907	0.001616434240001731	0.00159	0.0009256342359452006
RNDR3	5337098299.5	0.0	5337098299.5	1.0	0.00026961464000127783	0.00028	2.5680914258984357e-05	0.0005970495900007481	0.00061	0.00012033760285939165
GDHm	710950930606.0	1.0	710950930606.0	0.0	33.4343928125991	27.62602	25.984016826986647	15.849975916729628	14.26919	11.054947444662535
GLUDym_f	869892714459.0	1.0	869892714459.0	0.0	114.91119122965341	114.24018000000001	51.448087157853	48.39671487887616	45.697950000000006	24.227364412418193
ASPTA_f	478986977112.0	0.0	478986977112.0	1.0	110.70679467731102	106.815315	47.272562373831	114.96146967457726	111.131225	55.04564930520849
ASPTAm	911263820402.5	1.0	911263820402.5	0.0	80.35038965539287	76.026255	39.27863486015387	25.53138301438074	23.12172	16.654890817145965
ASPGLUm	911398701626.5	1.0	911398701626.5	0.0	80.31501220163216	75.99242000000001	39.279179433306886	25.467670123789432	23.05621	16.653669043827954
ASPT	630326219200.0	1.0	630326219200.0	0.0	1.3226812727499762	0.91153	1.3325598104013516	0.7457920400200303	0.5551	0.6749555779049545
CBPSam	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
