Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	median_SKBR3	std_SKBR3	mean_MCF7	median_MCF7	std_MCF7
EX_gly_e_r	272.0	3.6424564873429477e-31	272.0	1.0	0.0644611	0.05357	0.021791799027119897	0.16244530000000001	0.16377	0.041969159611492696
EX_phe__L_e_r	666.5	1.7033742059105183e-26	666.5	1.0	0.006190299999999999	0.00659	0.004882313877453988	0.0500763	0.05532	0.0179696131645294
EX_ser__L_e_r	33.5	3.4703919851626342e-34	33.5	1.0	0.0037241000000000006	0.00405	0.0031938659943552715	0.07443609999999999	0.069135	0.04690694973158255
EX_ala__L_e_f	6892.0	0.9999981189962447	6892.0	1.90329939735111e-06	1.0317793	1.09107	0.8341054758512018	0.2585915	0.26925	0.16499327112312515
EX_ala__L_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	10000.0	1.0	10000.0	1.0345202489706518e-34	0.0007977999999999999	0.000645	0.00030338354562760284	0.000141	0.00015	4.5604802157206875e-05
EX_urea_e	0.0	1.280278276372825e-34	0.0	1.0	0.04488099999999998	0.03344	0.02427784572257788	0.1719982	0.17602	0.029140309454621635
EX_pyr_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
PYRt2	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	4177.0	0.022231864960208323	4177.0	0.9778972002606638	0.0150161	0.01319	0.012660681432424298	0.021627200000000003	0.013725000000000001	0.021461188557557343
EX_hdca_e_f	0.0	1.2810718345817004e-34	0.0	1.0	1.3031131	0.977015	0.6210743071691555	6.549259900000002	6.411665	0.655527978317139
EX_hdca_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcIN_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	0.0	1.2786205642906302e-34	0.0	1.0	0.011824900000000003	0.011855000000000001	0.009818395175805609	0.21581379999999994	0.21776	0.012738331858821016
EX_biomassx	666.0	1.6835032095516793e-26	666.0	1.0	0.0215648	0.02289	0.017517721559793805	0.1380619	0.154555	0.04903743617746126
EX_h2o2_e	818.0	8.317942481121076e-25	818.0	1.0	0.3815477	0.486825	0.282146678494654	1.1956619	1.0085600000000001	0.8102858140744491
EX_gthox_e	3981.0	0.00641251006605631	3981.0	0.9936314208771462	1.0036028999999997	0.647485	0.698057344954582	1.1979403	1.30469	0.4251514759802581
EX_2obut_e	0.0	1.2762457569188126e-34	0.0	1.0	0.0049273	0.00614	0.003663507965893021	0.3352872	0.337325	0.07152804237937917
EX_crn_e	10000.0	1.0	10000.0	2.8200076051853168e-39	3.1862990999999994	2.21916	1.6480600260993088	0.0	0.0	0.0
EX_val__L_e_r	8222.5	0.9999999999999983	8222.5	1.7365381487117712e-15	0.14923779999999998	0.151215	0.012106426257458173	0.1153275	0.114745	0.05068490252720152
EX_spmd_e	8262.0	0.9999999999999993	8262.0	7.28942087954098e-16	0.0028253	0.00396	0.002186695516716555	0.00030539999999999994	0.0003	0.0001794009110029458
EX_sprm_e	10000.0	1.0	10000.0	1.275886312390835e-34	0.04645729999999999	0.039944999999999994	0.02516682355379556	0.0023032	0.00214	0.0007676711206597193
EX_5mthf_e	10000.0	1.0	10000.0	1.0345202489706518e-34	0.0007977999999999999	0.000645	0.00030338354562760284	0.000141	0.00015	4.5604802157206875e-05
EX_tmlys_e_r	10000.0	1.0	10000.0	2.8200076051853168e-39	3.1862990999999994	2.21916	1.6480600260993088	0.0	0.0	0.0
EX_thbpt_e_r	795.5	4.603272654031068e-25	795.5	1.0	0.0005962	0.00051	0.0005158689442840766	0.014254	0.01482	0.005681341248669929
EX_CE2705_e	795.5	4.603272654031068e-25	795.5	1.0	0.0005962	0.00051	0.0005158689442840766	0.014254	0.01482	0.005681341248669929
EX_crtn_e	2.0	1.3581768995987815e-34	2.0	1.0	0.0062353999999999994	0.00604	0.0057023109651644175	0.043864299999999995	0.043375	0.015958159830056103
EX_his__L_e_r	644.0	9.479515077821522e-27	644.0	1.0	0.0692143	0.09187000000000001	0.04609372634747553	0.1292775	0.13214	0.03853155824198595
EX_lys__L_e_r	886.0	4.5507837926265695e-24	886.0	1.0	0.0224541	0.02128	0.008688996419482389	0.0822473	0.09206	0.02927251373410099
EX_carn_e_r	9078.0	1.0	9078.0	1.1073243052603687e-23	7.8880963	7.76172	0.571885558311594	5.8376325	5.043225	2.0328863289150347
EX_csn_e_r	9790.0	1.0	9790.0	6.179555373816558e-32	27.9241359	31.60911	8.838215344649516	10.660259899999998	10.006755	3.8197151290815303
EX_cys__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	0.0	1.2804225240822274e-34	0.0	1.0	0.0192478	0.025165	0.013506862122789303	0.2609942	0.26195999999999997	0.026769358451012373
EX_tcyntc	1082.0	5.186297608624359e-22	1082.0	1.0	0.004862300000000001	0.00359	0.004612889901398498	0.043798999999999984	0.023794999999999997	0.07666860967893582
EX_tcynt_e	88.0	1.7582661169212372e-33	88.0	1.0	0.014386600000000001	0.014465	0.01138242577863175	0.21719469999999996	0.23585	0.06224460371653339
EX_so3_e	10000.0	1.0	10000.0	1.2809275156652627e-34	0.31011639999999996	0.282285	0.06699149208034938	0.08824969999999997	0.08763499999999999	0.009760413910642862
EX_thr__L_e_r	0.0	1.2799177263043013e-34	0.0	1.0	0.011045899999999997	0.012074999999999999	0.008533332042495168	0.3707996999999999	0.37865	0.053313699955446665
EX_trp__L_e_r	0.0	1.267431970826838e-34	0.0	1.0	0.013520200000000003	0.01372	0.0005978496483399501	0.0332307	0.033409999999999995	0.0013699511566903294
EX_anth_e	0.0	1.2604520431438349e-34	0.0	1.0	0.0095315	0.009685	0.00045169797498556557	0.03139399999999999	0.031485	0.0014039827907662103
EX_tyr__L_e_r	1651.5	1.4021244719355282e-16	1651.5	0.9999999999999999	0.0031723999999999997	0.002725	0.0027693069256557405	0.007838	0.007915	0.0037900139921385597
EX_cystinex_r	2937.0	2.3336447710286385e-07	2937.0	0.9999997695964057	0.17567710000000003	0.171005	0.01917615608541298	0.192677	0.19396000000000002	0.007142865268393647
EX_3hydroxybutanoatex_r	0.0	1.2810718345817004e-34	0.0	1.0	12.348257500000003	11.327760000000001	3.618666896763512	50.093222499999996	48.779875000000004	6.074268696396877
EX_gthrd_e_r	3971.0	0.00598503461993891	3971.0	0.9940562910820417	1.9878234999999997	1.253935	1.407421872938246	2.3888736	2.60383	0.8482158687379223
EX_cmp_e_r	717.0	5.976235411871032e-26	717.0	1.0	0.0008330999999999999	0.00091	0.000674400137495942	0.004322200000000001	0.00473	0.001741890636606957
HEX1	6520.0	0.9998984675630423	6520.0	0.00010251803120210871	10.769055099999997	9.95368	7.9863413315652645	6.2026658999999995	6.49488	1.6243665236670854
G6PP	6808.5	0.9999950672482062	6808.5	4.9888284808741104e-06	8.778426500000002	7.292065	6.897890743801102	3.7241216	4.1111450000000005	1.6641571813642795
PGI	488.0	1.4732481486856254e-28	488.0	1.0	0.162872	0.12763	0.15268790083901954	0.8792332999999999	0.925435	0.34019664191733034
PFK	1907.0	2.075394527007309e-14	1907.0	0.9999999999999797	3.1101695	2.153205	2.9021694847518815	10.803580099999998	6.40487	10.175896592691997
FBP	1847.0	6.656692667180596e-15	1847.0	0.9999999999999934	2.2601722	0.9501200000000001	2.65686765891853	10.270868799999999	6.10002	10.128008602083897
FBA	6148.0	0.9974937716192582	6148.0	0.0025252992619382926	0.8499976000000001	0.96004	0.6093982517273275	0.5327111999999999	0.43735500000000005	0.4347734348613905
TPI	3577.0	0.00025474130199619835	3577.0	0.9997475696077789	1.3118978000000001	1.773045	0.8676043183801466	1.9026971999999998	1.85754	0.1910048016588255
GAPD	4742.0	0.2646180198872742	4742.0	0.7361810944630058	3.1983091999999997	4.35605	2.109599272669058	4.3171256	4.132705	0.49824258576251096
PGK	5180.0	0.6704049739172555	5180.0	0.3304799362120878	2.93562	4.06277	1.9114634730906044	3.4939027	3.20801	0.8121748623206495
DPGM	1373.0	3.9647696587884776e-19	1373.0	1.0	0.26268939999999996	0.20167	0.2518810629370597	0.8232225000000001	0.90466	0.4291141653732604
DPGase	1373.0	3.9647696587884776e-19	1373.0	1.0	0.26268939999999996	0.20167	0.2518810629370597	0.8232225000000001	0.90466	0.4291141653732604
PGM_f	0.0	1.2810718345817004e-34	0.0	1.0	3.3687020999999997	3.352005	0.15526183562812904	8.4111006	8.710329999999999	0.9782831628680683
ENO_f	9270.0	1.0	9270.0	8.851463490911149e-26	9.168074500000003	7.95655	2.195816174400843	6.786459200000001	6.913785000000001	0.5461156382902912
PYK	10000.0	1.0	10000.0	1.2809996731450625e-34	24.245114500000003	21.026764999999997	12.49139579854444	4.1694742	3.973805	0.5631682447594273
LDH_L	5019.0	0.5190008548450344	5019.0	0.48197286655293203	3.2482482999999998	4.352365	1.9448589993341472	4.1207666	3.9612100000000003	0.5284799613857681
r0407	528.0	4.347544602334956e-28	528.0	1.0	0.46190029999999993	0.49326499999999995	0.33218425076069524	1.3699857999999998	1.4517	0.3772744042141093
PRPPS	10000.0	1.0	10000.0	1.2807832125755886e-34	0.09828350000000001	0.08651500000000001	0.046746139912480174	0.026121299999999997	0.027025	0.007133936487527823
G6PDH2r	6043.0	0.9946088510852628	6043.0	0.005429046736179247	1.8218216999999999	2.459785	1.0861518371031442	1.5613166	1.560085	0.5669894347139214
PGL	6043.0	0.9946088510852628	6043.0	0.005429046736179247	1.8218216999999999	2.459785	1.0861518371031442	1.5613166	1.560085	0.5669894347139214
GND	6043.0	0.9946088510852628	6043.0	0.005429046736179247	1.8218216999999999	2.459785	1.0861518371031442	1.5613166	1.560085	0.5669894347139214
RPI	6146.0	0.9974555070427596	6146.0	0.002563826771118237	0.6727962000000001	0.868865	0.33269298735305347	0.5378533	0.53417	0.1859209395787588
TKT2_f	6199.0	0.9983097928274847	6199.0	0.001703548390335968	0.7104805000000001	0.8893	0.3142926858720654	0.6101392999999999	0.6095200000000001	0.171205361872368
RPE_f	5503.0	0.8906976439020267	5503.0	0.10976039398291898	1.2786959	1.68619	0.6986427746899374	1.4311408	1.4404750000000002	0.3100775092892587
TKT1_f	6227.0	0.9986468181313157	6227.0	0.001364074518999988	0.7188734999999998	0.90513	0.32012445352423785	0.6159922	0.61427	0.16840296081504244
TALA_f	7928.0	0.9999999999995831	7928.0	4.2442656618102125e-13	3.2396996	2.839985	0.8711626436775354	2.3582334000000005	2.5464849999999997	0.4269635464609421
r0408	528.0	4.347544602334956e-28	528.0	1.0	0.46190029999999993	0.49326499999999995	0.33218425076069524	1.3699857999999998	1.4517	0.3772744042141093
PDHm	10000.0	1.0	10000.0	1.2810718345817004e-34	9.0096672	6.81985	3.5543846795114367	1.0240070000000001	0.87619	0.6655911056422712
PCm	2195.0	3.6289219325612044e-12	2195.0	0.9999999999964325	84.04784880000001	75.993115	26.33445209435862	119.14348610000003	113.92832	16.722333081135123
PEPCK_re	10000.0	1.0	10000.0	2.8200076051853168e-39	22.1732721	18.158465	11.559686820589986	0.0	0.0	0.0
CSm	0.0	1.2810718345817004e-34	0.0	1.0	39.6823093	31.28763	16.471907605620654	101.38035950000001	98.881625	11.736925602903586
ACONTm_f	2594.0	2.081638670558774e-09	2594.0	0.9999999979488579	17.818753400000002	18.655075	2.2177818592505094	25.3329031	25.007255	9.225047858328209
ICDHxm	2802.0	3.9511104784711356e-08	2802.0	0.9999999610206677	9.861258	10.78694	8.364283207986084	23.8756869	27.998745	18.286162781229518
ICDHym_f	1223.0	1.3856505700561295e-20	1223.0	1.0	48.16199149999999	38.791365	23.81883030347142	80.14193890000001	84.015615	11.827007414933787
AKGDm	0.0	1.2810718345817004e-34	0.0	1.0	24.709316699999995	25.021475	3.2064110124218184	49.7751949	48.34274	6.144864688877792
SUCOAS1m_f	800.0	5.2797322791209335e-25	800.0	1.0	64.33853659999998	52.71946	26.967978721014063	133.249269	144.29341	36.37786801393157
SUCD1m	0.0	1.2810718345817004e-34	0.0	1.0	31.224213000000006	29.216865	6.094401809241151	49.84978279999999	48.420895	6.130174684799754
FUMm_f	8532.0	1.0	8532.0	3.099194993472648e-18	264.1857758	213.59353499999997	118.11330995038789	142.6530079	154.50896	39.83496826675739
MDHm_f	1009.0	9.192270131589559e-23	1009.0	1.0	405.92363890000007	314.55420000000004	194.52418340153744	711.8491573000001	757.1987750000001	198.5629898177114
ME1m	3613.0	0.0003523311528417987	3613.0	0.9996507944003473	5.526801000000001	2.6275500000000003	5.418832659070316	8.202563799999998	8.426565	3.9416299031194204
ME2m	3503.0	0.000127825519393972	3503.0	0.9998733869106962	3.2825542000000003	3.19941	0.3774181529927309	4.8738527	4.627745	4.439597771186137
ME2	2539.0	9.164770681001574e-10	2539.0	0.9999999990972388	59.63342299999999	41.02245	37.15349326318988	106.81872809999999	101.14813000000001	20.432029530750686
ACITL	0.0	1.2810718345817004e-34	0.0	1.0	16.4263098	9.822215	10.99318278188695	52.88913039999999	51.64502	5.106626238669373
FUM_f	3409.0	5.091071130218761e-05	3409.0	0.9999495990276889	174.56145329999998	111.41796	104.10390563142938	166.28660680000002	164.100595	12.168645733610827
MDH_f	3920.0	0.004174278726550364	3920.0	0.9958556977556728	194.80558360000003	123.80492000000001	145.35038189150174	241.2068873	256.951285	69.30662461431756
AKGMALtm_f	3951.0	0.0052051655720396625	3951.0	0.9948313385428385	330.0075664	239.649695	199.6603668891053	349.02862409999994	363.655765	93.71656397944456
ACONT	0.0	1.2810718345817004e-34	0.0	1.0	11.955967200000002	11.529125	1.8509127616024446	45.719162000000004	47.239235	6.661248922867546
ICDHyr	0.0	1.2810718345817004e-34	0.0	1.0	11.955967200000002	11.529125	1.8509127616024446	45.719162000000004	47.239235	6.661248922867546
PPA	7104.0	0.9999998641663987	7104.0	1.3761177740747726e-07	19.038511	18.649675000000002	3.4558033781386555	15.6153503	15.42984	4.807109313033293
Complex1ROS	0.0	1.2810718345817004e-34	0.0	1.0	59.840149000000004	55.27849500000001	15.280276325286268	103.43555119999998	99.85816	15.726388987322563
FADH2ETC	2603.0	2.3767196619531978e-09	2603.0	0.9999999976579772	40.1191567	37.122905	9.003867032149037	50.999375900000004	50.033339999999995	5.887884395760037
CYOR_u10mi	202.0	4.9069747045720684e-32	202.0	1.0	96.96740839999998	86.65217	23.07172291846838	149.268782	144.30194	20.702124184337347
CYOOm2i	202.0	4.9069747045720684e-32	202.0	1.0	48.4837039	43.326085	11.535861244395202	74.6343909	72.15097	10.351061347989031
ATPS4mi	12.0	1.8364094052638264e-34	12.0	1.0	174.690464	156.430925	40.90460878222078	277.8560766	272.25937999999996	23.064369600756216
GLUCYS	6627.5	0.9999652456049221	6627.5	3.511319520671486e-05	0.0193816	0.019745	0.017297550169275006	0.0070061	0.005325	0.0051240307080431995
GTHS	6627.5	0.9999652456049221	6627.5	3.511319520671486e-05	0.0193816	0.019745	0.017297550169275006	0.0070061	0.005325	0.0051240307080431995
SPODMm	0.0	1.2810718345817004e-34	0.0	1.0	1.4960036999999997	1.3819599999999999	0.38200714832714894	2.5858882	2.496455	0.3931593971411133
GTHPi	854.5	2.0747994981098953e-24	854.5	1.0	0.0050258	0.00696	0.0034415001955483884	0.0190671	0.01641	0.012880532667870566
GTHPm	3924.0	0.004296133551836255	3924.0	0.9957346246418196	1.1144560000000001	0.765565	0.6354365154916752	1.3902269999999999	1.47491	0.48078293351847073
GDR	3933.0	0.004581926538675729	3933.0	0.9954506540437983	0.0984797	0.05539	0.06587268556806755	0.0984363	0.09606999999999999	0.03397275615723858
GTHOr	2648.0	4.49793995735787e-09	2648.0	0.9999999955666288	0.0070472	0.0077	0.005735213764916957	0.0322263	0.01939	0.03414316302162429
GDRm	3878.0	0.0030363358888717703	3878.0	0.9969862165664702	0.0369952	0.048435000000000006	0.028167534484748482	0.089084	0.03007	0.0868356741846985
GTHOm	3071.0	1.2256498735052854e-06	3071.0	0.9999987889657604	0.0738572	0.038375	0.09489814647400664	0.1032031	0.075555	0.06108576498851695
r0885	3981.0	0.00641251006605631	3981.0	0.9936314208771462	2.0072054999999995	1.29497	1.3961143521276898	2.3958794	2.60938	0.8503023678072561
PYRt2m_f	3635.0	0.0004280269234532114	3635.0	0.9995757177692424	196.74084349999998	140.31366500000001	96.82132878749913	171.34587520000002	174.29566499999999	16.46384382338588
HMR_4964	0.0	1.2810718345817004e-34	0.0	1.0	28.3822768	21.32871	12.668933587474845	98.60829229999999	98.5119	4.334721245944209
r2420	1515.0	8.40252894784208e-18	1515.0	1.0	26.028167000000003	22.33652	19.813593928959374	54.56710249999999	57.432995000000005	18.389245789883727
ATPtm	0.0	1.2810718345817004e-34	0.0	1.0	90.6358127	85.07464999999999	16.136288123761116	158.6953825	159.480245	10.387749584169267
FUMtm_f	9642.0	1.0	9642.0	4.1104796780914096e-30	159.5384174	123.23857000000001	92.24856229227044	42.70761069999999	42.514005	17.250021124069352
CO2tm_f	3550.0	0.00019878455600526974	3550.0	0.9998030486863544	199.43102489999998	137.52834000000001	104.66478244985977	256.07746019999996	262.86231499999997	70.86492818968438
O2tm	194.0	3.894983557652593e-32	194.0	1.0	49.97970759999999	44.67423	11.913521298623417	77.22027969999999	74.649595	10.74333524708042
r0801_f	4484.0	0.10391280831854444	4484.0	0.8965274707737284	139.8007872	103.77638999999999	68.09765142929804	129.7946054	134.02745499999997	44.52177240067922
THD1m	444.0	4.4388378728849754e-29	444.0	1.0	4.8837127	5.8069500000000005	3.430688486896906	64.59397910000001	43.52587	78.86654383591959
H2Otm_f	0.0	1.2810718345817004e-34	0.0	1.0	1.6284942	1.84069	1.4571914924009186	43.0045176	43.815445	14.259293251278756
NH4tm_f	4008.0	0.007704516091424969	4008.0	0.9923471447174242	116.11107369999999	91.173415	53.33266538225817	131.76835219999998	134.85052000000002	43.44534219921126
HCO3E	0.0	1.2810718345817004e-34	0.0	1.0	14.368511000000002	8.58604	9.622034224663565	46.26019169999999	45.17676	4.472259578405135
HCO3Em	2192.0	3.447505923186834e-12	2192.0	0.9999999999966109	84.0545727	76.00051	26.329207448331335	119.16060910000004	113.947355	16.71763146237499
GLUN	6470.0	0.999836555813479	6470.0	0.00016498414877980574	4.119099899999999	3.809455	3.2327805087922776	2.0934861999999996	1.69002	0.97701478851103
GLNS	9942.0	1.0	9942.0	7.245215440481063e-34	11.3722527	11.257494999999999	3.0135090617689113	2.5074356000000004	1.95836	2.015790890515054
GLUt2m	7712.0	0.9999999999829848	7712.0	1.729908917379072e-11	0.326558	0.18993	0.33739358478570014	0.0423865	0.0471	0.03558395718351718
GLNtm_1	9518.0	1.0	9518.0	1.252321165985647e-28	3.5756761999999997	1.772825	3.380754367293982	0.1577195	0.13740000000000002	0.12683313765265836
GLUNm	9518.0	1.0	9518.0	1.252321165985647e-28	3.5756761999999997	1.772825	3.380754367293982	0.1577195	0.13740000000000002	0.12683313765265836
GLUPRT	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
PRAGSr	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
GARFT	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
PRFGS	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
PRAIS	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
AIRCr	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
PRASCSi	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
ADSL2r	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
AICART	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
IMPC	665.0	1.6270255308403062e-26	665.0	1.0	0.002433	0.002585	0.001976197501682604	0.015577299999999999	0.017435	0.005532096403368402
ADSS	662.5	1.5110962439266455e-26	662.5	1.0	0.0014411	0.0015300000000000001	0.001170232554804058	0.009224000000000001	0.010325	0.0032762191808870357
ADSL1r	662.5	1.5110962439266455e-26	662.5	1.0	0.0014411	0.0015300000000000001	0.001170232554804058	0.009224000000000001	0.010325	0.0032762191808870357
IMPDH2	665.0	1.599014743257709e-26	665.0	1.0	0.0009924	0.001055	0.0008066142231888209	0.006352600000000002	0.00711	0.0022564849844057206
GMPS	892.0	4.8663087779749475e-24	892.0	1.0	0.0007775999999999999	0.00066	0.0006829631221834941	0.0031363000000000003	0.003275	0.0014651560092062317
GMPS2	1063.5	3.1191804679066345e-22	1063.5	1.0	0.0002143	0.00021	0.0001866734576686782	0.0032167000000000003	0.0031450000000000002	0.0017241007347119665
GK1	665.0	1.599014743257709e-26	665.0	1.0	0.0009924	0.001055	0.0008066142231888209	0.006352600000000002	0.00711	0.0022564849844057206
RNDR2	641.5	7.177003737474971e-27	641.5	1.0	0.00021419999999999998	0.00023	0.0001726512219604728	0.0013671	0.00153	0.00048441216067945833
ADK1	7108.0	0.9999998710597409	7108.0	1.3063121785043785e-07	19.0373122	18.64922	3.4560869321980694	15.607674600000001	15.421315	4.8083124301368905
RNDR1	639.5	7.090601276162495e-27	639.5	1.0	0.0002845	0.00030000000000000003	0.0002306485147876252	0.0018200000000000002	0.00204	0.0006463995074505575
CBPS	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
ASPCT	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
DHORTS	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
DHORD9	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
ORPT	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
OMPDC	592.0	2.0371224817055572e-27	592.0	1.0	0.0001091	8e-05	0.0001516714617956599	0.005632500000000001	0.00531	0.0030225761221417424
UMPK	633.5	7.121471911834969e-27	633.5	1.0	0.0016474	0.001655	0.0013528918670907902	0.011557600000000001	0.01259	0.004232585980320788
RNDR4	639.5	7.09580884891549e-27	639.5	1.0	0.00028220000000000003	0.00030000000000000003	0.00022933624029165364	0.0018073	0.00202	0.0006418452801387291
TMDS	639.5	7.09580884891549e-27	639.5	1.0	0.00028220000000000003	0.00030000000000000003	0.00022933624029165364	0.0018073	0.00202	0.0006418452801387291
URIDK2r	639.5	7.09580884891549e-27	639.5	1.0	0.00028220000000000003	0.00030000000000000003	0.00022933624029165364	0.0018073	0.00202	0.0006418452801387291
NDPK2	635.0	7.379612428927834e-27	635.0	1.0	0.0013647000000000002	0.001355	0.0011240775836842464	0.009749800000000001	0.01055	0.0036075305580511342
NDPK3_f	4685.5	0.22144582955715647	4685.5	0.779279770484875	0.0021804	0.00173	0.0009567367939664978	0.0018545	0.00202	0.0005491561478736943
CYTK1_r	717.0	5.976235411871032e-26	717.0	1.0	0.0008330999999999999	0.00091	0.000674400137495942	0.004322200000000001	0.00473	0.001741890636606957
CTPS1	672.0	1.8361226031552665e-26	672.0	1.0	0.00021260000000000002	0.00013	0.00021162010941087498	0.0023702	0.00244	0.0012449566784885052
RNDR3	706.5	3.789205107592084e-26	706.5	1.0	0.00020500000000000005	0.00022	0.0001644611648611147	0.0013039999999999998	0.00146	0.00046351533377706573
GDHm	3607.0	0.0003339607236032201	3607.0	0.9996690130159452	13.5540446	9.765675	10.9037498291041	48.45722549999999	19.971725	95.8558793472229
GLUDym_f	87.0	1.7101762696582954e-33	87.0	1.0	54.8763394	40.584805	31.345143918861258	165.28576259999997	147.08401500000002	69.93469318611517
ASPTA_f	3377.0	3.679062775918204e-05	3377.0	0.9999635843587351	136.19236459999996	96.791275	65.89788777224346	173.34392770000002	177.58907	54.27755193494925
