Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	std_SKBR3	mean_MDAMB231	std_MDAMB231	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	-7.495698191959398	0.0008472702812036	-7.495698191959398	0.9991527297187964	28.81798	6.754841651768505	80.23409666666667	6.962421034699228	-1.0	0.35917373282987874	-1.477246248432272
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	3.1775950919374534	0.9831937725288624	3.1775950919374534	0.0168062274711377	47.61937	3.098042834575834	40.0418	1.3325147843832723	1.0	1.189241492640191	0.2500417048717719
G6PP	-0.1676223112395461	0.4375068869546376	-0.1676223112395461	0.5624931130453624	110.47779333333337	22.96988980041674	113.46303666666668	10.331001906657244	0.0	0.9736897282054647	-0.0384659723654453
PGI	4.404204288616152	0.9941734975917548	4.404204288616152	0.0058265024082452	145.31741	15.866683136944529	94.11592	4.307810102623681	1.0	1.544025814123689	0.6266968728112466
PFK	-6.520924626524568	0.0014278689785759	-6.520924626524568	0.998572131021424	83.20861000000001	11.643032756651795	156.09096	10.690021792918223	-1.0	0.533077700335753	-0.9075822622423341
FBP	3.155089590021726	0.9828271916374892	3.155089590021726	0.0171728083625107	9.7992	4.358891773497785	0.0745733333333333	0.0036654179691938	1.0	131.40354013946012	7.037860333569245
FBA	-6.174739619972351	0.0017469621637262	-6.174739619972351	0.9982530378362736	85.80837666666666	9.73436043643455	169.46344	16.50260957110319	-1.0	0.506353327105048	-0.981783663772908
TPI	-14.870817295527408	5.953899910053589e-05	-14.870817295527408	0.9999404610008994	2114.56979	108.49864973085543	3670.557823333333	100.62031805652714	-1.0	0.5760894915094137	-0.7956351531360547
GAPD	-3.5831484034179173	0.0115513161937055	-3.5831484034179173	0.9884486838062944	6733.50629	600.4322801669891	8344.776986666666	209.53649821595928	-1.0	0.8069126713342774	-0.3095155495755357
PGK	-25.42305746725814	7.107940546090477e-06	-25.42305746725814	0.999992892059454	13.098503333333332	0.931162526677749	48.41243666666667	1.7297005178610796	-1.0	0.2705607119823411	-1.8859757335600884
DPGM	-47.50749501696751	5.87206680672683e-07	-47.50749501696751	0.9999994127933194	98.14218666666666	10.03296504207782	754.9779199999999	16.78251461983173	-1.0	0.12999345287696185	-2.94348913117053
DPGase	-47.50749501696751	5.87206680672683e-07	-47.50749501696751	0.9999994127933194	98.14218666666666	10.03296504207782	754.9779199999999	16.78251461983173	-1.0	0.12999345287696185	-2.94348913117053
PGM_f	-47.50749501696751	5.87206680672683e-07	-47.50749501696751	0.9999994127933194	98.14218666666666	10.03296504207782	754.9779199999999	16.78251461983173	-1.0	0.12999345287696185	-2.94348913117053
PGM_b	-47.50749501696751	5.87206680672683e-07	-47.50749501696751	0.9999994127933194	98.14218666666666	10.03296504207782	754.9779199999999	16.78251461983173	-1.0	0.12999345287696185	-2.94348913117053
ENO_f	-123.20795171546813	1.3012945163714149e-08	-123.20795171546813	0.9999999869870548	1029.90787	2.694843006534266	2252.304346666667	13.76976880190876	-1.0	0.45726851769576715	-1.1288864998791286
ENO_b	-123.20795171546813	1.3012945163714149e-08	-123.20795171546813	0.9999999869870548	1029.90787	2.694843006534266	2252.304346666667	13.76976880190876	-1.0	0.45726851769576715	-1.1288864998791286
PYK	-22.23843145068961	1.2102435755451955e-05	-22.23843145068961	0.9999878975642446	369.66841	23.335104252059104	1101.9377	40.29878932692891	-1.0	0.3354712430657378	-1.5757389924397727
LDH_L	-2.96478796438487	0.0206787338768498	-2.96478796438487	0.9793212661231502	1430.2387633333335	137.33228271687727	1837.556196666667	137.4377232573135	-1.0	0.778337427681282	-0.3615323616471034
r0407	-6.174739619972351	0.0017469621637262	-6.174739619972351	0.9982530378362736	85.80837666666666	9.73436043643455	169.46344	16.50260957110319	-1.0	0.506353327105048	-0.981783663772908
PRPPS	-15.464892246941716	5.1018028286875885e-05	-15.464892246941716	0.9999489819717132	23.747116666666667	2.132317159028855	77.03104666666665	4.381306490453379	-1.0	0.30827981306584873	-1.6976876736333633
G6PDH2r	14.200476170269193	0.9999286019140688	14.200476170269193	7.139808593109561e-05	208.31254666666663	7.852620742123121	88.86101333333333	8.936052252758051	1.0	2.344251307209941	1.2291272370943591
PGL	1.9173437906095248	0.9361693271589326	1.9173437906095248	0.0638306728410673	66.52174666666667	5.488501648242038	55.62760333333333	5.868916295020365	0.0	1.1958406021566872	0.258025100402529
GND	-4.176411097235623	0.0069793465013861	-4.176411097235623	0.9930206534986138	67.94484666666666	6.829921440647924	88.99552666666666	2.040329052911698	-1.0	0.7634636167855328	-0.38936868853161216
RPI	-5.975964209735413	0.0019700302027681	-5.975964209735413	0.9980299697972318	4.071886666666667	0.5730517530051037	6.88737	0.3399224265426842	-1.0	0.5912106749988264	-0.7582557756251724
TKT2_f	9.47807702638105	0.9996543161101455	9.47807702638105	0.0003456838898545	312.54658666666666	13.999924958233004	191.07192666666663	11.511794779489817	1.0	1.635753572590064	0.7099554216411861
TKT2_b	9.47807702638105	0.9996543161101455	9.47807702638105	0.0003456838898545	312.54658666666666	13.999924958233004	191.07192666666663	11.511794779489817	1.0	1.635753572590064	0.7099554216411861
RPE_f	-11.589164535016767	0.0001583643726075	-11.589164535016767	0.9998416356273924	22.61764	3.00057168316306	49.20446666666667	1.2338790952475391	-1.0	0.4596663988499689	-1.1213408844303963
RPE_b	-11.589164535016767	0.0001583643726075	-11.589164535016767	0.9998416356273924	22.61764	3.00057168316306	49.20446666666667	1.2338790952475391	-1.0	0.4596663988499689	-1.1213408844303963
TKT1_f	9.47807702638105	0.9996543161101455	9.47807702638105	0.0003456838898545	312.54658666666666	13.999924958233004	191.07192666666663	11.511794779489817	1.0	1.635753572590064	0.7099554216411861
TKT1_b	9.47807702638105	0.9996543161101455	9.47807702638105	0.0003456838898545	312.54658666666666	13.999924958233004	191.07192666666663	11.511794779489817	1.0	1.635753572590064	0.7099554216411861
TALA_f	2.8773624982197115	0.9774336352858408	2.8773624982197115	0.022566364714159	150.79038333333332	22.35272781890737	104.86126	3.1529608321808653	1.0	1.4379989648544498	0.5240626372515574
TALA_b	2.8773624982197115	0.9774336352858408	2.8773624982197115	0.022566364714159	150.79038333333332	22.35272781890737	104.86126	3.1529608321808653	1.0	1.4379989648544498	0.5240626372515574
r0408	-6.520924626524568	0.0014278689785759	-6.520924626524568	0.998572131021424	83.20861000000001	11.643032756651795	156.09096	10.690021792918223	-1.0	0.533077700335753	-0.9075822622423341
PDHm	-0.3070386624672159	0.3870672765414572	-0.3070386624672159	0.6129327234585429	5.1707600000000005	0.8712072296914591	5.373006666666666	0.3298058743496778	0.0	0.9623587538200216	-0.055353284183932566
PCm	-0.2882997959738608	0.3937196949967034	-0.2882997959738608	0.6062803050032965	3.73588	0.446569309514212	3.8951533333333335	0.6410881670687392	0.0	0.9591098681609452	-0.06023200626337286
PEPCK_re	5.713589604884015	0.9976792975680668	5.713589604884015	0.002320702431933	0.8956733333333333	0.2216948473816105	0.0	0.0	1.0	inf	inf
CSm	-9.073055907246372	0.0004090059055191	-9.073055907246372	0.9995909940944808	62.56732333333334	6.494093675919854	106.06224333333334	1.9464970152273235	-1.0	0.5899113705967562	-0.7614298773712069
ACONTm_f	-81.66901357966576	6.736868191907673e-08	-81.66901357966576	0.999999932631318	5.524743333333333	0.8719669890285731	65.98984333333334	0.5796224992949148	-1.0	0.0837211160727613	-3.5782646457168696
ACONTm_b	-81.66901357966576	6.736868191907673e-08	-81.66901357966576	0.999999932631318	5.524743333333333	0.8719669890285731	65.98984333333334	0.5796224992949148	-1.0	0.0837211160727613	-3.5782646457168696
ICDHxm	-21.54957656904692	1.3713780025903724e-05	-21.54957656904692	0.999986286219974	3.419033333333333	0.1935927950335159	14.430926666666666	0.6962538997776282	-1.0	0.2369240321365364	-2.0775035506539483
ICDHym_f	5.237668538061899	0.996824823173634	5.237668538061899	0.0031751768263659	94.42838666666668	22.62408337098225	10.574246666666667	0.8829725191017497	1.0	8.930034416951374	3.158665735600629
ICDHym_b	5.237668538061899	0.996824823173634	5.237668538061899	0.0031751768263659	94.42838666666668	22.62408337098225	10.574246666666667	0.8829725191017497	1.0	8.930034416951374	3.158665735600629
AKGDm	-10.823941065623162	0.0002066627730584	-10.823941065623162	0.9997933372269416	9.33438	0.8943764313009748	25.699816666666663	1.9422091556495376	-1.0	0.36320803844904215	-1.4611319624616264
SUCOAS1m_f	-7.444918543875668	0.0008693015530622	-7.444918543875668	0.9991306984469376	1.1470066666666667	0.2725633295625481	2.8123066666666667	0.1605527772693106	-1.0	0.4078526286844014	-1.2938801443415284
SUCOAS1m_b	-7.444918543875668	0.0008693015530622	-7.444918543875668	0.9991306984469376	1.1470066666666667	0.2725633295625481	2.8123066666666667	0.1605527772693106	-1.0	0.4078526286844014	-1.2938801443415284
SUCD1m	0.3107159852621481	0.6142328048918444	0.3107159852621481	0.3857671951081556	18.411526666666667	2.956023863518169	17.728076666666666	0.9686992754662762	0.0	1.038551841401107	0.05457323300064339
FUMm_f	0.7501937044666452	0.752572556537366	0.7501937044666452	0.247427443462634	77.67360333333333	8.47427954402549	72.1151	6.163255469219713	0.0	1.077078217090919	0.10712302175933076
FUMm_b	0.7501937044666452	0.752572556537366	0.7501937044666452	0.247427443462634	77.67360333333333	8.47427954402549	72.1151	6.163255469219713	0.0	1.077078217090919	0.10712302175933076
MDHm_f	-2.11738823400958	0.0508203100287255	-2.11738823400958	0.9491796899712746	159.29001333333335	41.51728970997853	222.46744666666663	7.540536020577204	0.0	0.716014930364194	-0.4819384239651438
MDHm_b	-2.11738823400958	0.0508203100287255	-2.11738823400958	0.9491796899712746	159.29001333333335	41.51728970997853	222.46744666666663	7.540536020577204	0.0	0.716014930364194	-0.4819384239651438
ME1m	-13.214597193288531	9.473376769705274e-05	-13.214597193288531	0.999905266232303	2.384703333333333	0.1994559136473242	7.648283333333333	0.5268092136838743	-1.0	0.31179589319607665	-1.6813261691116823
ME2m	-29.8306085026922	3.760331712901716e-06	-29.8306085026922	0.9999962396682872	0.0288133333333333	0.0379824848523046	2.3717200000000003	0.1043767525202171	-1.0	0.012148707829479573	-6.363053316860498
ME2	-6.343096632451722	0.0015818902423107	-6.343096632451722	0.9984181097576892	1.3385166666666664	0.1951890245092917	2.48081	0.1635912377441611	-1.0	0.5395482389488379	-0.890176143550155
ACITL	-2.115705652247988	0.0509167367054022	-2.115705652247988	0.9490832632945976	71.74485	6.27081249295496	81.53460666666668	1.8704413400288404	0.0	0.8799312700840076	-0.18453725316166195
FUM_f	0.7501937044666452	0.752572556537366	0.7501937044666452	0.247427443462634	77.67360333333333	8.47427954402549	72.1151	6.163255469219713	0.0	1.077078217090919	0.10712302175933076
FUM_b	0.7501937044666452	0.752572556537366	0.7501937044666452	0.247427443462634	77.67360333333333	8.47427954402549	72.1151	6.163255469219713	0.0	1.077078217090919	0.10712302175933076
MDH_f	-4.910807171734884	0.0039909102500708	-4.910807171734884	0.9960090897499292	109.0522	12.347004519391197	160.53465	8.207255914408917	-1.0	0.6793063055234493	-0.5578658491138784
MDH_b	-4.910807171734884	0.0039909102500708	-4.910807171734884	0.9960090897499292	109.0522	12.347004519391197	160.53465	8.207255914408917	-1.0	0.6793063055234493	-0.5578658491138784
AKGMALtm_f	2.270729300428984	0.957170692510412	2.270729300428984	0.0428293074895879	355.67994666666664	10.557831775139984	325.5234533333333	15.533101853491951	1.0	1.0926400018939753	0.12781814663440536
AKGMALtm_b	2.270729300428984	0.957170692510412	2.270729300428984	0.0428293074895879	355.67994666666664	10.557831775139984	325.5234533333333	15.533101853491951	1.0	1.0926400018939753	0.12781814663440536
ACONT	-47.55964172691252	5.846393235435805e-07	-47.55964172691252	0.9999994153606764	0.6552933333333334	0.1688691182214465	44.756953333333335	1.3004702743580463	-1.0	0.014641151475457892	-6.093827168761635
ICDHyr	-11.61588943728285	0.0001569467975942	-11.61588943728285	0.9998430532024056	18.21964333333333	3.6888353002841177	57.336270000000006	3.012099700651801	-1.0	0.3177682003613651	-1.6539533360800691
PPA	4.713187858545463	0.9953910450801352	4.713187858545463	0.0046089549198647	161.15845000000002	25.674296665151324	73.35074666666667	5.916106464358311	1.0	2.197093517430225	1.135596278164223
Complex1ROS	2.5122143557468504	0.9670492541627012	2.5122143557468504	0.0329507458372987	0.2823566666666666	0.0882765881886144	0.1228366666666666	0.0164674412773272	1.0	2.298635043825134	1.2007774263608115
FADH2ETC	-12.842238273316118	0.000105975083548	-12.842238273316118	0.999894024916452	2.67759	0.2272488118047411	5.818826666666666	0.2608030220087353	-1.0	0.46015978020769366	-1.1197932030911903
CYOR_u10mi	9.231875413470137	0.9996174119104504	9.231875413470137	0.0003825880895497	40.990476666666666	4.155480939869925	13.46113	0.7186719969499296	1.0	3.0450992351063144	1.6064892441128742
CYOOm2i	4.184126280514802	0.9930639760097468	4.184126280514802	0.006936023990253	110.64236	19.256786918410526	50.47136666666666	6.541386639902038	1.0	2.192180781050114	1.1323667769344308
ATPS4mi	3.337170148380092	0.9855440780455026	3.337170148380092	0.0144559219544973	55.029203333333335	19.644755480796626	8.625486666666667	0.8875404604611304	1.0	6.379837504820983	2.6735196788530913
GLUCYS	-4.005212503259711	0.0080301693649802	-4.005212503259711	0.9919698306350198	2.3872066666666667	0.449067684158586	3.69043	0.1004234657172649	-1.0	0.6468640962344948	-0.6284654557509397
GTHS	-10.073278771260314	0.0002731681382977	-10.073278771260314	0.9997268318617022	46.39675666666667	1.0054114631775837	60.96936	1.7817953241791464	-1.0	0.7609848072321354	-0.39406044372050186
SPODMm	-5.257290848677164	0.0031330150367167	-5.257290848677164	0.9968669849632832	5.281216666666666	0.924000431830106	9.70935	0.7517371562365849	-1.0	0.543931021815741	-0.8785043860478114
GTHPi	-5.160838335039795	0.0033470738184182	-5.160838335039795	0.9966529261815816	2041.61197	186.93731624498847	2907.518063333333	146.14164479495557	-1.0	0.7021837613828571	-0.5100794618747755
GTHPm	-5.196615165363347	0.0032656505637841	-5.196615165363347	0.996734349436216	1673.23915	242.72419270962217	2711.92939	144.87090714818447	-1.0	0.6169921518494994	-0.6966759565010292
GDR	1.4972711036042246	0.89566412366147	1.4972711036042246	0.10433587633853	18.25948	3.285410259688533	14.768046666666663	0.2850675674681745	0.0	1.2364180864361662	0.30616666333733794
GTHOr	1.4972711036042246	0.89566412366147	1.4972711036042246	0.10433587633853	18.25948	3.285410259688533	14.768046666666663	0.2850675674681745	0.0	1.2364180864361662	0.30616666333733794
GDRm	1.4972711036042246	0.89566412366147	1.4972711036042246	0.10433587633853	18.25948	3.285410259688533	14.768046666666663	0.2850675674681745	0.0	1.2364180864361662	0.30616666333733794
GTHOm	1.4972711036042246	0.89566412366147	1.4972711036042246	0.10433587633853	18.25948	3.285410259688533	14.768046666666663	0.2850675674681745	0.0	1.2364180864361662	0.30616666333733794
r0885	17.293612972057442	0.999967193583882	17.293612972057442	3.280641611791866e-05	98.73829	7.584394991524816	5.3291466666666665	0.9091065387266528	1.0	18.527973834460052	4.2116332159285434
PYRt2m_f	8.076401476614137	0.9993615649341518	8.076401476614137	0.0006384350658481	109.67295333333334	14.782313472480848	24.716346666666663	1.6693786756421958	1.0	4.437263921420966	2.1496703649231903
PYRt2m_b	8.076401476614137	0.9993615649341518	8.076401476614137	0.0006384350658481	109.67295333333334	14.782313472480848	24.716346666666663	1.6693786756421958	1.0	4.437263921420966	2.1496703649231903
HMR_4964	2.9686136225376853	0.9793995642656016	2.9686136225376853	0.0206004357343982	676.97581	117.14826566299853	402.95074666666665	57.59863960612978	1.0	1.6800460493004505	0.7485007771629106
r2420	-4.951190500607566	0.0038773104243133	-4.951190500607566	0.9961226895756866	391.41373	54.58222064458779	608.3372266666667	29.322900430087444	-1.0	0.6434157122764277	-0.6361769277084869
ATPtm	-8.813953959368808	0.0004571497642249	-8.813953959368808	0.999542850235775	1088.1770966666666	127.05221560059503	2037.45604	84.00655647838722	-1.0	0.5340861718256589	-0.9048555633942699
FUMtm_f	17.293612972057442	0.999967193583882	17.293612972057442	3.280641611791866e-05	98.73829	7.584394991524816	5.3291466666666665	0.9091065387266528	1.0	18.527973834460052	4.2116332159285434
FUMtm_b	17.293612972057442	0.999967193583882	17.293612972057442	3.280641611791866e-05	98.73829	7.584394991524816	5.3291466666666665	0.9091065387266528	1.0	18.527973834460052	4.2116332159285434
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	1.7750661940803574	0.9247262033514452	1.7750661940803574	0.0752737966485547	23.47272	8.783880639182208	12.280316666666666	1.5356340397879815	0.0	1.9114099934990818	0.9346372666178784
r0801_b	1.7750661940803574	0.9247262033514452	1.7750661940803574	0.0752737966485547	23.47272	8.783880639182208	12.280316666666666	1.5356340397879815	0.0	1.9114099934990818	0.9346372666178784
THD1m	-78.50403283300638	7.890122301621724e-08	-78.50403283300638	0.999999921098777	0.3675366666666666	0.1750184326165548	10.755340000000002	0.0662323365132169	-1.0	0.03417248238239484	-4.871021136895193
H2Otm_f	1.975273731981973	0.9402770090248672	1.975273731981973	0.0597229909751327	0.0424133333333333	0.0303661767249169	0.0	0.0	0.0	inf	inf
H2Otm_b	1.975273731981973	0.9402770090248672	1.975273731981973	0.0597229909751327	0.0424133333333333	0.0303661767249169	0.0	0.0	0.0	inf	inf
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	-6.641885239510536	0.0013335754395634	-6.641885239510536	0.9986664245604364	16.852446666666665	2.1622438326937647	28.90016	1.380277331770684	-1.0	0.5831264140636822	-0.7781194204274664
HCO3Em	-8.03662882397108	0.0006505441748851	-8.03662882397108	0.9993494558251148	0.24128	0.0272992393056412	0.4007466666666666	0.0064961338929824	-1.0	0.6020761245674742	-0.7319821866519503
GLUN	-11.095016132591054	0.0001876930179978	-11.095016132591054	0.9998123069820022	3.75809	0.5257760489029526	13.581233333333332	1.1363552742674958	-1.0	0.2767119824660009	-1.8535429765268416
GLNS	4.434435926446798	0.9943085763323568	4.434435926446798	0.0056914236676432	356.25101333333333	106.89903748657868	20.995986666666667	2.0277228584849123	1.0	16.967576660682454	4.0847086262224845
GLUt2m	1.723503045172964	0.9200533867830216	1.723503045172964	0.0799466132169785	106.46234666666663	27.9912185652588	70.2238	10.034212023595408	0.0	1.5160436585127355	0.6003113003512762
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	-11.269598544450728	0.0001766150322807	-11.269598544450728	0.9998233849677192	3.873653333333333	0.5130781988698756	13.622233333333334	1.110547878491613	-1.0	0.284362573929385	-1.8141964961730996
GLUPRT	-6.149415617959042	0.0017735904046176	-6.149415617959042	0.9982264095953824	6.405283333333333	0.7469222034604553	10.640123333333332	0.6249839960795438	-1.0	0.6019933352902865	-0.7321805799902211
PRAGSr	-16.66656299744489	3.796514957406196e-05	-16.66656299744489	0.999962034850426	17.341826666666666	1.2378112682293516	63.069903333333336	3.677447610905631	-1.0	0.27496199851476966	-1.862695852041569
GARFT	-16.66656299744489	3.796514957406196e-05	-16.66656299744489	0.999962034850426	17.341826666666666	1.2378112682293516	63.069903333333336	3.677447610905631	-1.0	0.27496199851476966	-1.862695852041569
PRFGS	-8.951821879211371	0.0004307073576239	-8.951821879211371	0.9995692926423762	21.00678333333333	3.9684162600239183	54.22656333333333	3.434239320968895	-1.0	0.3873891694777633	-1.3681444748624083
PRAIS	-16.66656299744489	3.796514957406196e-05	-16.66656299744489	0.999962034850426	17.341826666666666	1.2378112682293516	63.069903333333336	3.677447610905631	-1.0	0.27496199851476966	-1.862695852041569
AIRCr	-3.512601712814318	0.0123069789367412	-3.512601712814318	0.9876930210632588	141.06354000000002	10.118107080569304	182.07197	13.046810792856611	-1.0	0.7747680216784606	-0.3681636865295608
PRASCSi	-3.512601712814318	0.0123069789367412	-3.512601712814318	0.9876930210632588	141.06354000000002	10.118107080569304	182.07197	13.046810792856611	-1.0	0.7747680216784606	-0.3681636865295608
ADSL2r	-5.054072750994807	0.0036052234379576	-5.054072750994807	0.9963947765620425	1.5962500000000002	0.2016641584417023	2.356813333333333	0.0679939704843173	-1.0	0.6772916537018914	-0.5621508774217178
AICART	-14.628893665102549	6.35134777965034e-05	-14.628893665102549	0.9999364865222036	20.70601333333333	1.3017607375994855	86.24381	6.200536384561154	-1.0	0.24008695039485536	-2.058371104947795
IMPC	-14.628893665102549	6.35134777965034e-05	-14.628893665102549	0.9999364865222036	20.70601333333333	1.3017607375994855	86.24381	6.200536384561154	-1.0	0.24008695039485536	-2.058371104947795
ADSS	-6.559004708279161	0.0013973233243721	-6.559004708279161	0.9986026766756276	8.064100000000002	0.3541704072900504	19.08019333333333	2.3486708343988	-1.0	0.4226424679833784	-1.2424903553695286
ADSL1r	-5.054072750994807	0.0036052234379576	-5.054072750994807	0.9963947765620425	1.5962500000000002	0.2016641584417023	2.356813333333333	0.0679939704843173	-1.0	0.6772916537018914	-0.5621508774217178
IMPDH2	-5.131669203911472	0.0034152983022074	-5.131669203911472	0.9965847016977926	562.84782	41.458913017945854	742.3202666666666	26.97128678948455	-1.0	0.7582277424910219	-0.3992968512223821
GMPS	-0.2972314404706713	0.3905432461201261	-0.2972314404706713	0.6094567538798739	24.93334	2.2581606030277523	25.76496	3.2491621458257	0.0	0.9677228297656973	-0.047334197575209916
GMPS2	-0.2972314404706713	0.3905432461201261	-0.2972314404706713	0.6094567538798739	24.93334	2.2581606030277523	25.76496	3.2491621458257	0.0	0.9677228297656973	-0.047334197575209916
GK1	4.299788477603213	0.993676132234688	4.299788477603213	0.0063238677653119	204.6620533333333	31.22307109195841	104.59088333333334	10.413086198728768	1.0	1.9567867371486962	0.9684865306078184
RNDR2	-12.47622160861067	0.0001186898541305	-12.47622160861067	0.9998813101458696	10.058383333333332	1.9337847602449336	69.81535	6.491712159422965	-1.0	0.14407122979879544	-2.795145828567245
ADK1	-0.2271820139213842	0.4157105380941918	-0.2271820139213842	0.5842894619058081	36.33220333333333	1.3513303206429177	36.605426666666666	1.0328124151827152	0.0	0.9925359882888037	-0.010808681110868308
RNDR1	-12.47622160861067	0.0001186898541305	-12.47622160861067	0.9998813101458696	10.058383333333332	1.9337847602449336	69.81535	6.491712159422965	-1.0	0.14407122979879544	-2.795145828567245
CBPS	-8.976496252242953	0.0004261769296898	-8.976496252242953	0.9995738230703102	20.18209	5.295346328787192	75.18029	6.858381839418589	-1.0	0.2684492172083933	-1.8972788968476026
