Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	std_MDAMB361	mean_SKBR3	std_SKBR3	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	-5.540934338340451	0.0025936737882661	-5.540934338340451	0.9974063262117338	2.3327066666666667	0.2599208115732346	28.81798	6.754841651768505	-1.0	0.08094622408186371	-3.62689240542259
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	-10.55226562654004	0.0002281255999079	-10.55226562654004	0.999771874400092	22.90956333333333	1.1699843401041266	47.61937	3.098042834575834	-1.0	0.4810975729694309	-1.0555985735254239
G6PP	3.2069913687524103	0.983658805187664	3.2069913687524103	0.0163411948123359	168.74265333333335	11.512691583538968	110.47779333333337	22.96988980041674	1.0	1.527389787956783	0.6110682830851613
PGI	-7.276849442663721	0.0009474514644437	-7.276849442663721	0.9990525485355564	62.39326666666667	2.822809318230488	145.31741	15.866683136944529	-1.0	0.4293585102202597	-1.2197453074900286
PFK	2.5349150566540475	0.9678362242201942	2.5349150566540475	0.0321637757798057	108.70725666666664	8.173477604358842	83.20861000000001	11.643032756651795	1.0	1.3064424062205418	0.3856435256594819
FBP	5.128966842890027	0.9965782955656228	5.128966842890027	0.0034217044343772	25.61529333333333	0.1350157700254149	9.7992	4.358891773497785	1.0	2.614018831469235	1.3862695343886706
FBA	-9.481255850519924	0.0003452370012473	-9.481255850519924	0.9996547629987528	18.020153333333337	2.734760255577971	85.80837666666666	9.73436043643455	-1.0	0.21000459434554822	-2.2515072042958035
TPI	-3.9235790626065032	0.0085978688274274	-3.9235790626065032	0.9914021311725726	1688.8471433333334	108.50864866773354	2114.56979	108.49864973085543	-1.0	0.7986717446357414	-0.32432541988471725
GAPD	-3.207840801858933	0.0163279843360462	-3.207840801858933	0.9836720156639538	5155.342196666667	351.49917052855403	6733.50629	600.4322801669891	-1.0	0.7656252143586647	-0.3852897519610181
PGK	2.401542391346567	0.9628839719460052	2.401542391346567	0.0371160280539949	14.978106666666667	0.5983857943018224	13.098503333333332	0.931162526677749	1.0	1.1434975649889774	0.19345329361835056
DPGM	5.704580681841892	0.9976659518866144	5.704580681841892	0.0023340481133856	150.92255333333333	8.399339911589614	98.14218666666666	10.03296504207782	1.0	1.5377948918738853	0.6208630922403335
DPGase	5.704580681841892	0.9976659518866144	5.704580681841892	0.0023340481133856	150.92255333333333	8.399339911589614	98.14218666666666	10.03296504207782	1.0	1.5377948918738853	0.6208630922403335
PGM_f	5.704580681841892	0.9976659518866144	5.704580681841892	0.0023340481133856	150.92255333333333	8.399339911589614	98.14218666666666	10.03296504207782	1.0	1.5377948918738853	0.6208630922403335
PGM_b	5.704580681841892	0.9976659518866144	5.704580681841892	0.0023340481133856	150.92255333333333	8.399339911589614	98.14218666666666	10.03296504207782	1.0	1.5377948918738853	0.6208630922403335
ENO_f	-18.34303482768873	2.598245215474716e-05	-18.34303482768873	0.9999740175478452	510.9323166666666	39.92118817964996	1029.90787	2.694843006534266	-1.0	0.4960951669071784	-1.011311192712225
ENO_b	-18.34303482768873	2.598245215474716e-05	-18.34303482768873	0.9999740175478452	510.9323166666666	39.92118817964996	1029.90787	2.694843006534266	-1.0	0.4960951669071784	-1.011311192712225
PYK	6.976186705421109	0.9988898508493572	6.976186705421109	0.0011101491506428	549.8308366666666	28.09572515255937	369.66841	23.335104252059104	1.0	1.487362246253789	0.5727560577655568
LDH_L	-11.948662776173808	0.0001405503809147	-11.948662776173808	0.9998594496190852	265.4733933333333	12.0358714442684	1430.2387633333335	137.33228271687727	-1.0	0.18561473799984102	-2.4296168284136272
r0407	-9.481255850519924	0.0003452370012473	-9.481255850519924	0.9996547629987528	18.020153333333337	2.734760255577971	85.80837666666666	9.73436043643455	-1.0	0.21000459434554822	-2.2515072042958035
PRPPS	2.0348078162015164	0.9441997152644556	2.0348078162015164	0.0558002847355443	26.96447333333333	0.6733180808668535	23.747116666666667	2.132317159028855	0.0	1.1354840973676101	0.1833075010165816
G6PDH2r	12.169992429173728	0.9998691842119504	12.169992429173728	0.0001308157880494	432.0868066666667	24.789670045915408	208.31254666666663	7.852620742123121	1.0	2.0742236297368812	1.0525714448357226
PGL	0.7821611446035822	0.7610850847554977	0.7821611446035822	0.2389149152445022	70.16816999999999	3.6530197643137208	66.52174666666667	5.488501648242038	0.0	1.054815507951184	0.07699068704681401
GND	3.509320795263515	0.9876564682436794	3.509320795263515	0.0123435317563206	87.66327333333334	4.061481628801106	67.94484666666666	6.829921440647924	1.0	1.290212247639679	0.3676084171440709
RPI	-5.212053352086888	0.003231263066208	-5.212053352086888	0.996768736933792	1.8828466666666668	0.1562192871859581	4.071886666666667	0.5730517530051037	-1.0	0.4624015403179198	-1.1127818912414111
TKT2_f	-12.473895225068416	0.0001187765695122	-12.473895225068416	0.9998812234304878	172.16420666666667	7.570424739050125	312.54658666666666	13.999924958233004	-1.0	0.550843343076663	-0.8602860125721172
TKT2_b	-12.473895225068416	0.0001187765695122	-12.473895225068416	0.9998812234304878	172.16420666666667	7.570424739050125	312.54658666666666	13.999924958233004	-1.0	0.550843343076663	-0.8602860125721172
RPE_f	-2.7325380319202948	0.0261529784507472	-2.7325380319202948	0.9738470215492528	16.219553333333334	1.4004627993472571	22.61764	3.00057168316306	-1.0	0.7171196169597417	-0.47971431152329025
RPE_b	-2.7325380319202948	0.0261529784507472	-2.7325380319202948	0.9738470215492528	16.219553333333334	1.4004627993472571	22.61764	3.00057168316306	-1.0	0.7171196169597417	-0.47971431152329025
TKT1_f	-12.473895225068416	0.0001187765695122	-12.473895225068416	0.9998812234304878	172.16420666666667	7.570424739050125	312.54658666666666	13.999924958233004	-1.0	0.550843343076663	-0.8602860125721172
TKT1_b	-12.473895225068416	0.0001187765695122	-12.473895225068416	0.9998812234304878	172.16420666666667	7.570424739050125	312.54658666666666	13.999924958233004	-1.0	0.550843343076663	-0.8602860125721172
TALA_f	-4.458104861008842	0.0055883071292944	-4.458104861008842	0.9944116928707056	80.17222333333332	1.480554999818949	150.79038333333332	22.35272781890737	-1.0	0.5316799490860546	-0.9113700348979927
TALA_b	-4.458104861008842	0.0055883071292944	-4.458104861008842	0.9944116928707056	80.17222333333332	1.480554999818949	150.79038333333332	22.35272781890737	-1.0	0.5316799490860546	-0.9113700348979927
r0408	2.5349150566540475	0.9678362242201942	2.5349150566540475	0.0321637757798057	108.70725666666664	8.173477604358842	83.20861000000001	11.643032756651795	1.0	1.3064424062205418	0.3856435256594819
PDHm	-3.955482338762121	0.0083704408033593	-3.955482338762121	0.9916295591966406	2.7002399999999995	0.1456069135263387	5.1707600000000005	0.8712072296914591	-1.0	0.5222133690211882	-0.9372887027791543
PCm	-4.283341128717162	0.0064068171203669	-4.283341128717162	0.993593182879633	2.278213333333333	0.1794395408549136	3.73588	0.446569309514212	-1.0	0.6098197301126731	-0.7135452668171136
PEPCK_re	-2.547556975588623	0.031734842587196	-2.547556975588623	0.968265157412804	0.3589233333333333	0.1990820784389081	0.8956733333333333	0.2216948473816105	-1.0	0.4007301769246228	-1.319296939098632
CSm	0.2824537889274555	0.6041957833509884	0.2824537889274555	0.3958042166490116	64.17082666666666	4.720642374679769	62.56732333333334	6.494093675919854	0.0	1.0256284470535921	0.03650818252754725
ACONTm_f	8.577805447878381	0.9994927093683844	8.577805447878381	0.0005072906316155	15.568353333333334	1.407696500962556	5.524743333333333	0.8719669890285731	1.0	2.817932416769889	1.4946370115197543
ACONTm_b	8.577805447878381	0.9994927093683844	8.577805447878381	0.0005072906316155	15.568353333333334	1.407696500962556	5.524743333333333	0.8719669890285731	1.0	2.817932416769889	1.4946370115197543
ICDHxm	0.2649088679279388	0.597914709096542	0.2649088679279388	0.402085290903458	3.4776933333333333	0.2461471713336466	3.419033333333333	0.1935927950335159	0.0	1.0171568961987307	0.024542231712099443
ICDHym_f	9.860736432223325	0.9997033263818366	9.860736432223325	0.0002966736181634	269.26517666666666	10.811999067857696	94.42838666666668	22.62408337098225	1.0	2.851527873892158	1.5117351352253983
ICDHym_b	9.860736432223325	0.9997033263818366	9.860736432223325	0.0002966736181634	269.26517666666666	10.811999067857696	94.42838666666668	22.62408337098225	1.0	2.851527873892158	1.5117351352253983
AKGDm	-1.9838646277052567	0.0591387555993733	-1.9838646277052567	0.9408612444006268	7.86356	0.5471863991365279	9.33438	0.8943764313009748	0.0	0.842429813228088	-0.24737160126443877
SUCOAS1m_f	1.6045497259558994	0.9080693994038276	1.6045497259558994	0.0919306005961723	1.5223566666666668	0.1874949859477728	1.1470066666666667	0.2725633295625481	0.0	1.3272430848992451	0.40843262486148935
SUCOAS1m_b	1.6045497259558994	0.9080693994038276	1.6045497259558994	0.0919306005961723	1.5223566666666668	0.1874949859477728	1.1470066666666667	0.2725633295625481	0.0	1.3272430848992451	0.40843262486148935
SUCD1m	-4.907603628727735	0.0040000943091598	-4.907603628727735	0.99599990569084	7.82373	0.7555829551192026	18.411526666666667	2.956023863518169	-1.0	0.4249365162186442	-1.2346807702902354
FUMm_f	-4.288844461454661	0.0063789164952884	-4.288844461454661	0.9936210835047116	47.10685	5.45672980216173	77.67360333333333	8.47427954402549	-1.0	0.606471799664588	-0.7214875318662753
FUMm_b	-4.288844461454661	0.0063789164952884	-4.288844461454661	0.9936210835047116	47.10685	5.45672980216173	77.67360333333333	8.47427954402549	-1.0	0.606471799664588	-0.7214875318662753
MDHm_f	-1.1325290754791124	0.160349058138795	-1.1325290754791124	0.839650941861205	125.50066666666667	7.523636876858302	159.29001333333335	41.51728970997853	0.0	0.7878752976436857	-0.3439607922461642
MDHm_b	-1.1325290754791124	0.160349058138795	-1.1325290754791124	0.839650941861205	125.50066666666667	7.523636876858302	159.29001333333335	41.51728970997853	0.0	0.7878752976436857	-0.3439607922461642
ME1m	-7.9142609708790514	0.0006896255447098	-7.9142609708790514	0.99931037445529	1.2439133333333334	0.0420961806132363	2.384703333333333	0.1994559136473242	-1.0	0.5216218369580564	-0.9389238276733368
ME2m	3.639854428887821	0.9890162589761966	3.639854428887821	0.0109837410238034	0.1437433333333333	0.0234807897841807	0.0288133333333333	0.0379824848523046	1.0	4.988778343359561	2.318686570320485
ME2	-2.386816741915237	0.037714089850192	-2.386816741915237	0.962285910149808	0.9481733333333334	0.1240677990276105	1.3385166666666664	0.1951890245092917	-1.0	0.7083761875708187	-0.4974123789168179
ACITL	-12.867147386423486	0.0001051729183079	-12.867147386423486	0.999894827081692	14.385636666666665	0.6487934470658251	71.74485	6.27081249295496	-1.0	0.20051107036486474	-2.318246203745355
FUM_f	-4.288844461454661	0.0063789164952884	-4.288844461454661	0.9936210835047116	47.10685	5.45672980216173	77.67360333333333	8.47427954402549	-1.0	0.606471799664588	-0.7214875318662753
FUM_b	-4.288844461454661	0.0063789164952884	-4.288844461454661	0.9936210835047116	47.10685	5.45672980216173	77.67360333333333	8.47427954402549	-1.0	0.606471799664588	-0.7214875318662753
MDH_f	-5.937232007938003	0.0020174871264666	-5.937232007938003	0.9979825128735332	52.49838	5.386422117181929	109.0522	12.347004519391197	-1.0	0.4814059688846259	-1.0546740651919775
MDH_b	-5.937232007938003	0.0020174871264666	-5.937232007938003	0.9979825128735332	52.49838	5.386422117181929	109.0522	12.347004519391197	-1.0	0.4814059688846259	-1.0546740651919775
AKGMALtm_f	-6.220927590287216	0.0016996488545558	-6.220927590287216	0.998300351145444	282.56275	12.838150846995063	355.67994666666664	10.557831775139984	-1.0	0.7944298031083826	-0.33200834816641517
AKGMALtm_b	-6.220927590287216	0.0016996488545558	-6.220927590287216	0.998300351145444	282.56275	12.838150846995063	355.67994666666664	10.557831775139984	-1.0	0.7944298031083826	-0.33200834816641517
ACONT	13.589774546057845	0.99991512975067	13.589774546057845	8.48702493299855e-05	7.070703333333333	0.6459065098672478	0.6552933333333334	0.1688691182214465	1.0	10.790134697946975	3.4316409696157177
ICDHyr	6.798033640178049	0.9987770818894904	6.798033640178049	0.0012229181105096	37.547263333333326	1.599733652004469	18.21964333333333	3.6888353002841177	1.0	2.060812203971062	1.0432130421193202
PPA	-7.064538819199889	0.0010589870607387	-7.064538819199889	0.9989410129392612	32.884006666666664	0.4700243436485215	161.15845000000002	25.674296665151324	-1.0	0.2040476727510513	-2.293021838737142
Complex1ROS	3.228263378176679	0.9839858709438748	3.228263378176679	0.0160141290561252	0.6251733333333332	0.121494226291714	0.2823566666666666	0.0882765881886144	1.0	2.2141263413885515	1.1467375468232877
FADH2ETC	-0.5133386773972203	0.3173833854869582	-0.5133386773972203	0.6826166145130417	2.5555000000000003	0.2479700168703197	2.67759	0.2272488118047411	0.0	0.9544030266022806	-0.06732947677335642
CYOR_u10mi	-5.602528745897251	0.0024919943042831	-5.602528745897251	0.9975080056957168	22.684906666666667	2.020760935758828	40.990476666666666	4.155480939869925	-1.0	0.5534189526786831	-0.8535560427946772
CYOOm2i	-2.764824959155937	0.0252993108580596	-2.764824959155937	0.9747006891419404	70.81716666666667	6.643811504497164	110.64236	19.256786918410526	-1.0	0.6400547373236315	-0.6437328055738772
ATPS4mi	-3.143441447189478	0.017366231869869	-3.143441447189478	0.9826337681301308	11.10087	2.159261429717733	55.029203333333335	19.644755480796626	-1.0	0.20172688913480546	-2.309524694447231
GLUCYS	4.606951797235373	0.995010742660468	4.606951797235373	0.0049892573395321	4.258399999999999	0.358164798475041	2.3872066666666667	0.449067684158586	1.0	1.7838422033003702	0.8349880017017872
GTHS	26.711832157244288	0.9999941620596622	26.711832157244288	5.837940337828476e-06	72.57228333333333	0.953752690877231	46.39675666666667	1.0054114631775837	1.0	1.564167164845646	0.6453947038258162
SPODMm	-3.4185651452401093	0.0134077421585911	-3.4185651452401093	0.9865922578414088	2.7734566666666667	0.4716734141566834	5.281216666666666	0.924000431830106	-1.0	0.5251548727723726	-0.9291851459541585
GTHPi	10.181813006392476	0.999737942695052	10.181813006392476	0.0002620573049478	3995.9574966666655	196.8248256331188	2041.61197	186.93731624498847	1.0	1.9572561071272843	0.9688325450847357
GTHPm	8.330986107041243	0.9994328078663924	8.330986107041243	0.0005671921336075	3449.53514	178.90424477417395	1673.23915	242.72419270962217	1.0	2.0615912196412567	1.043758297855867
GDR	-2.147560393874314	0.0491251024167917	-2.147560393874314	0.9508748975832084	13.088676666666666	0.8947993632963512	18.25948	3.285410259688533	-1.0	0.7168154113187597	-0.4803264396428832
GTHOr	-2.147560393874314	0.0491251024167917	-2.147560393874314	0.9508748975832084	13.088676666666666	0.8947993632963512	18.25948	3.285410259688533	-1.0	0.7168154113187597	-0.4803264396428832
GDRm	-2.147560393874314	0.0491251024167917	-2.147560393874314	0.9508748975832084	13.088676666666666	0.8947993632963512	18.25948	3.285410259688533	-1.0	0.7168154113187597	-0.4803264396428832
GTHOm	-2.147560393874314	0.0491251024167917	-2.147560393874314	0.9508748975832084	13.088676666666666	0.8947993632963512	18.25948	3.285410259688533	-1.0	0.7168154113187597	-0.4803264396428832
r0885	-12.593622884808315	0.000114414257636	-12.593622884808315	0.999885585742364	24.02408	3.5875974545741145	98.73829	7.584394991524816	-1.0	0.2433106751190445	-2.039128475788794
PYRt2m_f	-8.450148419036944	0.0005372376862588	-8.450148419036944	0.9994627623137412	21.32944	0.2888923973846777	109.67295333333334	14.782313472480848	-1.0	0.19448222512229238	-2.3622897900602204
PYRt2m_b	-8.450148419036944	0.0005372376862588	-8.450148419036944	0.9994627623137412	21.32944	0.2888923973846777	109.67295333333334	14.782313472480848	-1.0	0.19448222512229238	-2.3622897900602204
HMR_4964	5.460498913884588	0.9972657810674996	5.460498913884588	0.0027342189325003	1214.8961233333332	75.4002508053505	676.97581	117.14826566299853	1.0	1.7945931086272242	0.843656776244019
r2420	3.293085603634224	0.9849359336351816	3.293085603634224	0.0150640663648184	530.3994566666667	24.152826017880862	391.41373	54.58222064458779	1.0	1.355086487810907	0.4383849339067748
ATPtm	-6.648106184269119	0.0013289365643328	-6.648106184269119	0.9986710634356673	433.9773933333333	56.78377507520751	1088.1770966666666	127.05221560059503	-1.0	0.39881136504591447	-1.3262215716563863
FUMtm_f	-12.593622884808315	0.000114414257636	-12.593622884808315	0.999885585742364	24.02408	3.5875974545741145	98.73829	7.584394991524816	-1.0	0.2433106751190445	-2.039128475788794
FUMtm_b	-12.593622884808315	0.000114414257636	-12.593622884808315	0.999885585742364	24.02408	3.5875974545741145	98.73829	7.584394991524816	-1.0	0.2433106751190445	-2.039128475788794
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	-1.01959007476674	0.1827863090727296	-1.01959007476674	0.8172136909272704	17.092023333333334	1.082161088727347	23.47272	8.783880639182208	0.0	0.7281654334620502	-0.4576618382528611
r0801_b	-1.01959007476674	0.1827863090727296	-1.01959007476674	0.8172136909272704	17.092023333333334	1.082161088727347	23.47272	8.783880639182208	0.0	0.7281654334620502	-0.4576618382528611
THD1m	6.666663557320414	0.9986847838286118	6.666663557320414	0.0013152161713881	1.56706	0.184708253379936	0.3675366666666666	0.1750184326165548	1.0	4.263683442014856	2.0921003289065014
H2Otm_f	2.884828082175852	0.9776024541992978	2.884828082175852	0.0223975458007021	0.1667433333333333	0.0528464885830227	0.0424133333333333	0.0303661767249169	1.0	3.9313895001571852	1.9750393050257653
H2Otm_b	2.884828082175852	0.9776024541992978	2.884828082175852	0.0223975458007021	0.1667433333333333	0.0528464885830227	0.0424133333333333	0.0303661767249169	1.0	3.9313895001571852	1.9750393050257653
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	1.597706340246617	0.907325359372846	1.597706340246617	0.0926746406271541	19.525816666666667	0.9613873753533944	16.852446666666665	2.1622438326937647	0.0	1.1586339392064537	0.212424830788419
HCO3Em	15.538406639752171	0.9999499276680062	15.538406639752171	5.007233199389392e-05	1.95326	0.1534041563974066	0.24128	0.0272992393056412	1.0	8.095407824933687	3.017103761465328
GLUN	-4.288065144322985	0.00638285851954	-4.288065144322985	0.99361714148046	1.7534333333333334	0.4008316771691357	3.75809	0.5257760489029526	-1.0	0.46657566299192765	-1.099817037879326
GLNS	7.193675629957463	0.99901066792648	7.193675629957463	0.00098933207352	1026.1141266666666	76.90673082745374	356.25101333333333	106.89903748657868	1.0	2.880312162667626	1.5262251766423522
GLUt2m	-0.428692585015105	0.3451122841924215	-0.428692585015105	0.6548877158075784	97.94218333333332	2.550305064815233	106.46234666666663	27.9912185652588	0.0	0.9199701716137263	-0.12034100976400046
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	-3.933976013072425	0.0085229464089578	-3.933976013072425	0.991477053591042	2.020173333333333	0.4250991362285064	3.873653333333333	0.5130781988698756	-1.0	0.5215162946951026	-0.9392157646570723
GLUPRT	-1.0914248848830617	0.1682101908001665	-1.0914248848830617	0.8317898091998335	5.628973333333334	0.6737574549907079	6.405283333333333	0.7469222034604553	0.0	0.878801614292368	-0.18639057500162254
PRAGSr	-8.661809754176417	0.0004887079073997	-8.661809754176417	0.9995112920926004	8.618896666666666	0.7043777457365392	17.341826666666666	1.2378112682293516	-1.0	0.49700050821251435	-1.00868076785775
GARFT	-8.661809754176417	0.0004887079073997	-8.661809754176417	0.9995112920926004	8.618896666666666	0.7043777457365392	17.341826666666666	1.2378112682293516	-1.0	0.49700050821251435	-1.00868076785775
PRFGS	-4.298940070419451	0.0063281147032037	-4.298940070419451	0.9936718852967964	8.598283333333333	0.9562364099019776	21.00678333333333	3.9684162600239183	-1.0	0.4093098499135597	-1.288734709683546
PRAIS	-8.661809754176417	0.0004887079073997	-8.661809754176417	0.9995112920926004	8.618896666666666	0.7043777457365392	17.341826666666666	1.2378112682293516	-1.0	0.49700050821251435	-1.00868076785775
AIRCr	-3.8014496670402966	0.0095399263734018	-3.8014496670402966	0.9904600736265982	110.22200333333336	5.4100510927490815	141.06354000000002	10.118107080569304	-1.0	0.7813642230539043	-0.3559328956805525
PRASCSi	-3.8014496670402966	0.0095399263734018	-3.8014496670402966	0.9904600736265982	110.22200333333336	5.4100510927490815	141.06354000000002	10.118107080569304	-1.0	0.7813642230539043	-0.3559328956805525
ADSL2r	-6.734619639088847	0.001266439188003	-6.734619639088847	0.9987335608119968	0.59309	0.0608865327200249	1.5962500000000002	0.2016641584417023	-1.0	0.37155207517619415	-1.4283636678829834
AICART	-4.547296415997976	0.0052195152787319	-4.547296415997976	0.994780484721268	16.043006666666667	0.6391382877141867	20.70601333333333	1.3017607375994855	-1.0	0.7747993980492625	-0.36810526179245434
IMPC	-4.547296415997976	0.0052195152787319	-4.547296415997976	0.994780484721268	16.043006666666667	0.6391382877141867	20.70601333333333	1.3017607375994855	-1.0	0.7747993980492625	-0.36810526179245434
ADSS	9.64433736139899	0.9996767579619814	9.64433736139899	0.0003232420380185	15.707263333333335	1.0633364284907922	8.064100000000002	0.3541704072900504	1.0	1.9478011598731826	0.9618464082689991
ADSL1r	-6.734619639088847	0.001266439188003	-6.734619639088847	0.9987335608119968	0.59309	0.0608865327200249	1.5962500000000002	0.2016641584417023	-1.0	0.37155207517619415	-1.4283636678829834
IMPDH2	-8.022020303642028	0.0006550631233928	-8.022020303642028	0.9993449368766072	319.07803	11.312323490656848	562.84782	41.458913017945854	-1.0	0.5668992908242942	-0.8188356305014355
GMPS	-6.759077147679854	0.0012494313693621	-6.759077147679854	0.9987505686306378	12.943550000000002	1.0927073445651712	24.93334	2.2581606030277523	-1.0	0.5191261980945995	-0.9458427986285416
GMPS2	-6.759077147679854	0.0012494313693621	-6.759077147679854	0.9987505686306378	12.943550000000002	1.0927073445651712	24.93334	2.2581606030277523	-1.0	0.5191261980945995	-0.9458427986285416
GK1	8.884841532780964	0.9995566899409182	8.884841532780964	0.0004433100590818	419.2352966666666	13.84239157402683	204.6620533333333	31.22307109195841	1.0	2.048427101353555	1.0345165516480526
RNDR2	-1.7758846300267053	0.0752020090064284	-1.7758846300267053	0.9247979909935716	7.457783333333331	0.7412106565762676	10.058383333333332	1.9337847602449336	0.0	0.7414495039792676	-0.4315796528336957
ADK1	-16.285143472244002	4.1602158380408695e-05	-16.285143472244002	0.9999583978416196	18.05934333333333	0.8318235386720486	36.33220333333333	1.3513303206429177	-1.0	0.4970616058609529	-1.008503424262666
RNDR1	-1.7758846300267053	0.0752020090064284	-1.7758846300267053	0.9247979909935716	7.457783333333331	0.7412106565762676	10.058383333333332	1.9337847602449336	0.0	0.7414495039792676	-0.4315796528336957
