Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	std_MCF7	mean_MDAMB361	std_MDAMB361	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	7.303783317414243	0.9990656394587856	7.303783317414243	0.0009343605412144	27.606306666666665	4.886757319588885	2.3327066666666667	0.2599208115732346	1.0	11.834452681577337	3.5649210809064162
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	3.2609102038838422	0.9844729323640704	3.2609102038838422	0.0155270676359297	38.49801333333334	6.658494937408069	22.90956333333333	1.1699843401041266	1.0	1.680434182580812	0.7488340378415238
G6PP	-5.942301979731037	0.0020111958986936	-5.942301979731037	0.9979888041013064	106.44671666666666	9.341528967752312	168.74265333333335	11.512691583538968	-1.0	0.6308228214024368	-0.6646932411499352
PGI	9.369746293763798	0.9996386482426818	9.369746293763798	0.0003613517573183	121.91485	8.528832996305333	62.39326666666667	2.822809318230488	1.0	1.9539744673303423	0.966411615670391
PFK	-0.4745073401534732	0.3299412615368419	-0.4745073401534732	0.6700587384631582	102.86153	15.386289425649926	108.70725666666664	8.173477604358842	0.0	0.9462250557514148	-0.07974473140650397
FBP	-3.551084092654845	0.0118877163216948	-3.551084092654845	0.9881122836783052	24.318766666666665	0.4983747574087415	25.61529333333333	0.1350157700254149	-1.0	0.9493846644738795	-0.07493534896051897
FBA	6.065989893542822	0.9981350863732356	6.065989893542822	0.0018649136267644	54.10784666666666	7.956549495789966	18.020153333333337	2.734760255577971	1.0	3.002629648360372	1.5862265403550266
TPI	5.856250650076575	0.997878673052603	5.856250650076575	0.0021213269473969	2702.4192433333333	219.39909742957605	1688.8471433333334	108.50864866773354	1.0	1.6001562095190445	0.6782127499238839
GAPD	3.1736538082708443	0.9831302454674103	3.1736538082708443	0.0168697545325895	6999.98559	743.04780657302	5155.342196666667	351.49917052855403	1.0	1.3578120177019557	0.4412837594784337
PGK	4.697467658951913	0.9953370474102878	4.697467658951913	0.0046629525897121	36.457006666666665	6.438663859038527	14.978106666666667	0.5983857943018224	1.0	2.4340196980837807	1.2833408435704552
DPGM	5.235306660397259	0.9968197016928292	5.235306660397259	0.0031802983071708	379.7051100000001	61.22760480567079	150.92255333333333	8.399339911589614	1.0	2.5158937588431125	1.331071001380019
DPGase	5.235306660397259	0.9968197016928292	5.235306660397259	0.0031802983071708	379.7051100000001	61.22760480567079	150.92255333333333	8.399339911589614	1.0	2.5158937588431125	1.331071001380019
PGM_f	5.235306660397259	0.9968197016928292	5.235306660397259	0.0031802983071708	379.7051100000001	61.22760480567079	150.92255333333333	8.399339911589614	1.0	2.5158937588431125	1.331071001380019
PGM_b	5.235306660397259	0.9968197016928292	5.235306660397259	0.0031802983071708	379.7051100000001	61.22760480567079	150.92255333333333	8.399339911589614	1.0	2.5158937588431125	1.331071001380019
ENO_f	4.912198774770149	0.9960130712605278	4.912198774770149	0.0039869287394721	897.8529233333333	103.99457699485302	510.9323166666666	39.92118817964996	1.0	1.7572834875486933	0.8133469478003371
ENO_b	4.912198774770149	0.9960130712605278	4.912198774770149	0.0039869287394721	897.8529233333333	103.99457699485302	510.9323166666666	39.92118817964996	1.0	1.7572834875486933	0.8133469478003371
PYK	-2.465109037037093	0.0346549187176886	-2.465109037037093	0.9653450812823112	414.46955333333335	72.39501120227476	549.8308366666666	28.09572515255937	-1.0	0.753812856052314	-0.4077216949437847
LDH_L	6.5003354564747	0.998555273127266	6.5003354564747	0.0014447268727341	1183.482623333333	199.3591809019011	265.4733933333333	12.0358714442684	1.0	4.458008422137168	2.1563993421616066
r0407	6.065989893542822	0.9981350863732356	6.065989893542822	0.0018649136267644	54.10784666666666	7.956549495789966	18.020153333333337	2.734760255577971	1.0	3.002629648360372	1.5862265403550266
PRPPS	8.117502030167111	0.9993737866585284	8.117502030167111	0.0006262133414715	55.92808666666667	5.000853368805058	26.96447333333333	0.6733180808668535	1.0	2.0741397755219158	1.0525131201190638
G6PDH2r	-3.5421130249413486	0.0119839159228409	-3.5421130249413486	0.988016084077159	354.4349399999999	18.61885185240128	432.0868066666667	24.789670045915408	-1.0	0.8202864205326887	-0.2858003493860755
PGL	-1.348558553231849	0.1243871168984674	-1.348558553231849	0.8756128831015326	61.38547	8.454872115638414	70.16816999999999	3.6530197643137208	0.0	0.8748335605731203	-0.19291952842946186
GND	0.6174319242124574	0.7148176863138811	0.6174319242124574	0.2851823136861189	91.65727333333332	8.197151052417883	87.66327333333334	4.061481628801106	0.0	1.0455606988894093	0.0642768184504945
RPI	17.585862566115765	0.9999692983191028	17.585862566115765	3.070168089713185e-05	10.351593333333332	0.6628773727889303	1.8828466666666668	0.1562192871859581	1.0	5.49784192021301	2.458865425547947
TKT2_f	-0.0033704210734982	0.498736095088609	-0.0033704210734982	0.501263904911391	172.14502666666667	2.7306463386816606	172.16420666666667	7.570424739050125	0.0	0.9998885947295819	-0.00016073278456697995
TKT2_b	-0.0033704210734982	0.498736095088609	-0.0033704210734982	0.501263904911391	172.14502666666667	2.7306463386816606	172.16420666666667	7.570424739050125	0.0	0.9998885947295819	-0.00016073278456697995
RPE_f	8.921896403872895	0.9995637176514534	8.921896403872895	0.0004362823485465	56.62091333333333	6.249031038538872	16.219553333333334	1.4004627993472571	1.0	3.490904599510138	1.8036009310257983
RPE_b	8.921896403872895	0.9995637176514534	8.921896403872895	0.0004362823485465	56.62091333333333	6.249031038538872	16.219553333333334	1.4004627993472571	1.0	3.490904599510138	1.8036009310257983
TKT1_f	-0.0033704210734982	0.498736095088609	-0.0033704210734982	0.501263904911391	172.14502666666667	2.7306463386816606	172.16420666666667	7.570424739050125	0.0	0.9998885947295819	-0.00016073278456697995
TKT1_b	-0.0033704210734982	0.498736095088609	-0.0033704210734982	0.501263904911391	172.14502666666667	2.7306463386816606	172.16420666666667	7.570424739050125	0.0	0.9998885947295819	-0.00016073278456697995
TALA_f	6.450275006798326	0.9985132516351742	6.450275006798326	0.0014867483648258	133.61495333333335	11.623326471753058	80.17222333333332	1.480554999818949	1.0	1.6665990760640421	0.7369070854034752
TALA_b	6.450275006798326	0.9985132516351742	6.450275006798326	0.0014867483648258	133.61495333333335	11.623326471753058	80.17222333333332	1.480554999818949	1.0	1.6665990760640421	0.7369070854034752
r0408	-0.4745073401534732	0.3299412615368419	-0.4745073401534732	0.6700587384631582	102.86153	15.386289425649926	108.70725666666664	8.173477604358842	0.0	0.9462250557514148	-0.07974473140650397
PDHm	8.216407503731315	0.9994020313116562	8.216407503731315	0.0005979686883439	4.575843333333333	0.2881282725145557	2.7002399999999995	0.1456069135263387	1.0	1.6946061584649268	0.7609500171663328
PCm	5.228936936776681	0.9968058392525808	5.228936936776681	0.003194160747419	7.217916666666666	1.3238823943823548	2.278213333333333	0.1794395408549136	1.0	3.1682356349420013	1.6636796386751753
PEPCK_re	-2.5496732294158946	0.031663680674055	-2.5496732294158946	0.9683363193259448	0.0	0.0	0.3589233333333333	0.1990820784389081	-1.0	0.0	
CSm	2.6977210194757952	0.9728888978478216	2.6977210194757952	0.0271111021521783	98.48205	17.35629268613164	64.17082666666666	4.720642374679769	1.0	1.5346856993375186	0.6179432246926803
ACONTm_f	-0.8854370545141885	0.2129702795204544	-0.8854370545141885	0.7870297204795456	13.00613	3.84263400397002	15.568353333333334	1.407696500962556	0.0	0.8354210443151128	-0.2594246093389466
ACONTm_b	-0.8854370545141885	0.2129702795204544	-0.8854370545141885	0.7870297204795456	13.00613	3.84263400397002	15.568353333333334	1.407696500962556	0.0	0.8354210443151128	-0.2594246093389466
ICDHxm	3.686992522065317	0.9894628826275786	3.686992522065317	0.0105371173724214	7.210633333333334	1.4105213105404997	3.4776933333333333	0.2461471713336466	1.0	2.073395392348185	1.051995261737482
ICDHym_f	-17.122209388645874	3.412480735724705e-05	-17.122209388645874	0.9999658751926428	127.27230000000002	4.543705884348887	269.26517666666666	10.811999067857696	-1.0	0.4726652795417178	-1.0811092019968047
ICDHym_b	-17.122209388645874	3.412480735724705e-05	-17.122209388645874	0.9999658751926428	127.27230000000002	4.543705884348887	269.26517666666666	10.811999067857696	-1.0	0.4726652795417178	-1.0811092019968047
AKGDm	-1.774218549142414	0.0753482232175195	-1.774218549142414	0.9246517767824805	6.173923333333332	1.230626432251297	7.86356	0.5471863991365279	0.0	0.7851308228503797	-0.3489950310074774
SUCOAS1m_f	2.646611032618539	0.971408078514302	2.646611032618539	0.0285919214856981	2.143963333333333	0.2741759407549992	1.5223566666666668	0.1874949859477728	1.0	1.4083186813427426	0.4939738311133407
SUCOAS1m_b	2.646611032618539	0.971408078514302	2.646611032618539	0.0285919214856981	2.143963333333333	0.2741759407549992	1.5223566666666668	0.1874949859477728	1.0	1.4083186813427426	0.4939738311133407
SUCD1m	3.956197781735612	0.991634575956936	3.956197781735612	0.008365424043064	17.871723333333332	3.51146278110546	7.82373	0.7555829551192026	1.0	2.2842970467198294	1.1917502688988857
FUMm_f	-2.544251168567069	0.0318463714437025	-2.544251168567069	0.9681536285562976	36.53460666666666	2.181260373535346	47.10685	5.45672980216173	-1.0	0.7755688751565146	-0.3666731879851547
FUMm_b	-2.544251168567069	0.0318463714437025	-2.544251168567069	0.9681536285562976	36.53460666666666	2.181260373535346	47.10685	5.45672980216173	-1.0	0.7755688751565146	-0.3666731879851547
MDHm_f	4.649309311773847	0.9951667774859324	4.649309311773847	0.0048332225140676	217.65714333333327	27.00336811073554	125.50066666666667	7.523636876858302	1.0	1.7343106543922735	0.7943623411256089
MDHm_b	4.649309311773847	0.9951667774859324	4.649309311773847	0.0048332225140676	217.65714333333327	27.00336811073554	125.50066666666667	7.523636876858302	1.0	1.7343106543922735	0.7943623411256089
ME1m	9.555311229966822	0.9996649739472722	9.555311229966822	0.0003350260527278	3.153513333333333	0.2794736744111847	1.2439133333333334	0.0420961806132363	1.0	2.5351551823010174	1.3420740603977919
ME2m	0.1687391146423662	0.5629046013932408	0.1687391146423662	0.4370953986067591	0.1480233333333333	0.02711785922393	0.1437433333333333	0.0234807897841807	0.0	1.0297752939266749	0.04232956293781653
ME2	13.397013780678297	0.9999102307799494	13.397013780678297	8.976922005062226e-05	3.268826666666667	0.2112313594668702	0.9481733333333334	0.1240677990276105	1.0	3.447499050806463	1.7855501545247532
ACITL	4.416155372091102	0.9942273553892156	4.416155372091102	0.0057726446107843	31.939173333333333	5.583714306100874	14.385636666666665	0.6487934470658251	1.0	2.2202127075362905	1.1506979006327467
FUM_f	-2.544251168567069	0.0318463714437025	-2.544251168567069	0.9681536285562976	36.53460666666666	2.181260373535346	47.10685	5.45672980216173	-1.0	0.7755688751565146	-0.3666731879851547
FUM_b	-2.544251168567069	0.0318463714437025	-2.544251168567069	0.9681536285562976	36.53460666666666	2.181260373535346	47.10685	5.45672980216173	-1.0	0.7755688751565146	-0.3666731879851547
MDH_f	8.463639011930363	0.9994660287350204	8.463639011930363	0.0005339712649796	95.97335	4.874149574089824	52.49838	5.386422117181929	1.0	1.8281202200906008	0.8703609474340157
MDH_b	8.463639011930363	0.9994660287350204	8.463639011930363	0.0005339712649796	95.97335	4.874149574089824	52.49838	5.386422117181929	1.0	1.8281202200906008	0.8703609474340157
AKGMALtm_f	-0.8972691249323774	0.2101494179938473	-0.8972691249323774	0.7898505820061528	262.0721833333333	29.6344650997813	282.56275	12.838150846995063	0.0	0.9274831283788586	-0.10860705663159055
AKGMALtm_b	-0.8972691249323774	0.2101494179938473	-0.8972691249323774	0.7898505820061528	262.0721833333333	29.6344650997813	282.56275	12.838150846995063	0.0	0.9274831283788586	-0.10860705663159055
ACONT	-7.99847022744715	0.0006624301042684	-7.99847022744715	0.9993375698957316	2.8454833333333336	0.3753775825603986	7.070703333333333	0.6459065098672478	-1.0	0.40243285557165226	-1.3131799998947966
ICDHyr	-13.22650737721652	9.439935360817727e-05	-13.22650737721652	0.999905600646392	21.745516666666663	0.5435828011955088	37.547263333333326	1.599733652004469	-1.0	0.5791505088830708	-0.7879897722308017
PPA	16.52922336625115	0.9999607727403368	16.52922336625115	3.922725966330413e-05	91.28341333333331	4.974401956713546	32.884006666666664	0.4700243436485215	1.0	2.7759212634470125	1.472966647726874
Complex1ROS	-0.6418964233423551	0.2779387709620769	-0.6418964233423551	0.7220612290379231	0.5608066666666667	0.0731410857331378	0.6251733333333332	0.121494226291714	0.0	0.8970418870499917	-0.15675274204115996
FADH2ETC	14.597076115202686	0.9999359394986852	14.597076115202686	6.406050131488711e-05	6.330836666666666	0.268880174592492	2.5555000000000003	0.2479700168703197	1.0	2.477337768212352	1.3087905836846518
CYOR_u10mi	-6.303782498595564	0.0016186576999914	-6.303782498595564	0.9983813423000084	10.808703333333334	1.736459134221771	22.684906666666667	2.020760935758828	-1.0	0.4764711396946457	-1.0695392635021395
CYOOm2i	0.9654054623250474	0.8054943433861519	0.9654054623250474	0.1945056566138481	79.87480333333333	11.485272880999483	70.81716666666667	6.643811504497164	0.0	1.1279017093313062	0.17364134997179378
ATPS4mi	1.5909773253487718	0.9065876763904788	1.5909773253487718	0.0934123236095213	19.04692	6.725070075411853	11.10087	2.159261429717733	0.0	1.7158042567834773	0.7788849759869502
GLUCYS	-1.4867889026794197	0.1056363050858043	-1.4867889026794197	0.8943636949141957	3.833243333333333	0.1877764582925369	4.258399999999999	0.358164798475041	0.0	0.9001604671551131	-0.1517458884083387
GTHS	-21.613537642680512	1.3553306553516208e-05	-21.613537642680512	0.9999864466934464	33.428149999999995	2.377072511991729	72.57228333333333	0.953752690877231	-1.0	0.46061868890717456	-1.1183551473981284
SPODMm	1.748127509649631	0.9223221840060716	1.748127509649631	0.0776778159939285	3.46724	0.3042028732058042	2.7734566666666667	0.4716734141566834	0.0	1.2501511351057706	0.322102517837082
GTHPi	-16.197640321426405	4.249703559452992e-05	-16.197640321426405	0.9999575029644054	1638.2625133333331	60.284405349873154	3995.9574966666655	196.8248256331188	-1.0	0.4099799646767848	-1.2863746865412993
GTHPm	-17.37414700382738	3.220892100316536e-05	-17.37414700382738	0.9999677910789968	1127.7504700000002	60.906538670261526	3449.53514	178.90424477417395	-1.0	0.3269282451779866	-1.6129540698229183
GDR	4.615595335671186	0.9950430741377752	4.615595335671186	0.0049569258622246	20.04368333333333	1.934043384076192	13.088676666666666	0.8947993632963512	1.0	1.5313758482841273	0.6148284094930971
GTHOr	4.615595335671186	0.9950430741377752	4.615595335671186	0.0049569258622246	20.04368333333333	1.934043384076192	13.088676666666666	0.8947993632963512	1.0	1.5313758482841273	0.6148284094930971
GDRm	4.615595335671186	0.9950430741377752	4.615595335671186	0.0049569258622246	20.04368333333333	1.934043384076192	13.088676666666666	0.8947993632963512	1.0	1.5313758482841273	0.6148284094930971
GTHOm	4.615595335671186	0.9950430741377752	4.615595335671186	0.0049569258622246	20.04368333333333	1.934043384076192	13.088676666666666	0.8947993632963512	1.0	1.5313758482841273	0.6148284094930971
r0885	0.7838000442726734	0.7615153746815301	0.7838000442726734	0.2384846253184699	27.635996666666667	5.440622919913574	24.02408	3.5875974545741145	0.0	1.1503456809445634	0.2020674587739902
PYRt2m_f	8.142082845761237	0.9993809577811472	8.142082845761237	0.0006190422188525	51.494773333333335	5.231502543249141	21.32944	0.2888923973846777	1.0	2.414258102103634	1.2715799191418502
PYRt2m_b	8.142082845761237	0.9993809577811472	8.142082845761237	0.0006190422188525	51.494773333333335	5.231502543249141	21.32944	0.2888923973846777	1.0	2.414258102103634	1.2715799191418502
HMR_4964	-7.77313471988165	0.0007383725570316	-7.77313471988165	0.9992616274429684	714.17486	51.126088242319085	1214.8961233333332	75.4002508053505	-1.0	0.5878484969072953	-0.7664837101044767
r2420	-3.2612503447313546	0.0155220858553944	-3.2612503447313546	0.9844779141446056	473.75505	4.472133643650053	530.3994566666667	24.152826017880862	-1.0	0.8932042520883176	-0.16293797577788544
ATPtm	27.13360846445069	0.9999945151007146	27.13360846445069	5.484899285487195e-06	4005.800523333333	177.29327991303137	433.9773933333333	56.78377507520751	1.0	9.230435927929825	3.2063987839719648
FUMtm_f	0.7838000442726734	0.7615153746815301	0.7838000442726734	0.2384846253184699	27.635996666666667	5.440622919913574	24.02408	3.5875974545741145	0.0	1.1503456809445634	0.2020674587739902
FUMtm_b	0.7838000442726734	0.7615153746815301	0.7838000442726734	0.2384846253184699	27.635996666666667	5.440622919913574	24.02408	3.5875974545741145	0.0	1.1503456809445634	0.2020674587739902
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	0.8055099133457959	0.7671587555320833	0.8055099133457959	0.2328412444679167	20.19509333333333	5.339422960722336	17.092023333333334	1.082161088727347	0.0	1.181550770174079	0.24068162195220974
r0801_b	0.8055099133457959	0.7671587555320833	0.8055099133457959	0.2328412444679167	20.19509333333333	5.339422960722336	17.092023333333334	1.082161088727347	0.0	1.181550770174079	0.24068162195220974
THD1m	4.4368407567645685	0.994319157801776	4.4368407567645685	0.005680842198224	4.05622	0.7716032413531368	1.56706	0.184708253379936	1.0	2.588426735415364	1.3720754837585105
H2Otm_f	-0.8060028314262294	0.2327143331651081	-0.8060028314262294	0.767285666834892	0.11733	0.0687332471709773	0.1667433333333333	0.0528464885830227	0.0	0.7036563180936771	-0.5070571393900198
H2Otm_b	-0.8060028314262294	0.2327143331651081	-0.8060028314262294	0.767285666834892	0.11733	0.0687332471709773	0.1667433333333333	0.0528464885830227	0.0	0.7036563180936771	-0.5070571393900198
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	7.616629674022832	0.9992024822945336	7.616629674022832	0.0007975177054663	34.93922	2.695563823037152	19.525816666666667	0.9613873753533944	1.0	1.7893858472842363	0.8394645108904286
HCO3Em	-14.604990769893252	6.392388174305404e-05	-14.604990769893252	0.999936076118257	0.3426333333333333	0.0281099227241121	1.95326	0.1534041563974066	-1.0	0.1754161419029383	-2.5111465832973856
GLUN	4.356122452066216	0.9939505776831302	4.356122452066216	0.0060494223168697	6.406666666666666	1.4565230277692909	1.7534333333333334	0.4008316771691357	1.0	3.6537840047145598	1.8693913508407087
GLNS	-16.881056147197867	3.6093625536623085e-05	-16.881056147197867	0.9999639063744632	96.15372333333332	12.447863522694254	1026.1141266666666	76.90673082745374	-1.0	0.09370665585288143	-3.4157046656371617
GLUt2m	-14.122052529767045	7.297094964322558e-05	-14.122052529767045	0.9999270290503568	59.86750666666666	2.834433895346458	97.94218333333332	2.550305064815233	-1.0	0.6112535439700735	-0.7101571702364327
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	4.138003452769389	0.9928000673673228	4.138003452769389	0.007199932632677	6.546756666666667	1.4874635212408478	2.020173333333333	0.4250991362285064	1.0	3.2406905678060633	1.6963012737863672
GLUPRT	5.141614833501079	0.9966081528216753	5.141614833501079	0.0033918471783248	11.912493333333332	1.5915597892284437	5.628973333333334	0.6737574549907079	1.0	2.1162817138945407	1.0815316880313983
PRAGSr	6.72536372438205	0.9987270498825844	6.72536372438205	0.0012729501174156	40.22538333333333	6.608800264124262	8.618896666666666	0.7043777457365392	1.0	4.6671151643926585	2.222531067269543
GARFT	6.72536372438205	0.9987270498825844	6.72536372438205	0.0012729501174156	40.22538333333333	6.608800264124262	8.618896666666666	0.7043777457365392	1.0	4.6671151643926585	2.222531067269543
PRFGS	6.476812343805364	0.9985357120800542	6.476812343805364	0.0014642879199457	24.302983333333334	3.293100489531948	8.598283333333333	0.9562364099019776	1.0	2.8264924975334225	1.499012867598074
PRAIS	6.72536372438205	0.9987270498825844	6.72536372438205	0.0012729501174156	40.22538333333333	6.608800264124262	8.618896666666666	0.7043777457365392	1.0	4.6671151643926585	2.222531067269543
AIRCr	11.332534835504983	0.9998271782695294	11.332534835504983	0.0001728217304705	171.01986666666667	5.319356276808519	110.22200333333336	5.4100510927490815	1.0	1.5515946135497867	0.6337516725915902
PRASCSi	11.332534835504983	0.9998271782695294	11.332534835504983	0.0001728217304705	171.01986666666667	5.319356276808519	110.22200333333336	5.4100510927490815	1.0	1.5515946135497867	0.6337516725915902
ADSL2r	22.775643614730715	0.9999889927804206	22.775643614730715	1.100721957930147e-05	1.77016	0.0404314168273468	0.59309	0.0608865327200249	1.0	2.9846397679947394	1.5775568154802748
AICART	13.902064395798147	0.9999223806724062	13.902064395798147	7.761932759378205e-05	75.56781	6.021446982561582	16.043006666666667	0.6391382877141867	1.0	4.710327158126219	2.235827266422936
IMPC	13.902064395798147	0.9999223806724062	13.902064395798147	7.761932759378205e-05	75.56781	6.021446982561582	16.043006666666667	0.6391382877141867	1.0	4.710327158126219	2.235827266422936
ADSS	-0.1357235051275142	0.4492980695603334	-0.1357235051275142	0.5507019304396665	15.598926666666664	0.3789631215420423	15.707263333333335	1.0633364284907922	0.0	0.9931027662573936	-0.009985079350573649
ADSL1r	22.775643614730715	0.9999889927804206	22.775643614730715	1.100721957930147e-05	1.77016	0.0404314168273468	0.59309	0.0608865327200249	1.0	2.9846397679947394	1.5775568154802748
IMPDH2	5.285375411460547	0.9969261463244756	5.285375411460547	0.0030738536755241	508.74898666666667	49.47363581541544	319.07803	11.312323490656848	1.0	1.594434397964243	0.6730447399992917
GMPS	12.905226266846126	0.9998960388064916	12.905226266846126	0.0001039611935082	37.29918333333334	2.435068609934615	12.943550000000002	1.0927073445651712	1.0	2.8816810947022518	1.526910686467377
GMPS2	12.905226266846126	0.9998960388064916	12.905226266846126	0.0001039611935082	37.29918333333334	2.435068609934615	12.943550000000002	1.0927073445651712	1.0	2.8816810947022518	1.526910686467377
GK1	-27.736635129716404	5.025185069195557e-06	-27.736635129716404	0.9999949748149308	136.10994333333332	4.096300944676262	419.2352966666666	13.84239157402683	-1.0	0.3246624137221779	-1.622987721890564
RNDR2	4.916318785382759	0.9960248306884592	4.916318785382759	0.0039751693115408	41.32658666666666	9.714362368364116	7.457783333333331	0.7412106565762676	1.0	5.54140350014638	2.4702514214478786
ADK1	21.1566381457501	0.9999852465456596	21.1566381457501	1.4753454340297133e-05	34.06773333333334	0.6731563577819206	18.05934333333333	0.8318235386720486	1.0	1.886432563162596	0.9156605271133724
RNDR1	4.916318785382759	0.9960248306884592	4.916318785382759	0.0039751693115408	41.32658666666666	9.714362368364116	7.457783333333331	0.7412106565762676	1.0	5.54140350014638	2.4702514214478786
CBPS	3.5032602998340487	0.9875886078966556	3.5032602998340487	0.0124113921033443	45.29455000000001	10.156052952740382	19.57739666666667	2.1523938014736577	1.0	2.3136145612823227	1.210148537373871
