Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	std_SKBR3	mean_MCF7	std_MCF7	result	meanRatio	meanRatio_log
EX_pyr_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
PYRt2	0.2055333344276994	0.5764041147466186	0.2055333344276994	0.4235958852533814	28.81798	6.754841651768505	27.606306666666665	4.886757319588885	0.0	1.0438911784891665	0.061971324516173557
EX_gudac_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_hdca_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcIN_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ptrcOUT_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_biomassx					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthox_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_2obut_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_val__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_spmd_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_sprm_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_5mthf_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tmlys_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thbpt_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_CE2705_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_crtn_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_his__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_lys__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_carn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_csn_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cys__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cyan_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcyntc					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tcynt_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_so3_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_thr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_trp__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_anth_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_tyr__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cystinex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_3hydroxybutanoatex_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gthrd_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_cmp_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HEX1	1.7564890169501115	0.9230769796596804	1.7564890169501115	0.0769230203403196	47.61937	3.098042834575834	38.49801333333334	6.658494937408069	0.0	1.2369305810066042	0.30676453568389994
G6PP	0.2299010061769034	0.5852765445605961	0.2299010061769034	0.414723455439404	110.47779333333337	22.96988980041674	106.44671666666666	9.341528967752312	0.0	1.0378694317015889	0.05362495806477403
PGI	1.837282545375708	0.9299804303150444	1.837282545375708	0.0700195696849555	145.31741	15.866683136944529	121.91485	8.528832996305333	0.0	1.1919582397058275	0.2533336918196377
PFK	-1.4404449522127862	0.111584901626318	-1.4404449522127862	0.8884150983736819	83.20861000000001	11.643032756651795	102.86153	15.386289425649926	0.0	0.8089380937654729	-0.30589879425297806
FBP	-4.68028495515031	0.0047228554508555	-4.68028495515031	0.9952771445491444	9.7992	4.358891773497785	24.318766666666665	0.4983747574087415	-1.0	0.40294806617111895	-1.3113341854281515
FBA	3.5658610383934475	0.988268744587256	3.5658610383934475	0.011731255412744	85.80837666666666	9.73436043643455	54.10784666666666	7.956549495789966	1.0	1.5858767619286767	0.6652806639407768
TPI	-3.3965576670754856	0.0136819964971369	-3.3965576670754856	0.9863180035028632	2114.56979	108.49864973085543	2702.4192433333333	219.39909742957605	-1.0	0.7824728880304143	-0.35388733003916667
GAPD	-0.3944836182890465	0.3566765451790272	-0.3944836182890465	0.6433234548209728	6733.50629	600.4322801669891	6999.98559	743.04780657302	0.0	0.9619314502045997	-0.055994007517415574
PGK	-5.07772818246329	0.0035459895349893	-5.07772818246329	0.9964540104650106	13.098503333333332	0.931162526677749	36.457006666666665	6.438663859038527	-1.0	0.35928630820120355	-1.4767941371888056
DPGM	-6.417848056822277	0.0015147721767327	-6.417848056822277	0.9984852278232672	98.14218666666666	10.03296504207782	379.7051100000001	61.22760480567079	-1.0	0.2584694914078629	-1.9519340936203526
DPGase	-6.417848056822277	0.0015147721767327	-6.417848056822277	0.9984852278232672	98.14218666666666	10.03296504207782	379.7051100000001	61.22760480567079	-1.0	0.2584694914078629	-1.9519340936203526
PGM_f	-6.417848056822277	0.0015147721767327	-6.417848056822277	0.9984852278232672	98.14218666666666	10.03296504207782	379.7051100000001	61.22760480567079	-1.0	0.2584694914078629	-1.9519340936203526
PGM_b	-6.417848056822277	0.0015147721767327	-6.417848056822277	0.9984852278232672	98.14218666666666	10.03296504207782	379.7051100000001	61.22760480567079	-1.0	0.2584694914078629	-1.9519340936203526
ENO_f	1.7952015475836165	0.9264713302371808	1.7952015475836165	0.0735286697628191	1029.90787	2.694843006534266	897.8529233333333	103.99457699485302	0.0	1.1470785952073361	0.1979642449118878
ENO_b	1.7952015475836165	0.9264713302371808	1.7952015475836165	0.0735286697628191	1029.90787	2.694843006534266	897.8529233333333	103.99457699485302	0.0	1.1470785952073361	0.1979642449118878
PYK	-0.8329735602473267	0.2258528345707718	-0.8329735602473267	0.7741471654292282	369.66841	23.335104252059104	414.46955333333335	72.39501120227476	0.0	0.8919072752798746	-0.16503436282177222
LDH_L	1.4415126264828797	0.8885558652936417	1.4415126264828797	0.1114441347063582	1430.2387633333335	137.33228271687727	1183.482623333333	199.3591809019011	0.0	1.2085000110141038	0.27321748625202086
r0407	3.5658610383934475	0.988268744587256	3.5658610383934475	0.011731255412744	85.80837666666666	9.73436043643455	54.10784666666666	7.956549495789966	1.0	1.5858767619286767	0.6652806639407768
PRPPS	-8.371366625600553	0.0005568150589402	-8.371366625600553	0.9994431849410598	23.747116666666667	2.132317159028855	55.92808666666667	5.000853368805058	-1.0	0.42460091310114545	-1.235820621135645
G6PDH2r	-10.226537883495018	0.000257642385978	-10.226537883495018	0.999742357614022	208.31254666666663	7.852620742123121	354.4349399999999	18.61885185240128	-1.0	0.5877314089481885	-0.7667710954496469
PGL	0.7206068056072293	0.7444919563139978	0.7206068056072293	0.2555080436860021	66.52174666666667	5.488501648242038	61.38547	8.454872115638414	0.0	1.0836725151190774	0.11592884138264774
GND	-3.1429786687040453	0.017373969336334	-3.1429786687040453	0.982626030663666	67.94484666666666	6.829921440647924	91.65727333333332	8.197151052417883	-1.0	0.7412924713521554	-0.4318852355945653
RPI	-10.135187654419106	0.0002667603189496	-10.135187654419106	0.9997332396810504	4.071886666666667	0.5730517530051037	10.351593333333332	0.6628773727889303	-1.0	0.3933584459461636	-1.346083534306536
TKT2_f	13.920456078696525	0.9999227831656126	13.920456078696525	7.721683438745998e-05	312.54658666666666	13.999924958233004	172.14502666666667	2.7306463386816606	1.0	1.8156004429443484	0.8604467453566842
TKT2_b	13.920456078696525	0.9999227831656126	13.920456078696525	7.721683438745998e-05	312.54658666666666	13.999924958233004	172.14502666666667	2.7306463386816606	1.0	1.8156004429443484	0.8604467453566842
RPE_f	-6.937001184706932	0.0011338145229489	-6.937001184706932	0.9988661854770512	22.61764	3.00057168316306	56.62091333333333	6.249031038538872	-1.0	0.39945735009337546	-1.3238866195025083
RPE_b	-6.937001184706932	0.0011338145229489	-6.937001184706932	0.9988661854770512	22.61764	3.00057168316306	56.62091333333333	6.249031038538872	-1.0	0.39945735009337546	-1.3238866195025083
TKT1_f	13.920456078696525	0.9999227831656126	13.920456078696525	7.721683438745998e-05	312.54658666666666	13.999924958233004	172.14502666666667	2.7306463386816606	1.0	1.8156004429443484	0.8604467453566842
TKT1_b	13.920456078696525	0.9999227831656126	13.920456078696525	7.721683438745998e-05	312.54658666666666	13.999924958233004	172.14502666666667	2.7306463386816606	1.0	1.8156004429443484	0.8604467453566842
TALA_f	0.9641010941816472	0.8052044093335802	0.9641010941816472	0.1947955906664197	150.79038333333332	22.35272781890737	133.61495333333335	11.623326471753058	0.0	1.1285442203250402	0.1744629494945176
TALA_b	0.9641010941816472	0.8052044093335802	0.9641010941816472	0.1947955906664197	150.79038333333332	22.35272781890737	133.61495333333335	11.623326471753058	0.0	1.1285442203250402	0.1744629494945176
r0408	-1.4404449522127862	0.111584901626318	-1.4404449522127862	0.8884150983736819	83.20861000000001	11.643032756651795	102.86153	15.386289425649926	0.0	0.8089380937654729	-0.30589879425297806
PDHm	0.916874609089971	0.7944565056221164	0.916874609089971	0.2055434943778835	5.1707600000000005	0.8712072296914591	4.575843333333333	0.2881282725145557	0.0	1.1300124640048137	0.1763386856128213
PCm	-3.524508476680673	0.012175402427286	-3.524508476680673	0.987824597572714	3.73588	0.446569309514212	7.217916666666666	1.3238823943823548	-1.0	0.5175842521503204	-0.9501343718580615
PEPCK_re	5.713589604884015	0.9976792975680668	5.713589604884015	0.002320702431933	0.8956733333333333	0.2216948473816105	0.0	0.0	1.0	inf	inf
CSm	-2.740807104822926	0.0259312104869145	-2.740807104822926	0.9740687895130856	62.56732333333334	6.494093675919854	98.48205	17.35629268613164	-1.0	0.6353170281623234	-0.6544514072202275
ACONTm_f	-2.68512825921289	0.0274675755342211	-2.68512825921289	0.9725324244657788	5.524743333333333	0.8719669890285731	13.00613	3.84263400397002	-1.0	0.4247799563231594	-1.2352124021808077
ACONTm_b	-2.68512825921289	0.0274675755342211	-2.68512825921289	0.9725324244657788	5.524743333333333	0.8719669890285731	13.00613	3.84263400397002	-1.0	0.4247799563231594	-1.2352124021808077
ICDHxm	-3.766217859002105	0.0098343577847855	-3.766217859002105	0.9901656422152144	3.419033333333333	0.1935927950335159	7.210633333333334	1.4105213105404997	-1.0	0.4741654685903688	-1.0765374934495813
ICDHym_f	-2.012854431835375	0.05721293480347	-2.012854431835375	0.94278706519653	94.42838666666668	22.62408337098225	127.27230000000002	4.543705884348887	0.0	0.7419398146074729	-0.43062593322859344
ICDHym_b	-2.012854431835375	0.05721293480347	-2.012854431835375	0.94278706519653	94.42838666666668	22.62408337098225	127.27230000000002	4.543705884348887	0.0	0.7419398146074729	-0.43062593322859344
AKGDm	2.9379896463568502	0.9787629439521296	2.9379896463568502	0.0212370560478703	9.33438	0.8943764313009748	6.173923333333332	1.230626432251297	1.0	1.5119040998781437	0.5963666322719161
SUCOAS1m_f	-3.646902222913825	0.0109155479328226	-3.646902222913825	0.9890844520671772	1.1470066666666667	0.2725633295625481	2.143963333333333	0.2741759407549992	-1.0	0.5349936021915799	-0.9024064559748297
SUCOAS1m_b	-3.646902222913825	0.0109155479328226	-3.646902222913825	0.9890844520671772	1.1470066666666667	0.2725633295625481	2.143963333333333	0.2741759407549992	-1.0	0.5349936021915799	-0.9024064559748297
SUCD1m	0.1663160983109887	0.5620117151078222	0.1663160983109887	0.4379882848921778	18.411526666666667	2.956023863518169	17.871723333333332	3.51146278110546	0.0	1.0302043246342407	0.04293050139134947
FUMm_f	6.648683400771204	0.9986714928498788	6.648683400771204	0.0013285071501211	77.67360333333333	8.47427954402549	36.53460666666666	2.181260373535346	1.0	2.1260281804046612	1.08816071985143
FUMm_b	6.648683400771204	0.9986714928498788	6.648683400771204	0.0013285071501211	77.67360333333333	8.47427954402549	36.53460666666666	2.181260373535346	1.0	2.1260281804046612	1.08816071985143
MDHm_f	-1.6666573266215892	0.0854553013131011	-1.6666573266215892	0.9145446986868988	159.29001333333335	41.51728970997853	217.65714333333327	27.00336811073554	0.0	0.7318391250287937	-0.4504015488794446
MDHm_b	-1.6666573266215892	0.0854553013131011	-1.6666573266215892	0.9145446986868988	159.29001333333335	41.51728970997853	217.65714333333327	27.00336811073554	0.0	0.7318391250287937	-0.4504015488794446
ME1m	-3.166641216455365	0.016983486616376	-3.166641216455365	0.983016513383624	2.384703333333333	0.1994559136473242	3.153513333333333	0.2794736744111847	-1.0	0.7562052483262054	-0.40315023272445494
ME2m	-3.61238489746069	0.0112544290860423	-3.61238489746069	0.9887455709139578	0.0288133333333333	0.0379824848523046	0.1480233333333333	0.02711785922393	-1.0	0.19465399599162272	-2.3610161332583015
ME2	-9.491689204223253	0.0003437752780604	-9.491689204223253	0.9996562247219396	1.3385166666666664	0.1951890245092917	3.268826666666667	0.2112313594668702	-1.0	0.40947924229693006	-1.2881377756079353
ACITL	6.704440016234079	0.9987121787599578	6.704440016234079	0.0012878212400422	71.74485	6.27081249295496	31.939173333333333	5.583714306100874	1.0	2.2462963975690458	1.1675483031126082
FUM_f	6.648683400771204	0.9986714928498788	6.648683400771204	0.0013285071501211	77.67360333333333	8.47427954402549	36.53460666666666	2.181260373535346	1.0	2.1260281804046612	1.08816071985143
FUM_b	6.648683400771204	0.9986714928498788	6.648683400771204	0.0013285071501211	77.67360333333333	8.47427954402549	36.53460666666666	2.181260373535346	1.0	2.1260281804046612	1.08816071985143
MDH_f	1.3933954549492038	0.8820322137531416	1.3933954549492038	0.1179677862468584	109.0522	12.347004519391197	95.97335	4.874149574089824	0.0	1.1362758515775473	0.1843131177579617
MDH_b	1.3933954549492038	0.8820322137531416	1.3933954549492038	0.1179677862468584	109.0522	12.347004519391197	95.97335	4.874149574089824	0.0	1.1362758515775473	0.1843131177579617
AKGMALtm_f	4.208058895906402	0.9931963146937798	4.208058895906402	0.0068036853062202	355.67994666666664	10.557831775139984	262.0721833333333	29.6344650997813	1.0	1.3571831323062329	0.4406154047980058
AKGMALtm_b	4.208058895906402	0.9931963146937798	4.208058895906402	0.0068036853062202	355.67994666666664	10.557831775139984	262.0721833333333	29.6344650997813	1.0	1.3571831323062329	0.4406154047980058
ACONT	-7.525024239952237	0.0008348608964485	-7.525024239952237	0.9991651391035514	0.6552933333333334	0.1688691182214465	2.8454833333333336	0.3753775825603986	-1.0	0.2302924517803068	-2.118460969720921
ICDHyr	-1.3372962538722788	0.1260528072455103	-1.3372962538722788	0.8739471927544896	18.21964333333333	3.6888353002841177	21.745516666666663	0.5435828011955088	0.0	0.8378574587405373	-0.2552232698885185
PPA	3.7786462953377504	0.9902707319787084	3.7786462953377504	0.0097292680212916	161.15845000000002	25.674296665151324	91.28341333333331	4.974401956713546	1.0	1.7654735303500195	0.8200551910102678
Complex1ROS	-3.4349886130529668	0.0132073190823454	-3.4349886130529668	0.9867926809176546	0.2823566666666666	0.0882765881886144	0.5608066666666667	0.0731410857331378	-1.0	0.5034830779472426	-0.9899848047821275
FADH2ETC	-14.675427212170748	6.272388863504392e-05	-14.675427212170748	0.999937276111365	2.67759	0.2272488118047411	6.330836666666666	0.268880174592492	-1.0	0.42294409743630523	-1.2414611069112953
CYOR_u10mi	9.477424070770336	0.9996542242268448	9.477424070770336	0.0003457757731552	40.990476666666666	4.155480939869925	10.808703333333334	1.736459134221771	1.0	3.7923583803299254	1.9230953062968166
CYOOm2i	1.9406101621820533	0.9378549010896908	1.9406101621820533	0.0621450989103092	110.64236	19.256786918410526	79.87480333333333	11.485272880999483	0.0	1.3851972760204188	0.47009145560208354
ATPS4mi	2.450716385526678	0.9648045144179344	2.450716385526678	0.0351954855820657	55.029203333333335	19.644755480796626	19.04692	6.725070075411853	1.0	2.8891392064088754	1.5306397184602811
GLUCYS	-4.201378481889893	0.0068403167783024	-4.201378481889893	0.9931596832216976	2.3872066666666667	0.449067684158586	3.833243333333333	0.1877764582925369	-1.0	0.6227641866374255	-0.6832421132934484
GTHS	7.1060453407762605	0.9989640426147204	7.1060453407762605	0.0010359573852795	46.39675666666667	1.0054114631775837	33.428149999999995	2.377072511991729	1.0	1.3879546629612072	0.47296044357231226
SPODMm	2.6371119090203865	0.971122702371612	2.6371119090203865	0.0288772976283878	5.281216666666666	0.924000431830106	3.46724	0.3042028732058042	1.0	1.5231759747426385	0.6070826281170766
GTHPi	2.9041340479664544	0.9780322428628742	2.9041340479664544	0.0219677571371259	2041.61197	186.93731624498847	1638.2625133333331	60.284405349873154	1.0	1.2462056315052839	0.31754214145656356
GTHPm	3.0826776844644868	0.9815822339714162	3.0826776844644868	0.0184177660285838	1673.23915	242.72419270962217	1127.7504700000002	60.906538670261526	1.0	1.4836962559634312	0.5691957719670514
GDR	-0.6618508439778882	0.2721251137320256	-0.6618508439778882	0.7278748862679744	18.25948	3.285410259688533	20.04368333333333	1.934043384076192	0.0	0.9109842585486202	-0.13450196985021398
GTHOr	-0.6618508439778882	0.2721251137320256	-0.6618508439778882	0.7278748862679744	18.25948	3.285410259688533	20.04368333333333	1.934043384076192	0.0	0.9109842585486202	-0.13450196985021398
GDRm	-0.6618508439778882	0.2721251137320256	-0.6618508439778882	0.7278748862679744	18.25948	3.285410259688533	20.04368333333333	1.934043384076192	0.0	0.9109842585486202	-0.13450196985021398
GTHOm	-0.6618508439778882	0.2721251137320256	-0.6618508439778882	0.7278748862679744	18.25948	3.285410259688533	20.04368333333333	1.934043384076192	0.0	0.9109842585486202	-0.13450196985021398
r0885	10.772862980681731	0.999789500070718	10.772862980681731	0.0002104999292821	98.73829	7.584394991524816	27.635996666666667	5.440622919913574	1.0	3.5728145140172862	1.8370610170148038
PYRt2m_f	5.246972021984388	0.9968448990741624	5.246972021984388	0.0031551009258374	109.67295333333334	14.782313472480848	51.494773333333335	5.231502543249141	1.0	2.1297880587492632	1.09070987091837
PYRt2m_b	5.246972021984388	0.9968448990741624	5.246972021984388	0.0031551009258374	109.67295333333334	14.782313472480848	51.494773333333335	5.231502543249141	1.0	2.1297880587492632	1.09070987091837
HMR_4964	-0.4115786228815066	0.3508732130276539	-0.4115786228815066	0.649126786972346	676.97581	117.14826566299853	714.17486	51.126088242319085	0.0	0.9479132463441797	-0.07717306613954221
r2420	-2.1263206090076725	0.0503117833436419	-2.1263206090076725	0.9496882166563582	391.41373	54.58222064458779	473.75505	4.472133643650053	0.0	0.8261943170843244	-0.2754469581288894
ATPtm	-18.917077758932056	2.2996270006060497e-05	-18.917077758932056	0.999977003729994	1088.1770966666666	127.05221560059503	4005.800523333333	177.29327991303137	-1.0	0.2716503456245908	-1.8801772123155782
FUMtm_f	10.772862980681731	0.999789500070718	10.772862980681731	0.0002104999292821	98.73829	7.584394991524816	27.635996666666667	5.440622919913574	1.0	3.5728145140172862	1.8370610170148038
FUMtm_b	10.772862980681731	0.999789500070718	10.772862980681731	0.0002104999292821	98.73829	7.584394991524816	27.635996666666667	5.440622919913574	1.0	3.5728145140172862	1.8370610170148038
CO2tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
CO2tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
O2tm					1.0	0.0	1.0	0.0	0.0	1.0	0.0
r0801_f	0.450927638753698	0.6622971995981842	0.450927638753698	0.3377028004018158	23.47272	8.783880639182208	20.19509333333333	5.339422960722336	0.0	1.162298168796117	0.21698021630065137
r0801_b	0.450927638753698	0.6622971995981842	0.450927638753698	0.3377028004018158	23.47272	8.783880639182208	20.19509333333333	5.339422960722336	0.0	1.162298168796117	0.21698021630065137
THD1m	-6.593228985666815	0.0013705544049022	-6.593228985666815	0.9986294455950976	0.3675366666666666	0.1750184326165548	4.05622	0.7716032413531368	-1.0	0.09061063420294428	-3.4641758126650117
H2Otm_f	-1.4099671980439312	0.1156791253729074	-1.4099671980439312	0.8843208746270925	0.0424133333333333	0.0303661767249169	0.11733	0.0687332471709773	0.0	0.361487542259723	-1.4679821656357455
H2Otm_b	-1.4099671980439312	0.1156791253729074	-1.4099671980439312	0.8843208746270925	0.0424133333333333	0.0303661767249169	0.11733	0.0687332471709773	0.0	0.361487542259723	-1.4679821656357455
NH4tm_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
NH4tm_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
HCO3E	-7.402001158433883	0.0008884758258254	-7.402001158433883	0.9991115241741746	16.852446666666665	2.1622438326937647	34.93922	2.695563823037152	-1.0	0.48233608725857835	-1.0518893416788475
HCO3Em	-3.65796858922548	0.0108094886832178	-3.65796858922548	0.9891905113167824	0.24128	0.0272992393056412	0.3426333333333333	0.0281099227241121	-1.0	0.7041930148847165	-0.5059571781679424
GLUN	-2.418867237588368	0.0364261253455861	-2.418867237588368	0.9635738746544138	3.75809	0.5257760489029526	6.406666666666666	1.4565230277692909	-1.0	0.5865905306971905	-0.7695743129613828
GLNS	3.4178454195415284	0.9865833924611478	3.4178454195415284	0.0134166075388522	356.25101333333333	106.89903748657868	96.15372333333332	12.447863522694254	1.0	3.7050152712061735	1.8894794889948097
GLUt2m	2.342155630467099	0.960404288831592	2.342155630467099	0.0395957111684079	106.46234666666663	27.9912185652588	59.86750666666666	2.834433895346458	1.0	1.7782993245306356	0.8304981800004332
GLNtm_1					1.0	0.0	1.0	0.0	0.0	1.0	0.0
GLUNm	-2.4025544120852027	0.0370753226147103	-2.4025544120852027	0.9629246773852896	3.873653333333333	0.5130781988698756	6.546756666666667	1.4874635212408478	-1.0	0.5916904401008742	-0.757085509129295
GLUPRT	-4.42996474452834	0.0057111607620622	-4.42996474452834	0.9942888392379376	6.405283333333333	0.7469222034604553	11.912493333333332	1.5915597892284437	-1.0	0.5376945996192234	-0.8951411130297757
PRAGSr	-4.81314416389937	0.0042828335791181	-4.81314416389937	0.995717166420882	17.341826666666666	1.2378112682293516	40.22538333333333	6.608800264124262	-1.0	0.4311165047940293	-1.2138502994117928
GARFT	-4.81314416389937	0.0042828335791181	-4.81314416389937	0.995717166420882	17.341826666666666	1.2378112682293516	40.22538333333333	6.608800264124262	-1.0	0.4311165047940293	-1.2138502994117928
PRFGS	-0.903953738601332	0.2085694563798888	-0.903953738601332	0.7914305436201112	21.00678333333333	3.9684162600239183	24.302983333333334	3.293100489531948	0.0	0.8643705608159217	-0.21027815791452817
PRAIS	-4.81314416389937	0.0042828335791181	-4.81314416389937	0.995717166420882	17.341826666666666	1.2378112682293516	40.22538333333333	6.608800264124262	-1.0	0.4311165047940293	-1.2138502994117928
AIRCr	-3.706063713378572	0.0103626055006014	-3.706063713378572	0.9896373944993984	141.06354000000002	10.118107080569304	171.01986666666667	5.319356276808519	-1.0	0.8248371534223315	-0.2778187769110376
PRASCSi	-3.706063713378572	0.0103626055006014	-3.706063713378572	0.9896373944993984	141.06354000000002	10.118107080569304	171.01986666666667	5.319356276808519	-1.0	0.8248371534223315	-0.2778187769110376
ADSL2r	-1.195785520456286	0.148910104236248	-1.195785520456286	0.851089895763752	1.5962500000000002	0.2016641584417023	1.77016	0.0404314168273468	0.0	0.9017546436480319	-0.14919314759729155
AICART	-12.594048874208482	0.0001143990959573	-12.594048874208482	0.9998856009040428	20.70601333333333	1.3017607375994855	75.56781	6.021446982561582	-1.0	0.2740057351580433	-1.8677220046304817
IMPC	-12.594048874208482	0.0001143990959573	-12.594048874208482	0.9998856009040428	20.70601333333333	1.3017607375994855	75.56781	6.021446982561582	-1.0	0.2740057351580433	-1.8677220046304817
ADSS	-20.5433841743477	1.658073865799574e-05	-20.5433841743477	0.999983419261342	8.064100000000002	0.3541704072900504	15.598926666666664	0.3789631215420423	-1.0	0.5169650561427519	-0.9518613289184255
ADSL1r	-1.195785520456286	0.148910104236248	-1.195785520456286	0.851089895763752	1.5962500000000002	0.2016641584417023	1.77016	0.0404314168273468	0.0	0.9017546436480319	-0.14919314759729155
IMPDH2	1.1852723044161655	0.8492429705504689	1.1852723044161655	0.150757029449531	562.84782	41.458913017945854	508.74898666666667	49.47363581541544	0.0	1.1063369849398421	0.14579089050214378
GMPS	-5.265912681432351	0.0031147059624179	-5.265912681432351	0.996885294037582	24.93334	2.2581606030277523	37.29918333333334	2.435068609934615	-1.0	0.6684687913184872	-0.5810678878388356
GMPS2	-5.265912681432351	0.0031147059624179	-5.265912681432351	0.996885294037582	24.93334	2.2581606030277523	37.29918333333334	2.435068609934615	-1.0	0.6684687913184872	-0.5810678878388356
GK1	3.07860846764863	0.9815091817339164	3.07860846764863	0.0184908182660833	204.6620533333333	31.22307109195841	136.10994333333332	4.096300944676262	1.0	1.5036524762347143	0.5884711702425112
RNDR2	-4.464418692922691	0.0055611833330282	-4.464418692922691	0.994438816666972	10.058383333333332	1.9337847602449336	41.32658666666666	9.714362368364116	-1.0	0.24338771102638046	-2.038671768614183
ADK1	2.121227242234558	0.9493989422503292	2.121227242234558	0.0506010577496707	36.33220333333333	1.3513303206429177	34.06773333333334	0.6731563577819206	0.0	1.0664696408723013	0.09284289714929371
RNDR1	-4.464418692922691	0.0055611833330282	-4.464418692922691	0.994438816666972	10.058383333333332	1.9337847602449336	41.32658666666666	9.714362368364116	-1.0	0.24338771102638046	-2.038671768614183
