Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_ile__L_e_r	999906206087.5	1.0	999906206087.5	0.0	0.06729741815999865	0.06974	0.010220082248984469	0.018089601020002562	0.01836	0.0036449618501921584
EX_met__L_e_r	999987342889.0	1.0	999987342889.0	0.0	0.05255023292999805	0.05226	0.011129311828060711	0.011140329249997997	0.01127	0.002186361619236914
EX_gly_e_r	878072202961.0	1.0	878072202961.0	0.0	0.1358394775000007	0.14601	0.06470995292525349	0.04351758983999689	0.04122	0.026763047051215946
EX_phe__L_e_r	999752656181.0	1.0	999752656181.0	0.0	0.08018702636999886	0.07965	0.016730979581407405	0.021642107000005763	0.02149	0.0052834904567743
EX_ser__L_e_r	815550979116.0	1.0	815550979116.0	0.0	0.11812360167999439	0.11628	0.07017716601546325	0.04233128334999822	0.03619	0.03096921729067146
EX_ala__L_e_f	349823936505.0	0.0	349823936505.0	1.0	0.408813095330011	0.29364	0.3870235067862232	0.7315242472899971	0.53696	0.6775319294754878
EX_ala__L_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	1724969910.5	0.0	1724969910.5	1.0	0.0001714492800007591	0.00018	4.396126158417996e-05	0.000983972390001566	0.00104	0.00022998443797471905
EX_urea_e	832768241628.5	1.0	832768241628.5	0.0	0.06807535737999902	0.05829	0.04954328938539321	0.01793482646999756	0.01547	0.013065145485321264
EX_pyr_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
PYRt2	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	805664176362.0	1.0	805664176362.0	0.0	0.06188056385999931	0.05002	0.049191629480301105	0.017659378709996298	0.01535	0.012750484012801332
EX_hdca_e_f	999999996214.5	1.0	999999996214.5	0.0	6.949538924259874	7.03926	0.8797183228267974	0.5149686934700123	0.39651499999999995	0.4428896616714404
EX_hdca_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcIN_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	999665080286.0	1.0	999665080286.0	0.0	0.1704473510599993	0.17693	0.0512399199621091	0.01050560507999548	0.00829	0.00875087802353366
EX_biomassx	999906209492.5	1.0	999906209492.5	0.0	0.23524151385000938	0.2438	0.03572480083601329	0.06323310698000006	0.06419	0.012741161549790632
EX_h2o2_e	726520313801.5	1.0	726520313801.5	0.0	0.90895534561998	0.815395	0.6152355833612164	0.4473712865199892	0.36861	0.3504505269076851
EX_gthox_e	571215748984.0	1.0	571215748984.0	0.0	0.6344268691399924	0.51148	0.49377582275242926	0.49156653330998146	0.4087	0.366488634998382
EX_2obut_e	995699318846.0	1.0	995699318846.0	0.0	0.22823949227001078	0.22878	0.11650708731992626	0.005271315580000613	0.00442	0.004025115056194362
EX_crn_e	500000.0	0.0	500000.0	1.0	0.0	0.0	0.0	2.2450199159800377	1.96926	1.5620938707500804
EX_val__L_e_r	985603331659.5	1.0	985603331659.5	0.0	0.31574090031000157	0.32731	0.06238528420817989	0.1479415838999936	0.15341	0.02365048532904825
EX_spmd_e	169508519379.5	0.0	169508519379.5	1.0	0.003237396540003312	0.00278	0.002352928365817923	0.012666830739994849	0.0104	0.009939440887891995
EX_sprm_e	55811919459.5	0.0	55811919459.5	1.0	0.0019468585600020381	0.00183	0.0012369556066464619	0.01679520382999773	0.01514	0.011083568184575407
EX_5mthf_e	1724969910.5	0.0	1724969910.5	1.0	0.0001714492800007591	0.00018	4.396126158417996e-05	0.000983972390001566	0.00104	0.00022998443797471905
EX_tmlys_e_r	500000.0	0.0	500000.0	1.0	0.0	0.0	0.0	2.2450199159800377	1.96926	1.5620938707500804
EX_thbpt_e_r	854515033354.5	1.0	854515033354.5	0.0	0.019149853499997285	0.01845	0.01174045905103223	0.005235263890001706	0.00486	0.003286687270835626
EX_CE2705_e	854515033354.5	1.0	854515033354.5	0.0	0.019149853499997285	0.01845	0.01174045905103223	0.005235263890001706	0.00486	0.003286687270835626
EX_crtn_e	929267334516.5	1.0	929267334516.5	0.0	0.07405818655999984	0.06465	0.045368022230526064	0.016721147529995723	0.01423	0.01207700601520604
EX_his__L_e_r	514907459766.0	1.0	514907459766.0	3.128896766454086e-292	0.10268373613999723	0.10452	0.05775307444862289	0.09966386168000263	0.09941	0.05852205556010385
EX_lys__L_e_r	999836189774.0	1.0	999836189774.0	0.0	0.14323836874000148	0.14832	0.02130599610306939	0.043688115279997705	0.04424	0.008467864825099926
EX_carn_e_r	12564274054.0	0.0	12564274054.0	1.0	5.212680086249967	5.14187	0.9587688092511899	8.361850730199675	8.3512	0.9254572766326112
EX_csn_e_r	426823576768.5	0.0	426823576768.5	1.0	6.2422121512602065	6.029955	3.6494683440422238	9.296511913760247	6.971865	8.291973893182172
EX_cys__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	700873742353.5	1.0	700873742353.5	0.0	0.18493825563999536	0.18833	0.06955519945989752	0.13407810086999372	0.12793	0.06830651997986968
EX_tcyntc	646990196219.0	1.0	646990196219.0	0.0	0.10231155476000132	0.09388	0.06835360270513753	0.06921703897000232	0.05313	0.05899605839872757
EX_tcynt_e	587291213555.5	1.0	587291213555.5	0.0	0.08262670141999749	0.0701	0.062037695957488	0.06486105294000054	0.04979	0.05454206679341242
EX_so3_e	225696307424.0	0.0	225696307424.0	1.0	0.07192594989999881	0.07661	0.026396151292709943	0.13169354689000098	0.12602	0.06756156288111531
EX_thr__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	0.2999086249400026	0.30136	0.1145756848106968	0.027674163740006235	0.02854	0.004080242993382486
EX_trp__L_e_r	784075427033.5	1.0	784075427033.5	0.0	0.01696863889999765	0.01553	0.009372161155187865	0.008142495259998167	0.00845	0.0031816778082261045
EX_anth_e	762897041721.0	1.0	762897041721.0	0.0	0.013838518489996175	0.01236	0.009362483944218283	0.0055671479300014775	0.00589	0.002740154429122765
EX_tyr__L_e_r	826033029688.0	1.0	826033029688.0	0.0	0.01853261792999726	0.01797	0.011659937688826937	0.005702969749998967	0.00561	0.0033452937143811424
EX_cystinex_r	461974384619.0	0.0	461974384619.0	1.0	0.17561273926999788	0.18045	0.020831129747641813	0.1783169307000018	0.1835	0.019444543151702864
EX_3hydroxybutanoatex_r	999999853111.0	1.0	999999853111.0	0.0	50.547230063510554	51.23193	6.834060446177377	9.448390741520203	9.15897	2.8518574492514555
EX_gthrd_e_r	568632214773.5	1.0	568632214773.5	0.0	1.2162040593199361	0.96923	0.9860654337289774	0.9379628029000008	0.769315	0.7337334810489028
EX_cmp_e_r	885802494720.5	1.0	885802494720.5	0.0	0.005244362749999966	0.00494	0.0030103510929336275	0.0014489782800013416	0.00134	0.0009414951855965035
HEX1	316011192407.5	0.0	316011192407.5	1.0	8.904998777659975	7.11801	6.180235852212309	16.78034159005003	12.767824999999998	13.562679018123072
G6PP	299739451532.0	0.0	299739451532.0	1.0	6.464436362259985	4.653905	6.152687239546	14.692441841229687	10.671615	13.537257887480454
PGI	361624197166.5	0.0	361624197166.5	1.0	0.6804438342600109	0.53068	0.5549465926419563	0.9637556119100138	0.9054249999999999	0.6214283543908851
PFK	292568853253.0	0.0	292568853253.0	1.0	7.433412962719912	5.652365	6.119509419225339	15.96231954814052	12.12992	13.771935620683402
FBP	287315170220.5	0.0	287315170220.5	1.0	6.4879989798500075	4.678965	6.101735316210946	15.124298065670052	11.26484	13.763526200161895
FBA	556024687695.5	1.0	556024687695.5	0.0	0.9454139877100243	0.92969	0.5635640238396874	0.838021489539981	0.77315	0.5343870802529711
TPI	576853282805.5	1.0	576853282805.5	0.0	1.780910675630024	1.81215	0.34242056185661757	1.6640797720500131	1.66677	0.48546705024251835
GAPD	630150742538.5	1.0	630150742538.5	0.0	4.112054771660153	4.26754	0.7279540608188273	3.6783216163400256	3.71384	1.0347260533542801
PGK	458363258617.5	0.0	458363258617.5	1.0	2.363192815140018	2.37726	1.2386875840250338	2.5579471379100207	2.55293	1.1581597165532393
DPGM	654025767350.5	1.0	654025767350.5	0.0	1.7488619567400105	1.598405	1.1806892841462153	1.1203744781500002	0.940655	0.8512278788912566
DPGase	654025767350.5	1.0	654025767350.5	0.0	1.7488619567400105	1.598405	1.1806892841462153	1.1203744781500002	0.940655	0.8512278788912566
PGM_f	986709178270.0	1.0	986709178270.0	0.0	6.237649448730051	6.06406	1.6308177353089477	2.577105329109952	2.7562550000000003	0.7621019262824957
ENO_f	293099604351.5	0.0	293099604351.5	1.0	5.560721372670038	5.63444	1.0338300871500994	7.401148104139873	7.41602	2.7920007467269814
PYK	2037111.0	0.0	2037111.0	1.0	3.5373822915200797	3.65099	0.7800409639028455	30.610361624480717	27.650925	12.274043988831178
LDH_L	732673944449.0	1.0	732673944449.0	0.0	4.125009051619845	4.29911	0.70423992556512	3.3977873526800133	3.43646	0.9308277177739893
r0407	507913041394.0	1.0	507913041394.0	5.3794975742509935e-84	0.8354966915699932	0.7905	0.514625548789568	0.8260582804000156	0.76196	0.526620013146666
PRPPS	322017300966.0	0.0	322017300966.0	1.0	0.04468126758999842	0.0442	0.009476983642285948	0.0562565257100018	0.05472	0.02005742282149963
G6PDH2r	728550493840.5	1.0	728550493840.5	0.0	1.6953815247199662	1.78505	0.6733301738628106	1.106742759860041	1.02157	0.7073334618844062
PGL	728550493840.5	1.0	728550493840.5	0.0	1.6953815247199662	1.78505	0.6733301738628106	1.106742759860041	1.02157	0.7073334618844062
GND	728550493840.5	1.0	728550493840.5	0.0	1.6953815247199662	1.78505	0.6733301738628106	1.106742759860041	1.02157	0.7073334618844062
RPI	721077666695.5	1.0	721077666695.5	0.0	0.5949146891200063	0.62522	0.2247997499840618	0.40641860536998925	0.37745	0.2359359310725407
TKT2_f	666323052069.5	1.0	666323052069.5	0.0	0.621398360790013	0.6502	0.23143112267277546	0.4847874956800064	0.4626	0.24441337948171238
RPE_f	792737291720.5	1.0	792737291720.5	0.0	1.3263019523100443	1.383115	0.4575404012242323	0.7802810416099877	0.72637	0.4723279039634028
TKT1_f	693086497230.5	1.0	693086497230.5	0.0	0.6117949309900008	0.64084	0.22496659996890836	0.45002513929998617	0.42414	0.24224973050253326
TALA_f	330637108928.0	0.0	330637108928.0	1.0	1.773164124400031	1.8799	0.6561465234676725	2.4313282319700575	2.50418	1.2136637840889344
r0408	507913041394.0	1.0	507913041394.0	5.3794975742509935e-84	0.8354966915699932	0.7905	0.514625548789568	0.8260582804000156	0.76196	0.526620013146666
PDHm	1177758661.5	0.0	1177758661.5	1.0	1.8874048204500462	1.83762	0.6812357268652778	7.616916433570332	7.501605	1.9954641028987423
PCm	797775818930.5	1.0	797775818930.5	0.0	115.30144817830067	116.993065	24.338946983027068	87.7648989182787	89.71515	21.861836250312503
PEPCK_re	0.0	0.0	0.0	1.0	0.0	0.0	0.0	28.9477988400195	25.97333	12.262250402699127
CSm	999995980750.0	1.0	999995980750.0	0.0	103.95942274092504	105.388835	13.719051335122188	30.761238089619955	30.347115000000002	6.139873453594082
ACONTm_f	682727768372.5	1.0	682727768372.5	0.0	24.471643129328868	24.2856	13.590899156199708	15.908156694099919	16.57175	3.320535142535868
ICDHxm	521116308404.0	1.0	521116308404.0	0.0	26.027709914291595	19.10423	24.16151008358098	20.539753749940225	19.497905000000003	12.62557812815125
ICDHym_f	418938207717.5	0.0	418938207717.5	1.0	45.690439996329914	40.617385	32.144111026950384	51.505444660622125	51.936989999999994	20.666265790692023
AKGDm	998836545738.5	1.0	998836545738.5	0.0	49.983523546328215	50.6551	6.823085652569143	24.185425194900027	24.24611	3.9734210936216865
SUCOAS1m_f	576033037586.0	1.0	576033037586.0	0.0	73.24147844463157	68.44551	45.90209488003211	58.76334777810783	58.20894	26.33907321383381
SUCD1m	995774494481.0	1.0	995774494481.0	0.0	50.23098215801845	50.905215	6.819361165040747	28.80520517316837	28.861155	3.2583073168861754
FUMm_f	233940841312.0	0.0	233940841312.0	1.0	130.10950999127533	138.75574	49.64851839429891	248.8068368225435	266.75684	129.68640825482137
MDHm_f	757444690990.5	1.0	757444690990.5	0.0	469.329734194529	458.20359	270.9703945254821	227.50800989008485	162.11837500000001	194.0437165887275
ME1m	83534731661.0	0.0	83534731661.0	1.0	6.277649186119955	4.557425	5.898199057399236	37.58058504791045	36.164384999999996	23.019365458119992
ME2m	475950508175.0	0.0	475950508175.0	1.0	7.181041189790126	4.99101	7.025920886816959	6.166876224539663	6.25961	3.4446908658309283
ME2	998206831802.5	1.0	998206831802.5	0.0	104.17334488935958	106.27701	22.632949935057656	20.69051613979049	18.56735	13.598703683393836
ACITL	999999957583.0	1.0	999999957583.0	0.0	57.118194985259905	57.88771	7.064194092173401	8.497766288289917	7.90285	4.52589521966534
FUM_f	560926870493.0	1.0	560926870493.0	0.0	150.40244909171588	149.28908	35.28072192488904	141.68443158032522	136.50669	58.78349667812314
MDH_f	353433122165.0	0.0	353433122165.0	1.0	197.9797711850613	200.58035	107.92032407706199	254.33342349195152	271.62957	109.67168816826721
AKGMALtm_f	519027148457.5	1.0	519027148457.5	0.0	277.94210839823495	266.12429	133.8051106074734	272.399807635213	253.57042	161.14610989176504
ACONT	999971018040.5	1.0	999971018040.5	0.0	56.14613722406807	58.28052	6.97712581357764	10.458761777729443	11.174585	3.132979032242182
ICDHyr	999971018040.5	1.0	999971018040.5	0.0	56.14613722406807	58.28052	6.97712581357764	10.458761777729443	11.174585	3.132979032242182
PPA	76774605397.5	0.0	76774605397.5	1.0	12.032497197910239	11.380984999999999	4.893498559004314	27.501569415429948	26.55217	10.265343166079434
Complex1ROS	953220153924.5	1.0	953220153924.5	0.0	100.67053826433833	102.219165	13.123574536496017	70.23412286790253	71.24180000000001	11.858761548470484
FADH2ETC	722961463466.0	1.0	722961463466.0	0.0	54.26166712430957	54.775774999999996	7.48117210153061	46.898360111960045	44.656065	12.587545154956372
CYOR_u10mi	941135799934.0	1.0	941135799934.0	0.0	149.90968726698713	151.98029	18.99592675977248	113.62364177807103	114.503465	10.753429127408346
CYOOm2i	941135800096.0	1.0	941135800096.0	0.0	74.95484363201076	75.990145	9.4979633767737	56.811820892601254	57.251735	5.376714568565567
ATPS4mi	917263869410.5	1.0	917263869410.5	0.0	280.01212615850693	284.32306500000004	37.61476953445164	215.2396875955507	215.85029500000002	23.386721466898717
GLUCYS	559697924347.5	1.0	559697924347.5	0.0	0.052649692079999824	0.04194	0.043060066767871545	0.04517027376999693	0.03289	0.0420877246424283
GTHS	559697924347.5	1.0	559697924347.5	0.0	0.052649692079999824	0.04194	0.043060066767871545	0.04517027376999693	0.03289	0.0420877246424283
SPODMm	953220152122.0	1.0	953220152122.0	0.0	2.5167634565399792	2.55548	0.3280893637613327	1.7558530768800518	1.781045	0.2964690408143747
GTHPi	790588153864.5	1.0	790588153864.5	0.0	0.02838249336999781	0.02852	0.015848381708560275	0.012347706479994905	0.0101	0.009675096512276379
GTHPm	655537200369.0	1.0	655537200369.0	0.0	1.6078081000400637	1.6447	0.6038132234582275	1.3084817852600001	1.32987	0.3973214066830176
GDR	497931496776.0	2.0230476066772329e-07	497931496776.0	0.9999997976952419	0.04325929970999897	0.03538	0.033781074391619696	0.04401178805999791	0.03528	0.03505552148140414
GTHOr	630406950193.0	1.0	630406950193.0	0.0	0.05570777353999591	0.04892	0.04022552428092391	0.03808340352000001	0.03023	0.030985647717615437
GDRm	481688722139.5	0.0	481688722139.5	1.0	0.43725654441001865	0.330365	0.3861564822872822	0.4370691749600174	0.36174	0.3361320595506203
GTHOm	551356183027.0	1.0	551356183027.0	0.0	0.5361246755499981	0.35991	0.5256584712952571	0.3798460643399881	0.31964	0.29457267743252347
r0885	571215751504.0	1.0	571215751504.0	0.0	1.2688537570399385	1.0229650000000001	0.9875516454013663	0.9831330810199548	0.8174	0.7329772647598525
PYRt2m_f	484134742453.0	0.0	484134742453.0	1.0	153.98166598785585	153.911245	35.73143310462163	155.87721281951474	158.37827	56.83579945532801
HMR_4964	1000000000000.0	1.0	1000000000000.0	0.0	113.26433221189863	114.65875	10.368276854382552	18.956528069350583	18.80223	5.810824457914113
r2420	187868609915.5	0.0	187868609915.5	1.0	62.93203143105942	63.006675	20.512941649737428	97.67521961760652	99.66655499999999	32.78194450186954
ATPtm	907011191412.5	1.0	907011191412.5	0.0	164.6010853258542	165.67229	19.72254218857377	127.4224242771312	128.56151499999999	19.933300143128218
FUMtm_f	121514879573.0	0.0	121514879573.0	1.0	32.81393275852009	30.096975	21.916989905421122	135.0322540670441	134.229915	78.8588281153937
CO2tm_f	550501628151.0	1.0	550501628151.0	0.0	188.0144509859345	184.39765	77.5200044073832	170.13274427111347	178.69621999999998	83.37610885689517
O2tm	942868567030.0	1.0	942868567030.0	0.0	77.47160709107919	78.546295	9.81710441918834	58.567673963257484	59.045635000000004	5.486676120672021
r0801_f	437977594548.5	0.0	437977594548.5	1.0	106.5379079231177	107.001535	56.1944193309314	122.0592650830554	119.540915	65.94297240980163
THD1m	858794099101.5	1.0	858794099101.5	0.0	54.649886437329556	47.408645	37.021942421983454	17.16365364622062	17.153945	10.333084641572347
H2Otm_f	852011123230.5	1.0	852011123230.5	0.0	26.77506281549053	23.86192	18.275391041148353	6.323794595119977	5.15765	5.105381753510331
NH4tm_f	427456287862.5	0.0	427456287862.5	1.0	110.21375179474047	117.804975	57.56159288946446	123.85342357606079	140.71215999999998	57.0407679147605
HCO3E	999999956311.0	1.0	999999956311.0	0.0	49.95255171778052	50.626535000000004	6.181472100845086	7.430315120779776	6.909675	3.9599177320501218
HCO3Em	798257241691.5	1.0	798257241691.5	0.0	115.41098077515288	117.10487	24.341342340690353	87.81693683174174	89.76449	21.860402970926
GLUN	289309514268.5	0.0	289309514268.5	1.0	6.41202475798014	4.470695	6.178228791663542	14.811207672490122	11.00164	13.407380612708405
GLNS	183935787774.0	0.0	183935787774.0	1.0	7.8852232135198665	6.14381	6.392084619979822	20.23233492257074	17.099595	13.740748115024989
GLUt2m	299657075515.5	0.0	299657075515.5	1.0	0.344259940370013	0.24267	0.3254945659215929	0.7882760704499955	0.56578	0.7325265919159208
GLNtm_1	284145804728.5	0.0	284145804728.5	1.0	0.31787201320998604	0.23183	0.29526354208804545	0.753187993569968	0.56339	0.6760407765066067
GLUNm	284145804728.5	0.0	284145804728.5	1.0	0.31787201320998604	0.23183	0.29526354208804545	0.753187993569968	0.56339	0.6760407765066067
GLUPRT	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
PRAGSr	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
GARFT	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
PRFGS	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
PRAIS	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
AIRCr	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
PRASCSi	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
ADSL2r	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
AICART	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
IMPC	999906190117.5	1.0	999906190117.5	0.0	0.02654136196001394	0.02751	0.004030690611834756	0.0071343378599979775	0.00724	0.0014375366870041672
ADSS	999906215691.5	1.0	999906215691.5	0.0	0.015716718709999355	0.01629	0.0023868128791994414	0.004224667030004237	0.00429	0.0008512541495728146
ADSL1r	999906215691.5	1.0	999906215691.5	0.0	0.015716718709999355	0.01629	0.0023868128791994414	0.004224667030004237	0.00429	0.0008512541495728146
IMPDH2	999906215408.0	1.0	999906215408.0	0.0	0.010824638589997609	0.01122	0.0016438811046809048	0.0029096768200037792	0.00295	0.0005862855784385539
GMPS	838854268847.5	1.0	838854268847.5	0.0	0.0052121474000007256	0.00485	0.0033490222683092404	0.0014837508800015582	0.00145	0.0008906789696679885
GMPS2	870274427473.0	1.0	870274427473.0	0.0	0.005612491019998517	0.00552	0.0033226570336806487	0.0014259274400014222	0.00134	0.0008861828574147676
GK1	999906215408.0	1.0	999906215408.0	0.0	0.010824638589997609	0.01122	0.0016438811046809048	0.0029096768200037792	0.00295	0.0005862855784385539
RNDR2	999906028582.0	1.0	999906028582.0	0.0	0.002328415100002809	0.00241	0.0003536056454992576	0.0006258891500007438	0.00064	0.00012614899970196132
ADK1	76629015396.5	0.0	76629015396.5	1.0	12.019418945389376	11.36779	4.893517396453425	27.498053970861147	26.54854	10.265329372236387
RNDR1	999906085238.5	1.0	999906085238.5	0.0	0.003101180860003849	0.00321	0.0004709636512270186	0.0008336006500009493	0.00085	0.00016799673164199315
CBPS	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
ASPCT	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
DHORTS	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
DHORD9	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
ORPT	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
OMPDC	851217147473.0	1.0	851217147473.0	0.0	0.01100879618999695	0.01059	0.007071088713036155	0.00286495203000308	0.0027	0.001841898630079448
UMPK	999810398838.5	1.0	999810398838.5	0.0	0.02181195118000719	0.02198	0.004433555571312976	0.005823781909999675	0.00576	0.00143475221936477
RNDR4	999906193716.5	1.0	999906193716.5	0.0	0.003079553750004218	0.00319	0.00046768132899089714	0.0008277851100009558	0.00084	0.00016682435791176488
TMDS	999906193716.5	1.0	999906193716.5	0.0	0.003079553750004218	0.00319	0.00046768132899089714	0.0008277851100009558	0.00084	0.00016682435791176488
URIDK2r	999906193716.5	1.0	999906193716.5	0.0	0.003079553750004218	0.00319	0.00046768132899089714	0.0008277851100009558	0.00084	0.00016682435791176488
NDPK2	999726236255.5	1.0	999726236255.5	0.0	0.01873239657000361	0.01883	0.0040923954241559495	0.0049959924800016325	0.00491	0.0013070925252151595
NDPK3_f	316674890910.5	0.0	316674890910.5	1.0	0.0013387162700012603	0.00134	0.0007741742117144824	0.001956445380002289	0.00198	0.000958716295477222
CYTK1_r	885802494720.5	1.0	885802494720.5	0.0	0.005244362749999966	0.00494	0.0030103510929336275	0.0014489782800013416	0.00134	0.0009414951855965035
CTPS1	910771007865.5	1.0	910771007865.5	0.0	0.006159676129999003	0.00624	0.003067723924660071	0.001616434240001731	0.00159	0.0009256342359452006
RNDR3	999906045212.0	1.0	999906045212.0	0.0	0.002221155030002292	0.0023	0.000337333954709074	0.0005970495900007481	0.00061	0.00012033760285939165
GDHm	607394286937.0	1.0	607394286937.0	0.0	26.765021962481722	19.24113	26.21146022355114	15.849975916729628	14.26919	11.054947444662535
GLUDym_f	895258636804.0	1.0	895258636804.0	0.0	128.69586797020077	133.980005	54.4899714228599	48.39671487887616	45.697950000000006	24.227364412418193
ASPTA_f	529633075036.0	1.0	529633075036.0	0.0	124.33744557023758	118.77327	74.46245594100299	114.96146967457726	111.131225	55.04564930520849
ASPTAm	76359389278.0	0.0	76359389278.0	1.0	4.130908393659995	2.97145	3.9014874622335944	25.53138301438074	23.12172	16.654890817145965
ASPGLUm	76848117581.0	0.0	76848117581.0	1.0	4.097253126210114	2.938465	3.90138397795162	25.467670123789432	23.05621	16.653669043827954
ASPT	303192574143.5	0.0	303192574143.5	1.0	0.34520523404000153	0.2472	0.3250222348018614	0.7457920400200303	0.5551	0.6749555779049545
CBPSam	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
OCBTm	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
ORNt4m	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
ARGSS	293039106821.0	0.0	293039106821.0	1.0	0.3091446450600089	0.21879	0.29980719666057526	0.7057781516799877	0.51769	0.6466508246052081
