Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_MDAMB231	median_MDAMB231	std_MDAMB231
EX_leu__L_e_r	9200.0	1.0	9200.0	5.2784699667708985e-25	0.0832615	0.09323000000000001	0.02963906064484991	0.010775000000000002	0.010695	0.0024366069718675465
EX_ile__L_e_r	9200.0	1.0	9200.0	5.274264356604823e-25	0.03949630000000001	0.044215000000000004	0.014028763860891183	0.0049314	0.00492	0.000999502926964249
EX_met__L_e_r	10000.0	1.0	10000.0	1.2773246820567234e-34	0.0367268	0.03690499999999999	0.0046979838529765386	0.0026378	0.00263	0.0005348474341134841
EX_gly_e_r	9301.0	1.0	9301.0	3.97611213477379e-26	0.16244530000000001	0.16377	0.041969159611492696	0.08475330000000002	0.08951	0.023868916986133012
EX_phe__L_e_r	9192.0	1.0	9192.0	6.458615437258552e-25	0.0500763	0.05532	0.0179696131645294	0.006502500000000001	0.00658	0.0016603251324528415
EX_ser__L_e_r	866.0	2.7692172497674786e-24	866.0	1.0	0.07443609999999999	0.069135	0.04690694973158255	0.1788724	0.164095	0.07013527777175486
EX_ala__L_e_f	5465.5	0.8725691742684	5465.5	0.1279413131518401	0.2585915	0.26925	0.16499327112312515	0.2801845	0.153275	0.2967609329783348
EX_ala__L_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	4736.5	0.259306734761218	4736.5	0.7414876321741694	0.000141	0.00015	4.5604802157206875e-05	0.0001543	0.00016	6.133621534730776e-05
EX_urea_e	9995.0	1.0	9995.0	1.4885353713343249e-34	0.1719982	0.17602	0.029140309454621635	0.048523300000000005	0.044785	0.015424190567305816
EX_pyr_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
PYRt2	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	39.0	4.1153612756272805e-34	39.0	1.0	0.021627200000000003	0.013725000000000001	0.021461188557557343	0.1154057	0.115675	0.019961686547185355
EX_hdca_e_f	10000.0	1.0	10000.0	1.2810718345817004e-34	6.549259900000002	6.411665	0.655527978317139	0.8612872	0.83506	0.17526100678459974
EX_hdca_e_b	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcIN_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	10000.0	1.0	10000.0	1.2809275156652627e-34	0.21581379999999994	0.21776	0.012738331858821016	0.09854020000000001	0.10246	0.020180697747495195
EX_biomassx	9200.0	1.0	9200.0	5.278680331987496e-25	0.1380619	0.154555	0.04903743617746126	0.017238500000000004	0.01721	0.003495894670246023
EX_h2o2_e	10000.0	1.0	10000.0	1.2809996731450625e-34	1.1956619	1.0085600000000001	0.8102858140744491	0.0694953	0.068855	0.018521824007250356
EX_gthox_e	10000.0	1.0	10000.0	1.2807832125755886e-34	1.1979403	1.30469	0.4251514759802581	0.014009300000000002	0.010624999999999999	0.010914141993974903
EX_2obut_e	0.0	1.2810718345817004e-34	0.0	1.0	0.3352872	0.337325	0.07152804237937917	0.7039989999999997	0.6985399999999999	0.0419832526855722
EX_crn_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_val__L_e_r	1343.0	2.0496580294266998e-19	1343.0	1.0	0.1153275	0.114745	0.05068490252720152	0.21463949999999998	0.17718499999999998	0.08254959150306701
EX_spmd_e	9100.0	1.0	9100.0	1.3107856548925504e-29	0.00030539999999999994	0.0003	0.0001794009110029458	0.0	0.0	0.0
EX_sprm_e	10000.0	1.0	10000.0	1.2291560698445675e-34	0.0023032	0.00214	0.0007676711206597193	0.00019959999999999995	0.00022	7.822423092003079e-05
EX_5mthf_e	4736.5	0.259306734761218	4736.5	0.7414876321741694	0.000141	0.00015	4.5604802157206875e-05	0.0001543	0.00016	6.133621534730776e-05
EX_tmlys_e_r	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_thbpt_e_r	9000.0	1.0	9000.0	7.368873916883797e-23	0.014254	0.01482	0.005681341248669929	0.0020299999999999997	0.00207	0.000785427889558914
EX_CE2705_e	9000.0	1.0	9000.0	7.368873916883797e-23	0.014254	0.01482	0.005681341248669929	0.0020299999999999997	0.00207	0.000785427889558914
EX_crtn_e	9018.5	1.0	9018.5	4.729655723984338e-23	0.043864299999999995	0.043375	0.015958159830056103	0.021932699999999996	0.02138	0.00976638533621081
EX_his__L_e_r	1017.5	1.1273073524674494e-22	1017.5	1.0	0.1292775	0.13214	0.03853155824198595	0.16818569999999997	0.173015	0.02075183157329648
EX_lys__L_e_r	0.0	1.2809275156652627e-34	0.0	1.0	0.0822473	0.09206	0.02927251373410099	0.2067295	0.200045	0.0301873353060317
EX_carn_e_r	4124.0	0.016210264491029136	4124.0	0.9838883806497084	5.8376325	5.043225	2.0328863289150347	5.891546099999999	6.120985	1.5768196391713782
EX_csn_e_r	1910.0	2.1955918427758136e-14	1910.0	0.9999999999999785	10.660259899999998	10.006755	3.8197151290815303	14.411023899999998	14.22261	1.856031396784627
EX_cys__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	10000.0	1.0	10000.0	1.2808553621421803e-34	0.2609942	0.26195999999999997	0.026769358451012373	0.08648420000000001	0.08676	0.018050718398641943
EX_tcyntc	6688.0	0.9999815168909156	6688.0	1.868035267807288e-05	0.043798999999999984	0.023794999999999997	0.07666860967893582	0.0162414	0.016465	0.0058445232966989336
EX_tcynt_e	9200.0	1.0	9200.0	5.279521873553223e-25	0.21719469999999996	0.23585	0.06224460371653339	0.0702428	0.06806999999999999	0.016145841011845682
EX_so3_e	0.0	1.2809996731450625e-34	0.0	1.0	0.08824969999999997	0.08763499999999999	0.009760413910642862	0.28207889999999997	0.283565	0.014664018142061442
EX_thr__L_e_r	0.0	1.2810718345817004e-34	0.0	1.0	0.3707996999999999	0.37865	0.053313699955446665	0.7107640000000001	0.7052499999999999	0.041496853087452504
EX_trp__L_e_r	10000.0	1.0	10000.0	1.2790528093701405e-34	0.0332307	0.033409999999999995	0.0013699511566903294	0.0046942	0.004104999999999999	0.0019930090848064926
EX_anth_e	10000.0	1.0	10000.0	1.279629357417836e-34	0.03139399999999999	0.031485	0.0014039827907662103	0.004464699999999999	0.00388	0.0019666812814043517
EX_tyr__L_e_r	9081.5	1.0	9081.5	1.0072687740122828e-23	0.007838	0.007915	0.0037900139921385597	0.0007224000000000001	0.00072	0.00034152397611679665
EX_cystinex_r	4190.0	0.023967926555783045	4190.0	0.9761695806445705	0.192677	0.19396000000000002	0.007142865268393647	0.19451309999999997	0.19609	0.007421770010644974
EX_3hydroxybutanoatex_r	10000.0	1.0	10000.0	1.2810718345817004e-34	50.093222499999996	48.779875000000004	6.074268696396877	4.393649099999999	4.425635	1.214978931721643
EX_gthrd_e_r	10000.0	1.0	10000.0	1.2807832125755886e-34	2.3888736	2.60383	0.8482158687379223	0.0104716	0.00681	0.011530731596543003
EX_cmp_e_r	9081.5	1.0	9081.5	1.0032924463101087e-23	0.004322200000000001	0.00473	0.001741890636606957	0.0008137	0.00081	0.0001688263407568065
HEX1	8635.0	1.0	8635.0	3.3281171408405037e-19	6.2026658999999995	6.49488	1.6243665236670854	4.5506	4.55225	0.2378143562410466
G6PP	9010.0	1.0	9010.0	5.812299009100816e-23	3.7241216	4.1111450000000005	1.6641571813642795	0.3451944999999999	0.37390999999999996	0.14415055889957765
PGI	308.0	1.0099987331011555e-30	308.0	1.0	0.8792332999999999	0.925435	0.34019664191733034	1.8050420000000003	1.739935	0.47550746876204253
PFK	9897.0	1.0	9897.0	2.7409494729230945e-33	10.803580099999998	6.40487	10.175896592691997	0.4968329	0.49822999999999995	0.22050442508349813
FBP	9790.0	1.0	9790.0	6.1518061575279e-32	10.270868799999999	6.10002	10.128008602083897	0.05209389999999999	0.07166	0.037003343771785394
FBA	5061.0	0.5597235750217127	5061.0	0.4412404285538748	0.5327111999999999	0.43735500000000005	0.4347734348613905	0.4447388	0.46348500000000004	0.22101022553828784
TPI	0.0	1.2810718345817004e-34	0.0	1.0	1.9026971999999998	1.85754	0.1910048016588255	3.4004911999999994	3.3849	0.22552638220228807
GAPD	0.0	1.2810718345817004e-34	0.0	1.0	4.3171256	4.132705	0.49824258576251096	7.598706900000001	7.59543	0.3823907379924547
PGK	0.0	1.2810718345817004e-34	0.0	1.0	3.4939027	3.20801	0.8121748623206495	7.3989037	7.376285	0.37315635934079266
DPGM	8777.0	1.0	8777.0	1.3856505700561295e-20	0.8232225000000001	0.90466	0.4291141653732604	0.19980340000000002	0.158635	0.18312535135124017
DPGase	8777.0	1.0	8777.0	1.3856505700561295e-20	0.8232225000000001	0.90466	0.4291141653732604	0.19980340000000002	0.158635	0.18312535135124017
PGM_f	0.0	1.2810718345817004e-34	0.0	1.0	8.4111006	8.710329999999999	0.9782831628680683	27.8425541	27.894869999999997	1.8117292752757241
ENO_f	0.0	1.2810718345817004e-34	0.0	1.0	6.786459200000001	6.913785000000001	0.5461156382902912	28.0217403	28.255335000000002	1.634417563118808
PYK	0.0	1.2809996731450625e-34	0.0	1.0	4.1694742	3.973805	0.5631682447594273	7.5127893	7.54119	0.40930499143381627
LDH_L	0.0	1.2810718345817004e-34	0.0	1.0	4.1207666	3.9612100000000003	0.5284799613857681	7.357161500000001	7.39916	0.32339419176513395
r0407	0.0	1.2810718345817004e-34	0.0	1.0	1.3699857999999998	1.4517	0.3772744042141093	2.9557525999999994	2.9393399999999996	0.2747354903131668
PRPPS	10000.0	1.0	10000.0	1.2786205642906302e-34	0.026121299999999997	0.027025	0.007133936487527823	0.0024452	0.0023550000000000003	0.0005785989347317598
G6PDH2r	1268.0	3.843660038855705e-20	1268.0	1.0	1.5613166	1.560085	0.5669894347139214	2.3956199999999996	2.371265	0.46107542952221053
PGL	1268.0	3.843660038855705e-20	1268.0	1.0	1.5613166	1.560085	0.5669894347139214	2.3956199999999996	2.371265	0.46107542952221053
GND	1268.0	3.843660038855705e-20	1268.0	1.0	1.5613166	1.560085	0.5669894347139214	2.3956199999999996	2.371265	0.46107542952221053
RPI	1351.0	2.445597506699657e-19	1351.0	1.0	0.5378533	0.53417	0.1859209395787588	0.8001699000000001	0.7919700000000001	0.15380559915130831
TKT2_f	1001.0	7.580795043458598e-23	1001.0	1.0	0.6101392999999999	0.6095200000000001	0.171205361872368	0.9165297000000001	0.908785	0.1516103035293866
RPE_f	1082.0	5.244083563383311e-22	1082.0	1.0	1.4311408	1.4404750000000002	0.3100775092892587	1.9779353	1.964975	0.29481957937137954
TKT1_f	1019.0	1.1689910938446954e-22	1019.0	1.0	0.6159922	0.61427	0.16840296081504244	0.9148886	0.90875	0.14980875267426194
TALA_f	274.0	3.8563177867834362e-31	274.0	1.0	2.3582334000000005	2.5464849999999997	0.4269635464609421	3.1864515	3.19274	0.2591580267384744
r0408	0.0	1.2810718345817004e-34	0.0	1.0	1.3699857999999998	1.4517	0.3772744042141093	2.9557525999999994	2.9393399999999996	0.2747354903131668
PDHm	3344.0	2.6158178333861617e-05	3344.0	0.9999741133005066	1.0240070000000001	0.87619	0.6655911056422712	1.066757	1.01956	0.2707911586090065
PCm	10000.0	1.0	10000.0	1.2810718345817004e-34	119.14348610000003	113.92832	16.722333081135123	1.8371363000000003	1.558255	1.4660621630471522
PEPCK_re	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
CSm	10000.0	1.0	10000.0	1.2810718345817004e-34	101.38035950000001	98.881625	11.736925602903586	10.420016	10.29113	2.5578365135470142
ACONTm_f	0.0	1.2810718345817004e-34	0.0	1.0	25.3329031	25.007255	9.225047858328209	184.84074669999998	183.94912	15.139481120730514
ICDHxm	8800.0	1.0	8800.0	8.188034402406355e-21	23.8756869	27.998745	18.286162781229518	1.6663478999999994	1.850695	0.7725317124193188
ICDHym_f	10000.0	1.0	10000.0	1.2810718345817004e-34	80.14193890000001	84.015615	11.827007414933787	0.5904791	0.37334999999999996	0.8744356563389668
AKGDm	10000.0	1.0	10000.0	1.2810718345817004e-34	49.7751949	48.34274	6.144864688877792	4.118153400000001	4.094385	1.2542930807432704
SUCOAS1m_f	12.0	1.8364094052638264e-34	12.0	1.0	133.249269	144.29341	36.37786801393157	191.2155646	189.43850500000002	13.269357770029691
SUCD1m	10000.0	1.0	10000.0	1.2810718345817004e-34	49.84978279999999	48.420895	6.130174684799754	4.3280894	4.283799999999999	1.2182903458857517
FUMm_f	0.0	1.2810718345817004e-34	0.0	1.0	142.6530079	154.50896	39.83496826675739	344.0612608999999	348.752925	32.3109903559327
MDHm_f	2458.0	2.651374376795231e-10	2458.0	0.9999999997389539	711.8491573000001	757.1987750000001	198.5629898177114	834.6505465	840.388765	86.11625135646072
ME1m	8753.0	1.0	8753.0	2.3911960139936962e-20	8.202563799999998	8.426565	3.9416299031194204	1.4329072999999997	0.892185	1.2101314764331403
ME2m	7863.0	0.9999999999986892	7863.0	1.3338772840623378e-12	4.8738527	4.627745	4.439597771186137	0.7310713	0.55735	0.6133960761429648
ME2	10000.0	1.0	10000.0	1.2810718345817004e-34	106.81872809999999	101.14813000000001	20.432029530750686	0.32244659999999997	0.15979	0.3954742684582218
ACITL	10000.0	1.0	10000.0	1.2810718345817004e-34	52.88913039999999	51.64502	5.106626238669373	7.102806500000001	6.800235000000001	1.4774417164018327
FUM_f	6765.0	0.9999919765053791	6765.0	8.112685899556168e-06	166.28660680000002	164.100595	12.168645733610827	156.7848614	159.852815	13.366441081692598
MDH_f	0.0	1.2810718345817004e-34	0.0	1.0	241.2068873	256.951285	69.30662461431756	518.7905845	527.9038949999999	45.73581061763924
AKGMALtm_f	27.0	2.8770201190883686e-34	27.0	1.0	349.02862409999994	363.655765	93.71656397944456	563.5588551999999	577.6045799999999	45.370641922399656
ACONT	9762.0	1.0	9762.0	1.3808978683325206e-31	45.719162000000004	47.239235	6.661248922867546	23.543638699999995	23.11052	5.465395584531043
ICDHyr	9762.0	1.0	9762.0	1.3808978683325206e-31	45.719162000000004	47.239235	6.661248922867546	23.543638699999995	23.11052	5.465395584531043
PPA	10000.0	1.0	10000.0	1.2810718345817004e-34	15.6153503	15.42984	4.807109313033293	0.5675864000000002	0.530545	0.17897911373840764
Complex1ROS	10000.0	1.0	10000.0	1.2810718345817004e-34	103.43555119999998	99.85816	15.726388987322563	3.5451086999999997	3.50359	0.625841257719519
FADH2ETC	10000.0	1.0	10000.0	1.2810718345817004e-34	50.999375900000004	50.033339999999995	5.887884395760037	5.1188094	5.14844	1.2626191412961048
CYOR_u10mi	10000.0	1.0	10000.0	1.2810718345817004e-34	149.268782	144.30194	20.702124184337347	8.4867638	8.331265	1.7702402096723964
CYOOm2i	10000.0	1.0	10000.0	1.2810718345817004e-34	74.6343909	72.15097	10.351061347989031	4.243381899999999	4.16563	0.8851200376604694
ATPS4mi	10000.0	1.0	10000.0	1.2810718345817004e-34	277.8560766	272.25937999999996	23.064369600756216	10.487148900000001	9.962064999999999	2.3101524691554975
GLUCYS	2972.5	3.6578081341506824e-07	2972.5	0.9999996387861413	0.0070061	0.005325	0.0051240307080431995	0.017548	0.0112	0.015317714311122652
GTHS	2972.5	3.6578081341506824e-07	2972.5	0.9999996387861413	0.0070061	0.005325	0.0051240307080431995	0.017548	0.0112	0.015317714311122652
SPODMm	10000.0	1.0	10000.0	1.2809275156652627e-34	2.5858882	2.496455	0.3931593971411133	0.08862790000000001	0.087585	0.015646190764669988
GTHPi	0.0	1.2806389253109373e-34	0.0	1.0	0.0190671	0.01641	0.012880532667870566	0.0871219	0.08704999999999999	0.014597481842821903
GTHPm	10000.0	1.0	10000.0	1.2808553621421803e-34	1.3902269999999999	1.47491	0.48078293351847073	0.0191331	0.01638	0.010909593933225874
GDR	187.0	3.180939631545152e-32	187.0	1.0	0.0984363	0.09606999999999999	0.03397275615723858	0.20205930000000002	0.20640999999999998	0.02650812855150341
GTHOr	2842.5	6.806349404840956e-08	2842.5	0.9999999328368038	0.0322263	0.01939	0.03414316302162429	0.05461129999999999	0.04547	0.037422693883322304
GDRm	7423.0	0.9999999984078541	7423.0	1.6159799465601788e-09	0.089084	0.03007	0.0868356741846985	0.0041513	0.0036550000000000003	0.0034417404145007918
GTHOm	9574.0	1.0	9574.0	2.6769198566080004e-29	0.1032031	0.075555	0.06108576498851695	0.0009715000000000001	0.000795	0.0005445828261572839
r0885	10000.0	1.0	10000.0	1.2808553621421803e-34	2.3958794	2.60938	0.8503023678072561	0.0280192	0.021255	0.021828491837944095
PYRt2m_f	10000.0	1.0	10000.0	1.2810718345817004e-34	171.34587520000002	174.29566499999999	16.46384382338588	44.04237219999999	43.85080000000001	3.245961424389297
HMR_4964	10000.0	1.0	10000.0	1.2810718345817004e-34	98.60829229999999	98.5119	4.334721245944209	30.646445700000005	29.82975	6.883332858883579
r2420	9200.0	1.0	9200.0	5.2797322791209335e-25	54.56710249999999	57.432995000000005	18.389245789883727	8.5061924	8.173295	1.872074424469219
ATPtm	10000.0	1.0	10000.0	1.2810718345817004e-34	158.6953825	159.480245	10.387749584169267	8.6472307	8.150635000000001	2.008875292250531
FUMtm_f	9200.0	1.0	9200.0	5.2797322791209335e-25	42.70761069999999	42.514005	17.250021124069352	12.5614268	12.65861	0.783410232171156
CO2tm_f	5750.0	0.9666554355870532	5750.0	0.03352639925587353	256.07746019999996	262.86231499999997	70.86492818968438	249.3546096	251.26411000000002	16.97127173503452
O2tm	10000.0	1.0	10000.0	1.2810718345817004e-34	77.22027969999999	74.649595	10.74333524708042	4.3320096	4.251035	0.8992171793859749
r0801_f	8334.0	0.9999999999999998	8334.0	1.8958320244904935e-16	129.7946054	134.02745499999997	44.52177240067922	97.39841400000002	97.41566499999999	7.962801237263154
THD1m	8538.0	1.0	8538.0	2.726118025236405e-18	64.59397910000001	43.52587	78.86654383591959	22.032128599999997	21.581925	4.658555553630834
H2Otm_f	10000.0	1.0	10000.0	2.8200076051853168e-39	43.0045176	43.815445	14.259293251278756	0.0	0.0	0.0
NH4tm_f	3505.0	0.00013028311218421496	3505.0	0.9998709511697389	131.76835219999998	134.85052000000002	43.44534219921126	152.5358631	152.93932999999998	12.683858892441966
HCO3E	10000.0	1.0	10000.0	1.2810718345817004e-34	46.26019169999999	45.17676	4.472259578405135	6.2131267	5.948885000000001	1.2920824957620376
HCO3Em	10000.0	1.0	10000.0	1.2810718345817004e-34	119.16060910000004	113.947355	16.71763146237499	1.8398816	1.5602049999999998	1.4667756019542741
GLUN	9611.0	1.0	9611.0	9.740526901554637e-30	2.0934861999999996	1.69002	0.97701478851103	0.8293567000000002	0.68908	0.8609850399515158
GLNS	9003.0	1.0	9003.0	6.883089147655897e-23	2.5074356000000004	1.95836	2.015790890515054	0.31162699999999993	0.15309499999999998	0.7931999927024915
GLUt2m	1449.0	2.060698193250607e-18	1449.0	1.0	0.0423865	0.0471	0.03558395718351718	0.10621959999999996	0.100915	0.06390514956756244
GLNtm_1	951.0	2.252871529234576e-23	951.0	1.0	0.1577195	0.13740000000000002	0.12683313765265836	0.39320389999999994	0.37661	0.15023233564221503
GLUNm	951.0	2.252871529234576e-23	951.0	1.0	0.1577195	0.13740000000000002	0.12683313765265836	0.39320389999999994	0.37661	0.15023233564221503
GLUPRT	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
PRAGSr	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
GARFT	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
PRFGS	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
PRAIS	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
AIRCr	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
PRASCSi	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
ADSL2r	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
AICART	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
IMPC	9200.0	1.0	9200.0	5.265023364155597e-25	0.015577299999999999	0.017435	0.005532096403368402	0.0019449000000000003	0.00194	0.000394432196423869
ADSS	9200.0	1.0	9200.0	5.244915262559264e-25	0.009224000000000001	0.010325	0.0032762191808870357	0.0011522	0.00115	0.00023364732120670825
ADSL1r	9200.0	1.0	9200.0	5.244915262559264e-25	0.009224000000000001	0.010325	0.0032762191808870357	0.0011522	0.00115	0.00023364732120670825
IMPDH2	9200.0	1.0	9200.0	5.211773717994214e-25	0.006352600000000002	0.00711	0.0022564849844057206	0.0007929000000000001	0.00079	0.00016077649333183259
GMPS	9258.0	1.0	9258.0	1.183735316702985e-25	0.0031363000000000003	0.003275	0.0014651560092062317	0.00021319999999999995	0.000205	0.0001014528800413614
GMPS2	8578.0	1.0	8578.0	1.1474191030287987e-18	0.0032167000000000003	0.0031450000000000002	0.0017241007347119665	0.0005794000000000001	0.000525	0.0002139282424769879
GK1	9200.0	1.0	9200.0	5.211773717994214e-25	0.006352600000000002	0.00711	0.0022564849844057206	0.0007929000000000001	0.00079	0.00016077649333183259
RNDR2	9200.0	1.0	9200.0	4.62630061861936e-25	0.0013671	0.00153	0.00048441216067945833	0.00017069999999999998	0.00017	3.453164264025596e-05
ADK1	10000.0	1.0	10000.0	1.2810718345817004e-34	15.607674600000001	15.421315	4.8083124301368905	0.5666276	0.529635	0.17899275096839068
RNDR1	9200.0	1.0	9200.0	4.87427611289044e-25	0.0018200000000000002	0.00204	0.0006463995074505575	0.0002279	0.00023	4.6085011476924706e-05
CBPS	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
ASPCT	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
DHORTS	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
DHORD9	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
ORPT	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
OMPDC	9311.0	1.0	9311.0	2.871883333018238e-26	0.005632500000000001	0.00531	0.0030225761221417424	0.00010049999999999998	5.5e-05	9.469115133640599e-05
UMPK	9200.0	1.0	9200.0	5.239899798937367e-25	0.011557600000000001	0.01259	0.004232585980320788	0.0011687	0.001175	0.00023454083661572463
RNDR4	9200.0	1.0	9200.0	4.796172218902969e-25	0.0018073	0.00202	0.0006418452801387291	0.0002257	0.00023	4.5952434784527605e-05
TMDS	9200.0	1.0	9200.0	4.796172218902969e-25	0.0018073	0.00202	0.0006418452801387291	0.0002257	0.00023	4.5952434784527605e-05
URIDK2r	9200.0	1.0	9200.0	4.796172218902969e-25	0.0018073	0.00202	0.0006418452801387291	0.0002257	0.00023	4.5952434784527605e-05
NDPK2	9200.0	1.0	9200.0	5.230091218296948e-25	0.009749800000000001	0.01055	0.0036075305580511342	0.0009427000000000001	0.00095	0.00018858781412478282
NDPK3_f	9207.5	1.0	9207.5	4.301812518992611e-25	0.0018545	0.00202	0.0005491561478736943	0.0007702000000000001	0.000775	0.0001215554078258848
CYTK1_r	9081.5	1.0	9081.5	1.0032924463101087e-23	0.004322200000000001	0.00473	0.001741890636606957	0.0008137	0.00081	0.0001688263407568065
CTPS1	9359.0	1.0	9359.0	4.84662746681244e-27	0.0023702	0.00244	0.0012449566784885052	2.17e-05	2e-05	1.5702730895476672e-05
RNDR3	9200.0	1.0	9200.0	4.565910601169044e-25	0.0013039999999999998	0.00146	0.00046351533377706573	0.00016299999999999998	0.00016	3.3196689624421925e-05
GDHm	9621.0	1.0	9621.0	7.378786285722843e-30	48.45722549999999	19.971725	95.8558793472229	1.5796725	1.29581	1.3353656317084965
GLUDym_f	2767.0	2.4504937581065174e-08	2767.0	0.9999999758297762	165.28576259999997	147.08401500000002	69.93469318611517	173.00020999999998	173.75663500000002	27.135725166188372
